"Access denied.","アクセスが拒否されました。"
"Client Session Timeout (sec.)","クライアントセッションタイムアウト (秒)"
"Default Response Charset","標準レスポンス文字コード"
"Email","Eメール"
"General Settings","全般設定"
"Invalid webservice adapter specified.","不正なWebサービスアダプタが指定されました。"
"Invalid webservice handler specified.","不正なWebサービスハンドラが指定されました。"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API セクション"
"Roles","権限"
"Unable to login.","ログインできません"
"User Name","ユーザー名"
"Users","ユーザー"
"WS-I Compliance","WS-I コンプライアンス"
"Web Services","ウェブサービス"
"Your account has been deactivated.","あなたのアカウントは有効になっていません。"
