"Are you sure?",よろしいですか？
Close,閉じる
Cancel,キャンセル
"Invalid Form Key. Please refresh the page.",不正なフォームキーです。ページを再読み込みしてください。
"You entered an invalid Secret Key. Please refresh the page.",不正なシークレットキーです。ページを再読み込みしてください。
"Cache Storage Management",キャッシュストレージ管理
"Flush Magento Cache",Magentoのキャッシュをクリアする
"Cache storage may contain additional data. Are you sure that you want flush it?",キャッシュストレージは多くの追加データを格納しています。消去してもいいですか?
"Flush Cache Storage",キャッシュストレージをリフレッシュする
Invalidated,期限切れ
Orders,注文
Amounts,売上高
Bestsellers,ベストセラー
"Most Viewed Products",最も閲覧された商品
"New Customers",まだご登録いただいていないお客様
Customers,顧客
Customer,顧客
Guest,ゲスト様
Items,商品
"Grand Total",合計
"Lifetime Sales",セール期間
"Average Orders",平均注文点数
Average,平均
Total,合計
Product,商品
Price,価格
"Order Quantity",注文数量
Views,表示
Revenue,収入
Tax,税
Shipping,配送料
Quantity,数量
"Images (.gif, .jpg, .png)","画像（.gif, .jpg, .png）"
"Media (.avi, .flv, .swf)","メディアファイル(.avi, .flv, .swf)"
"All Files",全てのファイル
"Interface Language",言語
"Reset to Default",デフォルトに戻す
"All Store Views",全てのストアビュー
"What is this?",これは何ですか？
"Save Account",アカウントの保存
"My Account",マイアカウント
"Account Information",アカウント情報
"User Name",ユーザー名
"First Name",名
"Last Name",姓
Email,Eメール
"User Email",ユーザーメールアドレス
"New Password",新規パスワード
"Password Confirmation",確認用パスワード
"Interface Locale",表示言語
"Current User Identity Verification",ユーザー確認
"Your Password",パスワード
"Save Cache Settings",キャッシュ設定を保存
"Catalog Rewrites",カタログ書き換え
Refresh,更新
"Images Cache",画像のキャッシュ
Clear,クリア
"Search Index",検索インデックス
Rebuild,再構築
"Inventory Stock Status",在庫の状態
"Rebuild Catalog Index",カタログインデックスを再構築
"Rebuild Flat Catalog Category",フラットカタログカテゴリを再構築
"Rebuild Flat Catalog Product",フラットカタログ商品を再構築
"Cache Control",キャッシュコントロール
"All Cache",全てのキャッシュ
"No change",変更なし
Disable,無効
Enable,有効
"Add Design Change",デザインの変更を追加
Back,戻る
Delete,削除
Save,保存
"Edit Design Change",デザイン変更の編集
"New Store Design Change",新しいストアデザイン
"General Settings",全般設定
Store,店舗
"-- Please Select --","-- 選択してください --"
"Custom Design",カスタムデザイン
"Date From",開始日
"Date To",終了日
"Design Change",デザイン変更
General,全般
"Delete %1 '%2'","%1 の '%2' を削除"
"Delete %1","%1 を削除"
"Block Information",ブロック情報
"Backup Options",バックアップオプション
"Create DB Backup",データベースバックアップを生成
Yes,Yes
No,No
"Delete Store",店舗を削除
"Delete Web Site",ウェブサイトを削除
"Save Web Site",ウェブサイトを保存
"Save Store",店舗を保存
"Save Store View",ストアビューを保存
"Delete Store View",ストアビューを削除
"Edit Web Site",ウェブサイトを編集
"New Web Site",新しいウェブサイト
"Edit Store",店舗を編集
"New Store",新しい店舗
"Edit Store View",ストアビューを編集
"New Store View",新しいストアビュー
"Store Information",ストア情報
"Web Site",ウェブサイト
Name,名前
"Root Category",ルートカテゴリ
"Default Store View",標準のストアビュー
"Store View Information",ストアビュー情報
Code,コード
Status,状態
Disabled,無効
Enabled,有効
"Sort Order",並び順
"Web Site Information",ウェブサイト情報
"Default Store",標準の店舗
"Set as Default",標準にする
Stores,店舗
"Create Website",ウェブサイトを作成
"Create Store",店舗を作成
"Create Store View",ストアビューを作成
"Global Attribute",全般属性
"This attribute shares the same value in all stores.",この属性はすべてのストアで同じ値を共有します。
Home,ホーム
Reset,リセット
"Are you sure you want to do this?",実行してもよろしいですか？
"Add New Image",新規画像の追加
"Export block for grid %1 is not defined","グリッド %1 のエクスポートブロックは未定義です"
"Reset Filter",リセット
Search,検索
Any,すべて
"All Countries",全ての国
From,開始
To,終了
"Date selector",日付選択
"[ deleted ]","[ 削除済み ]"
"Select All",全て選択
" [deleted]"," [削除済]"
"We couldn't find any records.",データが見つかりませんでした。
"Add New",新規作成
"Invalid export type supplied for grid export block",グリッドエクスポートブロックに防いたエクスポートタイプが与えられました。
Export,エクスポート
"Please correct the column format and try again.",列の形式を修正してやり直してください。
"Please select items.",アイテムを選択してください。
Submit,送信
"Unknown block type",不明なブロックタイプ
"Please correct the tab configuration and try again.",タブの設定を修正してやり直してください。
"You have logged out.",ログアウトしました。
"Specified cache type(s) don't exist: ","指定されたキャッシュタイプがありません: "
"The image cache was cleaned.",画像キャッシュをクリアしました。
"An error occurred while clearing the image cache.",画像キャッシュのクリア中にエラーが発生しました。
"The JavaScript/CSS cache has been cleaned.",JavaScript/CSSキャッシュをクリアしました。
"An error occurred while clearing the JavaScript/CSS cache.",JavaScriptとCSSのキャッシュをクリア中にエラーが発生しました。
"You flushed the cache storage.",キャッシュストレージを消去しました。
"The Magento cache storage has been flushed.",Magentoのキャッシュストレージを更新しました。
"Cache Management",キャッシュ管理
"%1 cache type(s) disabled.","%1 件のキャッシュを無効にしました。"
"An error occurred while disabling cache.",キャッシュの無効化中にエラーが発生しました。
"%1 cache type(s) enabled.","%1 件のキャッシュを有効にしました。"
"An error occurred while enabling cache.",キャッシュの有効化中にエラーが発生しました。
"%1 cache type(s) refreshed.","%1 件のキャッシュを更新しました。"
"An error occurred while refreshing cache.",キャッシュの更新中にエラーが発生しました。
Dashboard,ダッシュボード
"We updated lifetime statistic.",統計を更新しました。
"We can't refresh lifetime statistics.",統計を更新できませんでした。
"invalid request",不正なリクエスト
"see error log for details",詳細はエラーログを参照してください
"Service unavailable: %1","サービスが利用できません: %1"
Error,エラー
"Access Denied",アクセス拒否
"You need more permissions to do this.",この操作を行うための権限が不足しています。
"No search modules were registered",検索モジュールが登録されていません。
"Please make sure that all global admin search modules are installed and activated.",全体検索モジュールがインストールされていて有効になっているか確認してください
"You have entered an invalid password for current user.",現在のユーザーに対する不正なパスワードが入力されました。
"The account has been saved.",お客様の情報を保存しました。
"An error occurred while saving account.",アカウントの保存中にエラーが発生しました。
"You deleted the design change.",デザイン変更を削除しました。
"Cannot delete the design change.",デザイン変更を削除できません。
"Store Design",ストアデザイン
"Edit Store Design Change",ストアデザイン変更を編集
"You saved the design change.",デザイン変更を保存しました。
System,システム
"Manage Stores",店舗管理
"The database was backed up.",データベースをバックアップしました。
"We couldn't create a backup right now. Please try again later.",バックアップを今作成できません。後でやり直してください。
