"Are you sure?",よろしいですか？
Cancel,キャンセル
Product,商品
Price,価格
Quantity,数量
"Images (.gif, .jpg, .png)","画像（.gif, .jpg, .png）"
"First Name",名
"Last Name",姓
Email,Eメール
Back,戻る
Delete,削除
Save,保存
"-- Please Select --","-- 選択してください --"
"Custom Design",カスタムデザイン
Yes,Yes
No,No
"Web Site",ウェブサイト
Name,名前
Status,状態
Disabled,無効
Enabled,有効
Home,ホーム
Reset,リセット
Search,検索
"Select All",全て選択
"Add New",新規作成
"Please select items.",アイテムを選択してください。
"Store View",ストアビュー
"All Websites",全てのウェブサイト
Next,次
"Please enter a valid number in this field.",正しい数字で入力してください。
Catalog,カタログ
Images,画像
"per page",件表示
"Mass Actions",一括操作
"Unselect All",全て未選択にする
"Select Visible",表示中を選択
"Unselect Visible",表示を解除する
"items selected",個選択
"The information in this tab has been changed.",このタブの情報が変更されています。
"This tab contains invalid data. Please solve the problem before saving.",このタブは不正なデータを含んでいます。保存する前に問題を解決してください。
Loading...,読み込み中
OK,OK
Fixed,固定
ID,ID
SKU,商品番号
"Use Default Value",標準の値を使用
N/A,該当無し
Percent,パーセント
None,なし
"Option Title",オプションのタイトル
"Input Type",入力形式
Required,必須
Position,おすすめ
"New Option",新規オプション
"Price Type",価格タイプ
"As low as",同じかそれ以下
"Regular Price",通常価格
"* Required Fields","* 必須項目"
Availability,在庫状況
"In stock",在庫あり
"Out of stock",在庫切れ
Qty,個数
Root,ルート
"Save Category",保存
"Delete Category",カテゴリの削除
"New Subcategory",新しいサブカテゴリ
"New Root Category",新しいルートカテゴリ
"Set Root Category for Store",店舗のルートカテゴリをセットしてください。
"Use Config Settings",設定値を使用する
"Use All Available Attributes",全ての利用可能な属性で使用する
"Category Data",カテゴリデータ
"Category Products",カテゴリの商品
"Add Subcategory",サブカテゴリを追加
"Add Root Category",ルートカテゴリを追加
Day,日
Month,月
Year,年
"<label class=""label""><span>from</span></label>","<label class=""label""><span>開始</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>終了</span></label>"
[GLOBAL],[グローバル]
[WEBSITE],[ウェブサイト]
"[STORE VIEW]",[ストアビュー]
"WYSIWYG Editor",WYSIWYGエディタ
"Add Product",新規商品の追加
label,ラベル
"Product Attributes",商品の属性
"Add New Attribute",新規属性の追加
"Save in New Attribute Set",新しい属性セットで保存
"Enter Name for New Attribute Set",新しい属性セットの名前を入力してください
"Save and Continue Edit",保存して編集を続ける
"Save Attribute",保存
"Delete Attribute",属性の削除
"Edit Product Attribute ""%1""","商品属性 ""%1"" を編集"
"New Product Attribute",新規商品属性
"Advanced Attribute Properties",拡張属性プロパティ
"Attribute Code",属性コード
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","システム内部で使用します。スペースを含まないユニークな文字列を指定してください。属性コードの最大文字数は %1 です。"
"Default Value",標準の値
"Unique Value",一意な値
"Unique Value (not shared with other products)","一意な値 (他の商品と共有しない)"
"Not shared with other products",他の商品と共有しない
"Input Validation for Store Owner",管理画面で値チェックを行う
Website,ウェブサイト
Global,グローバル
Scope,スコープ
"Declare attribute value saving scope",属性値の保存スコープを定義
"Frontend Properties",フロントエンドプロパティ
"Use in Search",検索で使用
"Visible in Advanced Search",拡張検索で使用する
"Comparable on Frontend",フロントエンドで比較可能
"Use for Promo Rule Conditions",プロモーションルールの条件で使用する
"Enable WYSIWYG",WYSIWYGエディタを有効にする
"Allow HTML Tags on Frontend",フロントエンドでHTMLタグを許可する
"Visible on Catalog Pages on Frontend",フロントエンドのカタログページで表示する
"Used in Product Listing",商品リスト表示で使用する
"Depends on design theme",デザインテーマ依存
"Used for Sorting in Product Listing",商品リスト表示の並べ替え順で使用する
"Media Image",メディアイメージ
Gallery,ギャラリー
"System Properties",システムプロパティ
"Data Type for Saving in Database",データベースに保存するデータタイプ
Text,テキスト
Varchar,varchar
Static,静的
Datetime,日時
Decimal,10進数
Integer,整数
"Globally Editable",全体で編集可能
"Attribute Information",属性情報
Properties,プロパティ
"Manage Labels",ラベル管理
Visible,表示
Searchable,検索可能
Comparable,比較可能
"Delete Selected Group",選択したグループの削除
"Delete Attribute Set",属性セットの削除
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?"
"Save Attribute Set",保存
"New Set Name",新規セット名
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
Empty,空
"Add Attribute",属性の追加
"Add New Group",新規グループの追加
"Add Group",グループの追加
"Edit Set Name",セット名編集
"For internal use","For internal use"
"Based On",元
"Add New Attribute Set",新規属性の追加
"Add New Set",新規セットの追加
"Product Templates","Product Templates"
"Close Window",ウインドウを閉じる
"New Product",新規商品
"Save & Edit","Save & Edit"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Attributes,属性
Change,変更
"Advanced Inventory","Advanced Inventory"
Websites,ウェブサイト
"Products Information",商品情報
"Category Name","Category Name"
"Parent Category",親カテゴリ
