Product,商品
Yes,Yes
No,No
"Web Site",ウェブサイト
Status,ステータス
"Save and Continue Edit",保存して編集を続ける
Catalog,カタログ
Actions,アクション
ID,ID
SKU,SKU
"Discount Amount",値引き額
Websites,Websites
Type,Type
"Attribute Set","Attribute Set"
"Could not rebuild index for undefined product","Could not rebuild index for undefined product"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"Catalog Price Rules","Catalog Price Rules"
"Add New Rule","Add New Rule"
"Apply Rules","Apply Rules"
"Save and Apply","Save and Apply"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
"Update Prices Using the Following Information","Update Prices Using the Following Information"
Apply,Apply
"By Percentage of the Original Price","By Percentage of the Original Price"
"By Fixed Amount","By Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"To Fixed Amount","To Fixed Amount"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Stop Further Rules Processing","Stop Further Rules Processing"
Conditions,Conditions
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"General Information","General Information"
"Rule Name","Rule Name"
Description,Description
Active,Active
Inactive,Inactive
"Customer Groups","Customer Groups"
"From Date","From Date"
"To Date","To Date"
Priority,Priority
"Catalog Price Rule","Catalog Price Rule"
Promotions,Promotions
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"Unable to apply rules.","Unable to apply rules."
"The rule has been deleted.","The rule has been deleted."
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"This rule no longer exists.","This rule no longer exists."
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Edit Rule"
"Wrong rule specified.","Wrong rule specified."
"The rule has been saved.","The rule has been saved."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
Promo,Promo
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Updated rules applied.","Updated rules applied."
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","%1 Catalog Price Rules based on ""%2"" attribute have been disabled."
Rule,Rule
"Start on","Start on"
"End on","End on"
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
