Remove,削除
Total,合計
Price,価格
Email,Eメール
Back,戻る
"* Required Fields","* 必須項目"
"Out of stock",在庫切れ
Qty,個数
"Product Name",商品名
Subtotal,小計
Change,変更
Edit,編集
"Shopping Cart",ショッピングカート
"Invalid method: %1","Invalid method: %1"
"My Cart (1 item)","My Cart (1 item)"
"My Cart (%1 items)","My Cart (%1 items)"
"My Cart",マイカート
"New Address",新規住所
Country,国
State/Province,都道府県
"Billing Information",請求先情報
"Checkout Method",購入方法
"Payment Information",お支払情報
"Order Review",ご注文の確認
"Shipping Information",配送情報
"Shipping Method",発送方法
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"We cannot add this item to your shopping cart","We cannot add this item to your shopping cart"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","We cannot configure the product."
"The coupon code ""%1"" was applied.","The coupon code ""%1"" was applied."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"The coupon code was canceled.","The coupon code was canceled."
"We cannot apply the coupon code.","We cannot apply the coupon code."
"We cannot remove the item.","We cannot remove the item."
"Minimum order amount is %1","Minimum order amount is %1"
"%1 was updated in your shopping cart.","%1 がカート内で更新されました。"
"We cannot update the item.","We cannot update the item."
"We cannot update the shopping cart.","We cannot update the shopping cart."
"The onepage checkout is disabled.",ワンページチェックアウトは無効です。
Checkout,レジに進む
"Please agree to all the terms and conditions before placing the order.",ご注文前にすべての契約条件にご同意ください。
"Something went wrong processing your order. Please try again later.","Something went wrong processing your order. Please try again later."
"Unable to set Payment Method","Unable to set Payment Method"
"We can't find the product.","We can't find the product."
"The product does not exist.",商品が見つかりません。
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"Some products quantities were recalculated because of quantity increment mismatch.","Some products quantities were recalculated because of quantity increment mismatch."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart",カート内の商品数を表示
"Display item quantities",商品の見積もりを表示
"Load customer quote error",顧客の見積もり読み込みエラー
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"Address does not exist.","Address does not exist."
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account."
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping address.","There are more than one shipping address."
"Sorry, guest checkout is not enabled.","Sorry, guest checkout is not enabled."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Discount Codes",クーポンコード
"Enter your code","Enter your code"
"Apply Coupon",クーポンを適用
"Cancel Coupon",クーポンをキャンセルする
"Shopping Cart Items","Shopping Cart Items"
Item,商品
"Continue Shopping",お買い物を続ける
"Clear Shopping Cart",ショッピングカートをクリア
"Update Shopping Cart",ショッピングカートを更新
"Update Cart",カートを更新
"See price before order confirmation.",注文確定前に価格を表示する。
"What's this?",これは何ですか？
"Move to Wishlist",欲しい物リストへ移動
"Edit item parameters",商品パラメータを編集
"Remove item",商品を削除
item,アイテム
items,アイテム
"Items in Cart",カートの中の商品
"1 item ","1 item "
"%1 items ","%1 アイテム "
"Go to Checkout","Go to Checkout"
"Go to Shopping Cart","Go to Shopping Cart"
"Recently added item(s)",最近追加した商品
"You have no items in your shopping cart.",カートの中には何もありません。
"Are you sure you would like to remove this item from the shopping cart?",このアイテムをショッピングカートから削除してもよろしいですか？
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Shipping and Tax",送料と税金の計算
"Enter your destination to get a shipping estimate.",配送料の見積もりを表示するには配送先を入力してください。
"Please select region, state or province",都道府県を選択してください
City,市区町村
"Zip/Postal Code",郵便番号
"Get a Quote",見積もる
"Update Total",合計更新
"View Details",詳細を表示
"Options Details",オプションの概要
"Edit item",商品の編集
"Cart Subtotal","Cart Subtotal"
"Excl. Tax",税別
"Select a billing address from your address book or enter a new address.",アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。
Company,会社名
"VAT Number",VAT番号
Address,住所
"Street Address",番地
"Street Address %1","Street Address %1"
"Phone Number",電話番号
Telephone,電話番号
Fax,FAX番号
Password,パスワード
"Confirm Password",パスワード再確認
"Save in address book",アドレス帳に保存
"Ship to this address",この住所へ送る
