Status,ステータス
Disabled,無効
Enabled,有効
"Store View",ストアビュー
ID,ID
Text,Text
"Terms and Conditions","Terms and Conditions"
"Add New Condition","Add New Condition"
"Save Condition","Save Condition"
"Delete Condition","Delete Condition"
"Edit Terms and Conditions","Edit Terms and Conditions"
"New Terms and Conditions","New Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Condition Name","Condition Name"
"Show Content as","Show Content as"
HTML,HTML
"Checkbox Text","Checkbox Text"
Content,Content
"Content Height (css)","Content Height (css)"
"Content Height","Content Height"
Condition,Condition
Sales,Sales
"Checkout Conditions","Checkout Conditions"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"This condition no longer exists.","This condition no longer exists."
"The condition has been deleted.","The condition has been deleted."
"Something went wrong  while deleting this condition.","Something went wrong  while deleting this condition."
"Edit Condition","Edit Condition"
"New Condition","New Condition"
"The condition has been saved.","The condition has been saved."
"Something went wrong while saving this condition.","Something went wrong while saving this condition."
"Enable Terms and Conditions","Enable Terms and Conditions"
