Cancel,キャンセル
Price,価格
Quantity,数量
Delete,削除
Name,名前
ID,ID
SKU,商品番号
Qty,個数
"Use Default",標準の値を使用
"Add Option",オプションを追加
"Stock Availability",在庫の有無
"In Stock",在庫あり
"Out of Stock",在庫切れ
"Incl. Tax",税込
"Create Empty",空を作成
"Generate Variations","Generate Variations"
"Create New Variation Set","Create New Variation Set"
"Associated Products",紐付け済み商品
"Select Configurable Attributes","Select Configurable Attributes"
"Configurable Product Settings",比較可能な商品設定
"Choose an Option...",オプションを選択してください...
"This attribute is used in configurable products.",この属性はコンフィグ商品で使用されています。
"Cannot add the item to shopping cart",商品をショッピングカートに追加できません。
"Please specify the product's option(s).",商品のオプションを指定してください。
"Some product variations fields are not valid.","Some product variations fields are not valid."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","This group contains attributes used in configurable products. Please move these attributes to another group and try again."
"This attribute is used in configurable products. You cannot remove it from the attribute set.",この属性はコンフィグ商品で使用されているため、属性セットから削除できません。
"Delete Variations Group","Delete Variations Group"
"Sort Variations","Sort Variations"
"Variation Label","Variation Label"
Label,ラベル
"Change Price","Change Price"
Include,含む
%,%
"begin typing to add value",タイプすると値を追加
Variations,Variations
"Current Variations","Current Variations"
Display,Display
Image,画像
Weight,重さ
Choose,Choose
"Upload Image","Upload Image"
Select,選択
"No Image","No Image"
"Attribute set comprising all selected configurable attributes need to be in order to save generated variations.","Attribute set comprising all selected configurable attributes need to be in order to save generated variations."
"Add configurable attributes to the current set (""<span data-role=""name-container"">%1</span>"")","Add configurable attributes to the current set (""<span data-role=""name-container"">%1</span>"")"
"Add configurable attributes to the new set based on current","Add configurable attributes to the new set based on current"
"New attribute set name","New attribute set name"
"Choose Affected Attribute Set","Choose Affected Attribute Set"
Confirm,承認
"File extension not known or unsupported type.",ファイルの拡張子が不明又は未サポートです。
"Configurable Product Image",コンフィグ商品の画像
