Cancel,キャンセル
"New Customers",まだご登録いただいていないお客様
Customers,顧客
Customer,顧客
"Grand Total",合計
"Lifetime Sales",セール期間
Product,商品
Price,価格
Quantity,数量
"All Store Views",全てのストアビュー
"My Account",マイアカウント
"Account Information",アカウント情報
Email,Eメール
"New Password",新規パスワード
Back,戻る
Delete,削除
Save,保存
Store,店舗
"-- Please Select --","-- 選択してください --"
Yes,Yes
No,No
"Web Site",ウェブサイト
Name,名前
Status,状態
Reset,リセット
"Are you sure you want to do this?",実行してもよろしいですか？
Submit,送信
"Store View",ストアビュー
Order,注文
"Customer View",顧客照会
"Personal Information",個人情報
View,表示
ID,ID
SKU,商品番号
"* Required Fields","* 必須項目"
Qty,個数
label,ラベル
"Save and Continue Edit",保存して編集を続ける
Global,グローバル
Change,変更
Edit,編集
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Customer Group",顧客グループ
Action,アクション
"Customer Groups",顧客グループ
Country,国
State/Province,都道府県
"Please select region, state or province",都道府県を選択してください
City,市区町村
"Zip/Postal Code",郵便番号
Company,会社名
"VAT Number",VAT番号
Address,住所
"Street Address",番地
"Street Address %1","Street Address %1"
"Phone Number",電話番号
Fax,FAX番号
Password,パスワード
"Confirm Password",パスワード再確認
Register,新規登録
Login,ログイン
"Forgot Your Password?",パスワードをお忘れですか？
"Billing Address",請求先住所
"Shipping Address",配送先
"Delete File",ファイルを削除
"Log Out",ログアウト
"Log In",ログイン
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You are currently not subscribed to our newsletter.",ニュースレターをご購読いただいておりません。
"You have not set a default shipping address.",標準の配送先を指定してください。
"You have not set a default billing address.",標準のご請求先が指定されていません。
"Address Book",アドレス帳
"Edit Address",住所の編集
"Add New Address",住所を追加
region,地域
"Add New Customer",新規顧客の追加
"Create Order",注文作成
"Save Customer",保存
"Delete Customer",顧客の削除
"Reset Password",パスワード再発行
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer",新規顧客
"or ","または "
" Send auto-generated password",自動生成したパスワードを送信
"Please select","Please select"
