Enabled,有効
label,ラベル
State/Province,都道府県
Continue,続ける
"We can't initialize the import model.","We can't initialize the import model."
Currency,通貨
"--Please Select--",--選択してください--
"Please correct the target currency.","Please correct the target currency."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:",致命的なエラー:
"Please specify the correct Import Service.","Please specify the correct Import Service."
WARNING:,警告:
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique",国とフォーマットタイプの組み合わせはユニークである必要があります
"Please correct the rates received","Please correct the rates received"
"--Please select--","--Please select--"
"Your current currency is: %1.","Your current currency is: %1."
"Start Time",開始時間
Frequency,頻度
"Currency Setup",通貨セットアップ
"Currency Options",通貨オプション
"Base Currency",基本通貨
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    "
"Default Display Currency",標準表示通貨
"Allowed Currencies",許可する通貨
Webservicex,WebserviceX
"Connection Timeout in Seconds",タイムアウトとみなす時間
"Scheduled Import Settings",インポートスケジュール設定
"Error Email Recipient",メールの受信エラー
"Error Email Sender",エラーメール送信者
"Error Email Template",エラーメールテンプレート
Service,サービス
"Installed Currencies",インストール済み通貨
"Zip/Postal Code is Optional for",郵便番号を任意にする
"State Options","State Options"
"State is Required for","State is Required for"
"Allow to Choose State if It is Optional for Country","Allow to Choose State if It is Optional for Country"
