Price,価格
"All Files",全てのファイル
Back,戻る
Delete,削除
Status,状態
"Sort Order",並び順
"Browse Files...",ファイルを選択....
SKU,商品番号
"Use Default Value",標準の値を使用
Ordered,注文済
Invoiced,請求済
Shipped,荷送り人
Refunded,返金
Canceled,キャンセル済
Availability,在庫状況
"In stock",在庫あり
"Out of stock",在庫切れ
Qty,個数
"Gift Message",ギフトメッセージ
From:,開始:
To:,終了:
Message:,メッセージ:
"Product Name",商品名
Subtotal,小計
"Discount Amount",割引価格
"Row Total",行合計
"Qty Invoiced",請求済個数
[GLOBAL],[グローバル]
"[STORE VIEW]",[ストアビュー]
"Add New Row",新しい行の追加
Edit,編集
Title,タイトル
"See price before order confirmation.",注文確定前に価格を表示する。
"What's this?",これは何ですか？
"Move to Wishlist",欲しい物リストへ移動
"Edit item parameters",商品パラメータを編集
"Remove item",商品を削除
"Order #",ご注文番号
"Upload Files",ファイルアップロード
"Downloadable Information",ダウンロード情報
Samples,サンプル
Links,リンク
Unlimited,無制限
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products",ダウンロード可能な商品
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.",ログインした上で商品をダウンロードしてください。
"The link has expired.",リンクは有効期限切れです。
"The link is not available.",リンクは利用できません。
"Sorry, there was an error getting requested content. Please contact the store owner.",申し訳ございません。コンテンツのダウンロード中にエラーが発生しました。担当者にお問い合わせください。
"Please set resource file and link type.",ファイルとリンク形式をセットしてください。
"Invalid download link type.",不正なダウンロードリンクです。
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null",注文IDにnullは使用できません
"Order item id cannot be null",商品IDにnullは使用できません
"Please specify product link(s).",商品リンクを指定してください。
attachment,添付ファイル
inline,インライン
Pending,処理待ち
sample,サンプル
"Links can be purchased separately",リンクは個別に購入可能
"Max. Downloads",最大ダウンロード
Shareable,共有可能
Sample,サンプル
File,ファイル
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","半角英数字、ハイフン、アンダーバーがファイル名に使用する文字として推奨されます。不正な文字は '_' に置き換えられます。"
U,U
"Select all","Select all"
"Unselect all","Unselect all"
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
Date,日付
"Remaining Downloads",残りのダウンロード
"View Order",注文の詳細を表示
"Start Download",ダウンロード開始
"You have not purchased any downloadable products yet.",まだダウンロード商品をご購入いただいていません。
download,ダウンロード
"We could not detect a size.",サイズを検出できません。
"Downloadable Product Options",ダウンロード商品オプション
"Order Item Status to Enable Downloads",ダウンロード可能になる注文ステータス
"Default Maximum Number of Downloads",ダウンロードの初期最大数
"Default Sample Title",標準サンプルタイトル
"Default Link Title",標準リンクタイトル
"Open Links in New Window",新しいウインドウでリンクを開く
"Use Content-Disposition",Content-Dispositionを使用する
"Disable Guest Checkout if Cart Contains Downloadable Items",ダウンロード商品がカートにある場合はゲスト購入を無効にする
"Guest checkout will only work with shareable.",ゲスト購入は共有できる形でしか動作しません。
