Email,Eメール
Yes,Yes
No,No
System,システム
None,なし
Required,必須
label,ラベル
"Attribute Code",属性コード
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","システム内部で使用します。スペースを含まないユニークな文字列を指定してください。属性コードの最大文字数は %1 です。"
"Default Value",標準の値
"Unique Value",一意な値
"Unique Value (not shared with other products)","一意な値 (他の商品と共有しない)"
"Not shared with other products",他の商品と共有しない
"Input Validation for Store Owner",管理画面で値チェックを行う
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"Multiple Select",複数選択
Dropdown,ドロップダウン
"""%1"" is a required value.","""%1"" は必須です。"
"Attribute object is undefined",属性オブジェクトが未定義です
"""%1"" invalid type entered.","""%1"" に不正な値が入力されました。"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" は半角英数字以外の文字を含んでいます。"
"""%1"" is an empty string.","""%1"" は空の文字列です。"
"""%1"" contains non-numeric characters.","""%1"" は半角数字以外を含んでいます。"
"""%1"" contains non-alphabetic characters.","""%1"" は半角英字以外の文字を含んでいます。"
"""%1"" is not a valid email address.","""%1"" は正しくないメールアドレスです。"
"""%1"" is not a valid hostname.","""%1"" は正しくないホスト名です。"
"""%1"" exceeds the allowed length.","""%1"" は許可された長さを超過しています。"
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' はIPアドレスのようですが、IPアドレスは許可されていません。"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' がDNSホスト名にありますが、TLDが既存リストにありません。"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' がDNSホスト名にありますが、不正な位置にダッシュが含まれています。"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' がDNSホスト名にありますが、ホスト名が '%tld%' にマッチしません。"
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' がDNSホスト名にありますが、TLDパートを抽出できません。"
"'%value%' does not appear to be a valid local network name.","'%value%' は正しいローカルネットワーク名ではないようです。"
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' がローカルネットワーク名にありますが、ローカルネットワーク名は許可されていません。"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' がDNSホスト名にありますが、ピュニーコードがデコードできません。"
"""%1"" is not a valid URL.","""%1"" は正しくないURLです。"
"""%1"" is not a valid date.","""%1"" は正しくない日付です。"
"""%1"" does not fit the entered date format.","""%1"" は入力された日付の形式に一致しません。"
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" は正しくないファイル拡張子です。"
"""%1"" is not a valid file.","""%1"" ふぁ正しくないファイルです。"
"""%1"" exceeds the allowed file size.","""%1"" は許可されたファイルサイズを超過しています。"
"""%1"" width exceeds allowed value of %2 px.","""%1"" の幅は許可された値 %2 ピクセルを超過しています。"
"""%1"" height exceeds allowed value of %2 px.","""%1"" の高さは許可された値 %2 ピクセルを超過しています。"
"""%1"" length must be equal or greater than %2 characters.","""%1"" の長さは %2 文字以上でなければなりません。"
"""%1"" length must be equal or less than %2 characters.","""%1"" の長さは %2 文字以下でなければなりません。"
Date,日付
"Attribute Properties",属性のプロパティ
"Attribute Label",属性ラベル
"Catalog Input Type for Store Owner",店舗管理者のカタログ入力形式
"Values Required",値が必要
"Decimal Number",10進数
"Integer Number",自然数
URL,URL
Letters,文字列
"Letters (a-z, A-Z) or Numbers (0-9)","アルファベット(a-z, A-Z)または数字(0-9)"
"Text Field",テキストフィールド
"Text Area",テキストエリア
Yes/No,Yes/No
"Input type ""%value%"" not found in the input types list.","入力形式 ""%value%"" は入力形式リストにありません。"
"Entity object is undefined",エンティティオブジェクトが未定義です
"""%1"" is not a valid file","""%1"" は正しくないファイルです。"
"""%1"" is not a valid image format","""%1"" は正しくない画像フォーマットです"
"""%1"" cannot contain more than %2 lines.","""%1"" は %2 以上の行を含められません。"
"Invalid entity_type specified: %1","Invalid entity_type specified: %1"
"Entity is not initialized",エンティティのインスタンスが未作成です
"Unknown parameter",不明なパラメータ
"The attribute code '%1' is reserved by system. Please try another attribute code","The attribute code '%1' is reserved by system. Please try another attribute code"
"Maximum length of attribute code must be less than %1 symbols","Maximum length of attribute code must be less than %1 symbols"
"Invalid default decimal value",不正な標準値です
"Invalid default date",不正な標準日付
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: ","Invalid backend model specified: "
"Source model ""%1"" not found for attribute ""%2""","Source model ""%1"" not found for attribute ""%2"""
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date",不正な日付
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set with the ""%1"" name already exists.","An attribute set with the ""%1"" name already exists."
"No options found.","No options found."
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object",不正なオブジェクトを追加しようとしています
"Invalid attribute identifier for filter (%1)","Invalid attribute identifier for filter (%1)"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared",結合フィールドか属性のエイリアスは既に定義されています
"Invalid alias, already exists in joint attributes",不正なエイリアスです。既に結合属性で定義されています
"Invalid foreign key",不正な外部キー
"Invalid entity type",不正なエンティティタイプです
"Invalid attribute type",不正な属性タイプ
"A joined field with this alias is already declared.","A joined field with this alias is already declared."
"Invalid joint fields",不正な結合フィールド
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","データ整合性: 属性のヘッダー行がありません"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","Invalid character encountered in increment ID: %1"
"Current module pathname is undefined",現在のモジュールのパス名が未定義です
"Current module EAV entity is undefined",現在のモジュールのEAVエンティティが未定義です
"Form code is not defined",フォームコードが未定義です
"Entity instance is not defined",エンティティインスタンスが未定義です
"Invalid form type.",不正なフォーム種別です。
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code",同じコードの属性
"Frontend label is not defined",フロントエンドラベルが未定義です
"Default option value is not defined",標準のオプション値が未定義です
"Form Element with the same attribute",フォームの要素に同じ属性があります
"Form Fieldset with the same code",フォームのフィールドセットに同じコードがあります
"Form Type with the same code",フォームタイプと同じコードです
"The value of attribute ""%1"" is invalid","The value of attribute ""%1"" is invalid"
"Wrong entity ID",不正なエンティティID
"Wrong attribute set ID",不正な属性セットID
"Wrong attribute group ID",不正な属性グループID
"EAV types and attributes",EAV定義
"Entity types declaration cache.",EAV定義とキャッシュ
