"Sort Order",並び順
None,なし
Title,タイトル
Password,パスワード
Pounds,ポンド
Kilograms,キログラム
"Unable to retrieve tracking",トラッキングを読み込みできません
"Failed to parse xml document: %1","Failed to parse xml document: %1"
"Europe First Priority",ヨーロッパ速達
"1 Day Freight",翌日配達
"2 Day Freight",2営業日配達
"2 Day","2 Day"
"2 Day AM","2 Day AM"
"3 Day Freight",3営業日配達
"Express Saver",エコノミーエクスプレス便
Ground,Ground
"First Overnight",翌日早朝配達
"Home Delivery",自宅配達
"International Economy",国際船便
"Intl Economy Freight",船便
"International First",国際速達
"International Ground","International Ground"
"International Priority",国際優先便
"Intl Priority Freight",国際速達航空便
"Priority Overnight",翌日午前配達
"Smart Post","Smart Post"
"Standard Overnight",標準の翌日配達
Freight,Freight
"National Freight","National Freight"
"Regular Pickup",標準収集サービス
"Request Courier",希望配送業者
"Drop Box",収荷ボックス
"Business Service Center",ビジネスサービスセンター
Station,ステーション
"FedEx Envelope","FedEx エンベロップ"
"FedEx Pak","FedEx パック"
"FedEx Box","FedEx ボックス"
"FedEx Tube","FedEx チューブ"
"FedEx 10kg Box","FedEx 10kgボックス"
"FedEx 25kg Box","FedEx 25kgボックス"
"Your Packaging",包装
"Not Required","Not Required"
Adult,Adult
Direct,Direct
Indirect,Indirect
status,ステータス
"Empty response",空の返信
Key,キー
Debug,デバッグ
"Enabled for Checkout",有効
"Calculate Handling Fee",手数料を計算
"Handling Applied",手数料適用済み
"Handling Fee",手数料
"Weight Unit",単位(重量)
"Allowed Methods",許可する配送方法
"Displayed Error Message",エラーメッセージ表示
"Free Method",フリーメソッド
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Ship to Applicable Countries",利用可能な国にのみ配送する
"Ship to Specific Countries",特定の国にのみ配送する
"Show Method if Not Applicable",配送方法が利用できない場合でも表示する
FedEx,FeedEx
"Account ID",アカウントID
"Please make sure to use only digits here. No dashes are allowed.",数字のみで入力してください。ハイフンは使用できません。
"Meter Number","Meter Number"
"Sandbox Mode",保護モード
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
Packaging,包装
Dropoff,収荷場所
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)",最大積載重量(配送業者にお問い合わせください)
"Residential Delivery",宅配
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
