Cancel,キャンセル
From,開始
To,終了
OK,OK
"Gift Message",ギフトメッセージ
"Unknown entity type",不明なエンティティタイプ
Message,メッセージ
"Gift Options",ギフトオプション
"Do you have any gift items in your order?",ギフトにする商品がありますか？
"Add gift options",ギフトオプションの追加
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
"Gift Options for Individual Items",個別商品に対するギフトオプション
"<span>Item %1</span> of %2","<span>Item %1</span> of %2"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"Add gift options for the Entire Order",注文全体にギフトオプションを追加する
"You can leave this box blank if you do not wish to add a gift message for this address.",この配送先にギフトメッセージを希望されない場合は空欄にしておくことができます。
"Add gift options for Individual Items",個別の商品にギフトオプションを追加する
"You can leave this box blank if you do not wish to add a gift message for the item.",この商品にギフトメッセージを希望されない場合は空欄にしておくことができます。
"Allow Gift Messages on Order Level",注文ごとにギフトメッセージを許可する
"Allow Gift Messages for Order Items",注文商品ごとにギフトメッセージを許可する
