"Are you sure?",よろしいですか？
Remove,削除
Items,商品
Product,商品
Price,価格
Delete,削除
Yes,Yes
No,No
Catalog,カタログ
ID,ID
SKU,商品番号
Required,必須
Default,標準
"Add New Attribute",新規属性の追加
Type,タイプ
"Attribute Set",属性セット
Title,タイトル
Action,アクション
Description,概要
Condition,条件
Synchronize,同期
Confirm,承認
Gender,性別
Adult,Adult
Expires,期限切れ
"This action will update items' attributes and remove items that are not available in Google Content. If an attribute was deleted from the mapping, it will also be deleted from Google. Do you want to continue?","This action will update items' attributes and remove items that are not available in Google Content. If an attribute was deleted from the mapping, it will also be deleted from Google. Do you want to continue?"
"Add to Google Content","Add to Google Content"
"View Item in Google Content","View Item in Google Content"
"Add Attribute Mapping",マッピング属性追加
"Manage Attribute Mapping",マッピング属性の管理
"Save Mapping",マッピングの保存
"Delete Mapping",マッピングの削除
"Edit attribute set mapping","Edit attribute set mapping"
"New attribute set mapping",新しい属性セットマッピング
"Custom attribute, no mapping",カスタム属性、マッピング不可
"Attribute set mapping","Attribute set mapping"
"Target Country",対象国
"Google Product Category","Google Product Category"
"Attributes Mapping",属性マッピング
"Unable to select a Store View","Unable to select a Store View"
"Captcha has been confirmed.",Captchaを確認しました。
"There was a Captcha confirmation error: %1","There was a Captcha confirmation error: %1"
"Something went wrong during Captcha confirmation.","Something went wrong during Captcha confirmation."
"Google Content",Googleコンテンツ
"Google Content Items","Google Content Items"
"The store's currency should be set to %1 for %2 in system configuration. Otherwise item prices won't be correct in Google Content.","The store's currency should be set to %1 for %2 in system configuration. Otherwise item prices won't be correct in Google Content."
"An error has occurred while adding products to google shopping account.","An error has occurred while adding products to google shopping account."
"An error has occurred while deleting products from google shopping account.","An error has occurred while deleting products from google shopping account."
"One or more products were not deleted from google shopping account. Refer to the log file for details.","One or more products were not deleted from google shopping account. Refer to the log file for details."
"Attribute set mapping was deleted","Attribute set mapping was deleted"
"We can't delete Attribute Set Mapping.","We can't delete Attribute Set Mapping."
"Google Content Attribute Mapping","Google Content Attribute Mapping"
"Google Content Attributes","Google Content Attributes"
"We can't edit Attribute Set Mapping.","We can't edit Attribute Set Mapping."
"Attribute Maps","Attribute Maps"
"We can't load attribute sets.","We can't load attribute sets."
"We can't load attributes.","We can't load attributes."
"New Google Content Attribute Mapping","New Google Content Attribute Mapping"
"We can't create Attribute Set Mapping.","We can't create Attribute Set Mapping."
"The attribute mapping has been saved.","The attribute mapping has been saved."
"We can't save Attribute Set Mapping.","We can't save Attribute Set Mapping."
"For information on Google's required attributes for different product categories, please see this link: %s","For information on Google's required attributes for different product categories, please see this link: %s"
"See '\1'","See '\1'"
"for product '%1' (in '%2' store)","for product '%1' (in '%2' store)"
"Please correct the attribute ""%1"" type for Google Shopping. The product with this attribute hasn't been updated in Google Content.","Please correct the attribute ""%1"" type for Google Shopping. The product with this attribute hasn't been updated in Google Content."
"Google shopping only supports %1 tax rates per product","Google shopping only supports %1 tax rates per product"
"The Google Content item for product '%1' (in '%2' store) already exists.","The Google Content item for product '%1' (in '%2' store) already exists."
"The product ""%1"" cannot be added to Google Content. %2","The product ""%1"" cannot be added to Google Content. %2"
"The product ""%1"" hasn't been added to Google Content.","The product ""%1"" hasn't been added to Google Content."
"Products were added to Google Shopping account.","Products were added to Google Shopping account."
"A total of %1 product(s) have been added to Google Content.","A total of %1 product(s) have been added to Google Content."
"Errors happened while adding products to Google Shopping.","Errors happened while adding products to Google Shopping."
"Operation of adding products to Google Shopping expired.","Operation of adding products to Google Shopping expired."
"Some products may have not been added to Google Shopping bacause of expiration","Some products may have not been added to Google Shopping bacause of expiration"
"The item ""%1"" cannot be updated at Google Content. %2","The item ""%1"" cannot be updated at Google Content. %2"
"The item ""%1"" hasn't been updated.","The item ""%1"" hasn't been updated."
"Product synchronization with Google Shopping completed","Product synchronization with Google Shopping completed"
