Cancel,キャンセル
Price,価格
Name,名前
ID,ID
SKU,商品番号
Availability,在庫状況
"In stock",在庫あり
"Out of stock",在庫切れ
Availability:,在庫状況:
Qty,個数
"No options of this product are available.",利用可能なオプションがありません。
"Product Name",商品名
"Associated Products",紐付け済み商品
"Grouped Products","Grouped Products"
"We cannot process the item.","We cannot process the item."
"Please specify the quantity of product(s).",商品の個数を指定してください。
"There are no grouped products.","There are no grouped products."
"Default Qty",標準個数
"Starting at","Starting at"
"Grouped product items","Grouped product items"
"Add Selected Products","Add Selected Products"
"Add Products to Group","Add Products to Group"
"Grouped Product Image",グループ商品の画像
