"-- Please Select --","-- 選択してください --"
Status,状態
From,開始
To,終了
Export,エクスポート
label,ラベル
"Attribute Code",属性コード
Import,インポート
Continue,続ける
"Attribute Label",属性ラベル
"Export Settings",エクスポート設定
"Entity Type",エンティティタイプ
"Export File Format",エクスポートファイルフォーマット
"Attribute does not has options, so filtering is impossible",属性にオプションが登録されていません。フィルタできません。
Exclude,除外
Filter,フィルタ
"Unknown attribute filter type",不明な属性フィルタタイプ
"Check Data",データチェック
"Import Settings",インポート設定
"Import Behavior",インポートの振る舞い
"File to Import","File to Import"
"Select File to Import",インポートするファイルを選択
"Please correct the data sent.","Please correct the data sent."
Import/Export,インポート/エクスポート
"Import successfully done","Import successfully done"
"File is totally invalid. Please fix errors and re-upload file.","File is totally invalid. Please fix errors and re-upload file."
"Errors limit (%1) reached. Please fix errors and re-upload file.","Errors limit (%1) reached. Please fix errors and re-upload file."
"Please fix errors and re-upload file or simply press ""Import"" button' ' to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button' ' to skip rows with errors"
"File is partially valid, but import is not possible",ファイルは取り込み可能なデータを含んでいますが、取り込みできる水準に達していません
"in rows:",行:
"File does not contain data. Please upload another one",ファイルにデータが含まれていません。やり直してください。
"File is valid! To start import process press ""Import"" button","ファイルは正常です。インポートを開始するには ""インポート"" ボタンをクリックしてください。"
"File is valid, but import is not possible",ファイルは正常ですがインポートできません。
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4"
"Please fix errors and re-upload file.","Please fix errors and re-upload file."
"File was not uploaded",ファイルがアップロードされていません
"Data is invalid or file is not uploaded",データが不正であるかファイルがアップロードされていません
"The total size of the uploadable files can't be more than %1M","The total size of the uploadable files can't be more than %1M"
"System doesn't allow to get file upload settings","System doesn't allow to get file upload settings"
"Please enter a correct entity model","Please enter a correct entity model"
"Entity adapter object must be an instance of %1 or %2","Entity adapter object must be an instance of %1 or %2"
"The input entity code is not equal to entity adapter code.","The input entity code is not equal to entity adapter code."
"Please enter a correct entity.","Please enter a correct entity."
"Adapter object must be an instance of %1","Adapter object must be an instance of %1"
"Please correct the file format.","Please correct the file format."
"Begin export of %1","Begin export of %1"
"There is no data for export",エクスポートできるデータがありません
"Exported %1 rows.","Exported %1 rows."
"Export has been done.",エクスポート完了しました。
"Please provide filter data.","Please provide filter data."
"Cannot determine attribute filter type","Cannot determine attribute filter type"
"Entity is unknown",エンティティが不明です
"File format is unknown",ファイル形式が不明です
"Please correct the value for '%1' column","Please correct the value for '%1' column"
"Please specify writer.","Please specify writer."
"Destination file path must be a string",保存先ファイルパスは文字列でなければなりません
"Destination directory is not writable",保存先ディレクトリに書き込み権限がありません
"Destination file is not writable",保存先ファイルに書き込み権限がありません
"Header column names already set",ヘッダ列が既にセットされています
"in rows",行
"Validation finished successfully",チェック完了
"File does not contain data.",ファイルにデータがありません。
"Begin import of ""%1"" with ""%2"" behavior","Begin import of ""%1"" with ""%2"" behavior"
"Import has been done successfuly.",インポートが完了しました。
"File was not uploaded.","File was not uploaded."
"Uploaded file has no extension",アップロードしたファイルに拡張子がありません
"Source file moving failed",元ファイルの移動に失敗しました
"Begin data validation",データ検証開始
"Done import data validation",インポートデータ検証完了
"Invalid behavior token for %1","Invalid behavior token for %1"
"Source is not set",元ファイルが未指定です
"Please correct the value for '%s'.","Please correct the value for '%s'."
"Duplicate Unique Attribute for '%s'","ユニーク属性 '%s' の重複"
"Cannot find required columns: %1","Cannot find required columns: %1"
"Columns number: ""%1"" have empty headers","Columns number: ""%1"" have empty headers"
"Column names: ""%1"" are invalid","Column names: ""%1"" are invalid"
"The adapter type must be a non empty string.","The adapter type must be a non empty string."
"'%1' file extension is not supported","'%1' file extension is not supported"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Please specify a source."
"Cannot get autoincrement value",オートインクリメント値を取得できません
"Error in data structure: %1 values are mixed","Error in data structure: %1 values are mixed"
"Append Complex Data",追記モード
"Replace Existing Complex Data",上書き
"Delete Entities",エンティティ削除
"Add/Update Complex Data","Add/Update Complex Data"
"Custom Action","Custom Action"
"Entity Attributes",エンティティ属性
"Validation Results",検証結果
