Remove,削除
Cancel,キャンセル
Email,Eメール
Save,保存
General,全般
Name,名前
Status,状態
View,表示
Edit,編集
All,全て
"Basic Settings","Basic Settings"
Active,アクティブ
Inactive,非アクティブ
Integrations,Integrations
"Add New Integration","Add New Integration"
API,API
"Save & Activate","Save & Activate"
"New Integration","New Integration"
"Edit Integration '%1'","Edit Integration '%1'"
"Integration Info","Integration Info"
"Callback URL",コールバックURL
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party account with this Magento integration credentials."
"Integration Details","Integration Details"
"Integration Tokens for Extensions","Integration Tokens for Extensions"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Uninstall the extension to remove this integration","Uninstall the extension to remove this integration"
Activate,有効化
Reauthorize,Reauthorize
"Uninstall the extension to remove integration '%1'.","Uninstall the extension to remove integration '%1'."
"This integration no longer exists.","This integration no longer exists."
"The integration '%1' has been deleted.","The integration '%1' has been deleted."
"Integration ID is not specified or is invalid.","Integration ID is not specified or is invalid."
"Internal error. Check exception log for details.","Internal error. Check exception log for details."
"View ""%1"" Integration","View ""%1"" Integration"
"Edit ""%1"" Integration","Edit ""%1"" Integration"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information"
"The integration '%1' has been saved.","The integration '%1' has been saved."
"The integration was not saved.","The integration was not saved."
"The integration '%1' has been re-authorized.","The integration '%1' has been re-authorized."
"The integration '%1' has been activated.","The integration '%1' has been activated."
"Integration '%1' has been sent for re-authorization.","Integration '%1' has been sent for re-authorization."
"Integration '%1' has been sent for activation.","Integration '%1' has been sent for activation."
"Invalid Callback URL",不正なコールバックURL
"Invalid Rejected Callback URL",不正な拒否されたコールバックURL
"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' が長すぎます。 %min% 文字以下でなければいけません。"
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' が短すぎます。 %min% 文字以上でなければいけません。"
"Invalid token to except","Invalid token to except"
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Error happened while granting permissions. Check exception log for details.","Error happened while granting permissions. Check exception log for details."
"Error happened while deleting role and permissions. Check exception log for details.","Error happened while deleting role and permissions. Check exception log for details."
"This customer has no tokens.","This customer has no tokens."
"Integration with name '%1' exists.","Integration with name '%1' exists."
"Integration with ID '%1' does not exist.","Integration with ID '%1' does not exist."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"Consumer with ID '%1' does not exist.","Consumer with ID '%1' does not exist."
"The integration you selected asks you to approve access to the following:","The integration you selected asks you to approve access to the following:"
"No permissions requested","No permissions requested"
"Are you sure ?","Are you sure ?"
"Are you sure you want to delete this integration? You can't undo this action.","Are you sure you want to delete this integration? You can't undo this action."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Please setup or sign in into your 3rd party account to complete setup of this integration."
"Available APIs","Available APIs"
"Resource Access",リソースアクセス
Custom,カスタム
Resources,リソース
Allow,許可
Done,完了
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
OAuth,OAuth
"Cleanup Settings",クリーンアップ設定
"Cleanup Probability",クリーンアップ頻度
"Expiration Period",有効期限
"Consumer Settings","Consumer Settings"
"OAuth consumer credentials HTTP Post maxredirects","OAuth consumer credentials HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth consumer credentials HTTP Post timeout"
"Integrations Configuration","Integrations Configuration"
"Integration configuration file.","Integration configuration file."
"Integrations API Configuration","Integrations API Configuration"
"Integrations API configuration file.","Integrations API configuration file."
"No Integrations Found","No Integrations Found"
