Price,価格
"Click for price",クリックして価格を表示
"Use config",設定を使用する
"Add to Cart",カートに入れる
"See price before order confirmation.",注文確定前に価格を表示する。
"What's this?",これは何ですか？
"To see product price, add this item to your cart. You can always remove it later.",商品の価格を確認するためにカートに入れてください。カートから削除することはいつでも可能です。
"On Gesture",操作で
"In Cart",カートの中
"Before Order Confirmation",注文確認前
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order"
"You will see the order total before you submit the order.","You will see the order total before you submit the order."
"Actual Price",実価格
"Minimum Advertised Price",希望小売価格
"Enable MAP",MAPを有効にする
"Display Actual Price",実際の価格を表示
"Default Popup Text Message",標準のポップアップメッセージ
"Default ""What's This"" Text Message","標準の ""これは何ですか"" メッセージ"
