Items,商品
Total,合計
Product,商品
Price,価格
Actions,アクション
Qty,個数
"Product Name",商品名
Subtotal,小計
Change,変更
Edit,編集
"Billing Information",請求先情報
"Order Review",ご注文の確認
"Shipping Information",配送情報
"Shipping Method",発送方法
Item,商品
"Continue Shopping",お買い物を続ける
"Remove item",商品を削除
"Excl. Tax",税別
"Billing Address",請求先住所
"Payment Method",お支払方法
"Place Order",注文を確定する
"Incl. Tax",税込
"Sorry, no quotes are available for this order at this time.",申し訳ありません、現在この注文でお見積もりはご利用できません。
"Edit Address",住所の編集
"Add New Address",住所を追加
"Change Billing Address",請求先住所変更
"Ship to Multiple Addresses",複数の住所へ送る
"Billing Information - %1","Billing Information - %1"
"Review Order - %1","Review Order - %1"
"Total for this address",このアドレスへの合計
"Shipping Methods",配送方法
"Edit Billing Address",請求先住所を編集
"Edit Shipping Address",配送先を編集
"Create Billing Address",請求先住所を作成
"Create Shipping Address",発送先住所を作成
"Data saving problem",データ保存問題
"We cannot open the overview page.","We cannot open the overview page."
"Please agree to all Terms and Conditions before placing the order.",ご注文前にご一読ください。
"Order place error","Order place error"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"Payment method is not defined",支払方法が定義されていません
"The requested Payment Method is not available for multishipping.","The requested Payment Method is not available for multishipping."
"Item not found or already ordered",商品が見つからないか、ご注文済みです
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.",お届先住所を確認してください。
"Please specify shipping methods for all addresses.",すべての配送先に配送方法を指定してください。
"Please check billing address information.",ご請求先住所を確認してください。
"Select Addresses",住所選択
"Order Success",注文成功
"Default Billing",標準の請求先
"Default Shipping",標準の配送方法
"Select Address",住所選択
"Back to Billing Information",請求先情報に戻る
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items."
"Send To",配送先
"Shipping selection is not applicable.",送料の選択が正しくありません。
"Remove Item",商品を削除
"Continue to Shipping Information",配送先情報へ
"Update Qty &amp; Addresses",数量&amp;住所の更新
"Enter a New Address",新しい住所を入力
"Back to Shopping Cart",ショッピングカートに戻る
"Continue to Review Your Order",ご注文内容の確認へ
"Back to Shipping Information",発送情報に戻る
"Other items in your order","Other items in your order"
"Edit Items",アイテムを編集
"Shipping is not applicable.","Shipping is not applicable."
"Checkout with Multiple Addresses",複数住所へ配送する
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Shipping To",配送先
"Grand Total:",合計：
"Submitting order information...",注文情報を送信しています。。。
"Continue to Billing Information",ご請求先情報へ
"Back to Select Addresses",住所選択に戻る
"Thank you for your purchase!",ご購入ありがとうございました！
"Thanks for your order. We'll send you emails with order details and tracking information.","Thanks for your order. We'll send you emails with order details and tracking information."
"Your order number is ",ご注文番号は
"Your order has been received.",ご注文をお受けしました。
"Multishipping Settings","Multishipping Settings"
Options,オプション
"Allow Shipping to Multiple Addresses",複数配送を許可
"Maximum Qty Allowed for Shipping to Multiple Addresses",複数配送で許可する最大個数
"Review Order",注文の確認
"Select Shipping Method",配送方法を選択
