Cancel,キャンセル
Customer,顧客
Guest,ゲスト様
Email,Eメール
Back,戻る
Delete,削除
Store,店舗
"Web Site",ウェブサイト
Status,状態
Reset,リセット
"Store View",ストアビュー
ID,ID
Type,タイプ
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
Action,アクション
Preview,プレビュー
Newsletter,ニュースレター
Subject,件名
Sent,送信済
"Not Sent",未送信
Sending,送信中
Paused,ポーズ
"Add New Template",新しいテンプレートの追加
"Delete Template",テンプレートの削除
"Convert to Plain Text",プレーンテキストに変換
"Preview Template",テンプレートのプレビュー
"Save Template",テンプレートの保存
"Template Information",テンプレート情報
"Template Name",テンプレート名
"Template Subject",テンプレート件名
"Template Content",テンプレートコンテンツ
"Template Styles",テンプレートスタイル
"Edit Template",テンプレートの編集
"New Template",新規テンプレート
Template,テンプレート
"Are you sure that you want to delete this template?",このテンプレートを削除してもよろしいですか？
Message,メッセージ
"Delete Selected Problems",選択した問題を削除する
"Unsubscribe Selected",未購読を選択しました
"Save Newsletter",ニュースレターの保存
"Save and Resume",保存して続ける
"View Newsletter",ニュースレターを見る
"Edit Newsletter",ニュースレターの編集
"Queue Information",キュー情報
"Queue Date Start",キュー開始日
"Subscribers From",購読者
"Sender Name",送信者名
"Sender Email",送信者アドレス
"Newsletter Styles",ニュースレター形式
Start,開始
Pause,ポーズ
"Do you really want to cancel the queue?",キューをキャンセルしてもよろしいですか？
Resume,レジューム
"Newsletter Templates",ニュースレターテンプレート
"Return HTML Version",HTMLバージョン
"Save As",名前をつけて保存
"Edit Newsletter Template",ニュースレターテンプレートの編集
"New Newsletter Template",新規ニュースレターテンプレート
"No Templates Found",テンプレートが見つかりませんでした
Added,Added
Updated,Updated
Sender,発送人
"Template Type",テンプレートタイプ
"Queue Newsletter...",ニュースレター配信予約
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports",ニュースレター問題報告
"Newsletter Queue",ニュースレターキュー
"Edit Queue",キューを編集
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"The newsletter queue has been saved.","The newsletter queue has been saved."
"Newsletter Subscribers",ニュースレター購読者
Subscribers,購読者
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"The newsletter template has been deleted.","The newsletter template has been deleted."
"An error occurred while deleting this template.",テンプレートの削除中にエラーが発生しました。
"Create Newsletter Template",新しいメールテンプレートを作成
"The newsletter template has been saved.","The newsletter template has been saved."
"An error occurred while saving this template.",テンプレートを保存中にエラーが発生しました。
"Newsletter Subscription",ニュースレター購読
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.",ニュースレター購読登録を完了しました。
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.",このメールアドレスは既に使用されています。
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
"Please enter a valid email address.",正しいメールアドレスを入力してください。
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.",ご購読ありがとうございます。
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You have been unsubscribed.",未購読になりました。
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
Cancelled,キャンセル済
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:",ストアビューを選択:
"Newsletter Message Preview",ニュースレタープレビュー
"Add to Queue",キューに追加
"Are you sure that you want to strip all tags?",タグを全て除去してもよろしいですか？
"Please enter new template name.","Please enter new template name."
" Copy",コピー
"Sign Up for Our Newsletter:",ニュースレターをご購読ください:
"Enter your email address",メールアドレスを入力してください
Subscribe,購読
CSV,CSVファイル
"Excel XML",Excel形式XML
"Subscription Options",購読オプション
"Allow Guest Subscription",ゲスト購読を許可する
"Need to Confirm",確認が必要
"Confirmation Email Sender",確認メール送信者
"Confirmation Email Template",確認メールテンプレート
"Success Email Sender",成功メール送信者
"Success Email Template",成功メールテンプレート
"Unsubscription Email Sender",購読解除メール送信者
"Unsubscription Email Template",購読解除メールテンプレート
"We found no problems.","We found no problems."
Subscriber,購読者
"Queue Start Date","Queue Start Date"
"Queue Subject",キュータイトル
"Error Code",エラーコード
"Error Text",エラーテキスト
"Queue Start",キュー開始
"Queue End","Queue End"
Processed,処理完了
Recipients,受取人
Unsubscribe,購読解除
"Customer First Name",顧客名
"Customer Last Name",顧客姓
"Not Activated",未アクティブ
Subscribed,購読済
Unsubscribed,購読解除
Unconfirmed,未確認
