Price,価格
No,No
Enabled,有効
"Sort Order",並び順
Export,エクスポート
None,なし
Type,タイプ
Import,インポート
Title,タイトル
Country,国
"Zip/Postal Code",郵便番号
Condition,条件
Region/State,地域
"Shipping Price",配送料
"Export CSV",CSVでエクスポート
"Store Pickup",店舗ピックアップ
"Weight vs. Destination",重量と配送先
"Price vs. Destination",価格と配送先
"# of Items vs. Destination",商品点数と配送先
"Weight (and above)",重量
"Order Subtotal (and above)",注文小計
"# of Items (and above)","件の商品 (とそれ以上)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"Per Order",注文ごと
"Per Item",商品ごと
"Free Shipping",送料無料
"For matching items only",一致する商品のみ
"For shipment with matching items",一致する商品の配送
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Calculate Handling Fee",手数料を計算
"Handling Fee",手数料
"Displayed Error Message",エラーメッセージ表示
"Ship to Applicable Countries",利用可能な国にのみ配送する
"Ship to Specific Countries",特定の国にのみ配送する
"Show Method if Not Applicable",配送方法が利用できない場合でも表示する
"Flat Rate",定額
"Method Name",配送方法名
"Table Rates",料金表
"Include Virtual Products in Price Calculation",仮想商品を配送料計算に含める
"Minimum Order Amount",最小注文金額
