Orders,注文
Bestsellers,ベストセラー
Customers,顧客
Customer,顧客
Guest,ゲスト
Items,アイテム
Average,平均
Total,合計
Product,商品
Price,Price
"Order Quantity",注文点数
Views,Views
Revenue,収益
Tax,税
Shipping,配送
Quantity,数量
"First Name",名
"Last Name",姓
Email,メールアドレス
Refresh,更新
Yes,Yes
No,No
Name,Name
From,From
To,To
Dashboard,ダッシュボード
"All Websites",全てのウェブサイト
ID,ID
SKU,SKU
Invoiced,領収済
Refunded,返金済
Canceled,キャンセル済
"In stock",在庫あり
"Out of stock",在庫切れ
Subtotal,小計
Day,日
Month,月
Year,年
Products,Products
Title,Title
Action,Action
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
Description,Description
"Shopping Cart","Shopping Cart"
"Items in Cart","Items in Cart"
Sales,Sales
Created,Created
Unlimited,Unlimited
Filter,Filter
Added,Added
Updated,Updated
Discount,Discount
"New Accounts","New Accounts"
"Customers by number of orders","Customers by number of orders"
"Customers by Orders Total","Customers by Orders Total"
"Match Period To","Match Period To"
Period,Period
"Empty Rows","Empty Rows"
"Invalid date specified","Invalid date specified"
"We couldn't find records for this period.","We couldn't find records for this period."
"Show Reviews","Show Reviews"
"Products Report","Products Report"
Downloads,Downloads
Link,Link
Purchases,Purchases
CSV,CSV
"Excel XML","Excel XML"
Viewed,Viewed
Purchased,Purchased
Fulfilled,Fulfilled
"Low stock","Low stock"
"Products Ordered","Products Ordered"
"Most Viewed","Most Viewed"
"Show Report","Show Report"
Interval,Interval
"Refresh Statistics","Refresh Statistics"
"Customers Reviews","Customers Reviews"
"Reviews for %1","Reviews for %1"
Detail,Detail
"Products Reviews","Products Reviews"
"Products Bestsellers Report","Products Bestsellers Report"
"Coupons Usage Report","Coupons Usage Report"
"Coupon Code","Coupon Code"
"Price Rule","Price Rule"
Uses,Uses
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Total Refunded Report"
