Remove,削除
"Please wait, loading...",読み込み中です
"Attribute Set",属性セット
Category,カテゴリ
Apply,反映
"Conditions Combination",条件の組み合わせ
Add,追加
"Invalid discount amount.",不正な割引き額です。
"End Date must follow Start Date.","End Date must follow Start Date."
"Websites must be specified.",ウェブサイトを指定してください。
"Customer Groups must be specified.",顧客グループを指定してください。
to,終了
by,より
"Please choose an action to add.","Please choose an action to add."
"Perform following actions",次のアクションを評価する
is,と等しい
"is not",と等しくない
"equals or greater than",等しいかそれより大きい
"equals or less than",等しいかそれより小さい
"greater than",より大きい
"less than",より小さい
contains,含む
"does not contain",含まない
"is one of",のひとつ
"is not one of",のひとつではない
"Please choose a condition to add.","Please choose a condition to add."
ALL,全て
ANY,いずれか
TRUE,TRUE
FALSE,FALSE
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Open Chooser",選択を開く
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
