Remove,削除
Close,閉じる
Cancel,キャンセル
Orders,注文
Customer,顧客
Guest,ゲスト
"Grand Total",合計
Product,商品
Price,Price
Tax,税
Shipping,配送
Quantity,数量
"Account Information",アカウント情報
"First Name",名
"Last Name",姓
Email,メールアドレス
Refresh,更新
Enable,有効
Back,戻る
General,全般
Yes,Yes
No,No
Name,Name
Status,ステータス
Enabled,有効
Home,ホーム
Search,検索
Any,全て
From,From
To,To
" [deleted]"," [削除済]"
Dashboard,ダッシュボード
title,タイトル
Website,ウェブサイト
Specified,特定
Order,注文
View,表示
Actions,アクション
ID,ID
SKU,SKU
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
N/A,N/A
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Refunded,Refunded
Canceled,Canceled
Qty,Qty
"Gift Message","Gift Message"
From:,From:
To:,To:
Message:,Message:
"Product Name","Product Name"
Subtotal,Subtotal
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"Qty Invoiced","Qty Invoiced"
"Qty Shipped","Qty Shipped"
"Tier Pricing","Tier Pricing"
Edit,Edit
"Go to Home Page","Go to Home Page"
Products,Products
Title,Title
"Customer Group","Customer Group"
Action,Action
"Add to Cart","Add to Cart"
Apply,Apply
"Shopping Cart","Shopping Cart"
Country,Country
State/Province,State/Province
"Payment Information","Payment Information"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
Item,Item
"Clear Shopping Cart","Clear Shopping Cart"
"Move to Wishlist","Move to Wishlist"
City,City
"Zip/Postal Code","Zip/Postal Code"
"Excl. Tax","Excl. Tax"
Company,Company
Address,Address
"Street Address","Street Address"
"Phone Number","Phone Number"
"Save in address book","Save in address book"
Continue,Continue
"Order #","Order #"
"No Payment Methods","No Payment Methods"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Payment Method","Payment Method"
"Incl. Tax","Incl. Tax"
Sales,Sales
Created,Created
Select,Select
%1,%1
"Add New Address","Add New Address"
Configure,Configure
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Order Total","Order Total"
"Purchase Point","Purchase Point"
Pending,Pending
Date,Date
"View Order","View Order"
Template,Template
Message,Message
"Gift Options","Gift Options"
"If you don't want to leave a gift message for the entire order, leave this box blank.","If you don't want to leave a gift message for the entire order, leave this box blank."
Processing,Processing
"Newsletter Subscription","Newsletter Subscription"
Discount,Discount
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded","Total Refunded"
Paid,Paid
"Tax Amount","Tax Amount"
Coupons,Coupons
"Recently Viewed","Recently Viewed"
"View All","View All"
"Credit Memos","Credit Memos"
Invoices,Invoices
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Create New Order"
"Save Order Address","Save Order Address"
Billing,Billing
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","Submit Comment"
"Submit Order","Submit Order"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Order Comment","Order Comment"
"Please select a customer.","Please select a customer."
"Create New Customer","Create New Customer"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Create New Order for New Customer"
"Items Ordered","Items Ordered"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"This product does not have any configurable options","This product does not have any configurable options"
"Please select products.","Please select products."
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Update Changes","Update Changes"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Products in Comparison List","Products in Comparison List"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Last Ordered Items","Last Ordered Items"
"Wish List","Wish List"
"Please select a store.","Please select a store."
"Order Totals","Order Totals"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","Update Qty's"
Refund,Refund
"Refund Offline","Refund Offline"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","Send Email"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
Void,Void
Print,Print
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","the credit memo email is not sent"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Total Refund"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Submit Invoice"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo","Credit Memo"
Capture,Capture
"the invoice email was sent","the invoice email was sent"
"the invoice email is not sent","the invoice email is not sent"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Order Statuses"
"Create New Status","Create New Status"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","Order Status"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Edit Order Status"
"Save Status","Save Status"
"New Order Status","New Order Status"
"Order Status Information","Order Status Information"
"Status Code","Status Code"
"Status Label","Status Label"
"Store View Specific Labels","Store View Specific Labels"
