Delete,削除
Yes,Yes
No,No
"Web Site",ウェブサイト
Status,ステータス
"Save and Continue Edit",保存して編集を続ける
Catalog,カタログ
Actions,アクション
ID,ID
Subtotal,Subtotal
"Discount Amount","Discount Amount"
Websites,Websites
"Special Price","Special Price"
"Add New Rule","Add New Rule"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
Apply,Apply
"Stop Further Rules Processing","Stop Further Rules Processing"
Conditions,Conditions
"General Information","General Information"
"Rule Name","Rule Name"
Description,Description
Active,Active
Inactive,Inactive
"Customer Groups","Customer Groups"
"From Date","From Date"
"To Date","To Date"
Priority,Priority
Promotions,Promotions
"The rule has been deleted.","The rule has been deleted."
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"This rule no longer exists.","This rule no longer exists."
"Edit Rule","Edit Rule"
"The rule has been saved.","The rule has been saved."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Update the Product","Update the Product"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
Created,Created
Discount,Discount
CSV,CSV
"Excel XML","Excel XML"
"Coupon Code","Coupon Code"
Uses,Uses
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"Store View Specific Labels","Store View Specific Labels"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Discount (%1)","Discount (%1)"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Update prices using the following information","Update prices using the following information"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Apply the rule only to cart items matching the following conditions ' '(leave blank for all items)."
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Manage Coupon Codes","Manage Coupon Codes"
"Coupons Information","Coupons Information"
"Coupon Qty","Coupon Qty"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","If empty no separation."
Generate,Generate
"Times Used","Times Used"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
Labels,Labels
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
Coupon,Coupon
"Use Auto Generation","Use Auto Generation"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Public In RSS Feed","Public In RSS Feed"
Rule,Rule
"Start on","Start on"
"End on","End on"
"%1 - Discounts and Coupons","%1 - Discounts and Coupons"
Coupons/Discounts,Coupons/Discounts
"Cart Price Rules","Cart Price Rules"
"We can't find a rule to delete.","We can't find a rule to delete."
"New Cart Price Rule","New Cart Price Rule"
"Rule is not defined","Rule is not defined"
"Invalid data provided","Invalid data provided"
"%1 coupon(s) have been generated.","%1 coupon(s) have been generated."
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"The wrong rule is specified.","The wrong rule is specified."
Alphanumeric,Alphanumeric
Alphabetical,Alphabetical
Numeric,Numeric
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled."
"Coupon with the same code","Coupon with the same code"
"No Coupon","No Coupon"
"Specific Coupon","Specific Coupon"
Auto,Auto
"Can't acquire coupon.","Can't acquire coupon."
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Quantity in cart","Quantity in cart"
"Price in cart","Price in cart"
"Row total in cart","Row total in cart"
"Cart Item Attribute","Cart Item Attribute"
FOUND,FOUND
"NOT FOUND","NOT FOUND"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","total quantity"
"total amount","total amount"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Item totals are not set for the rule.","Item totals are not set for the rule."
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
