"Are you sure?",よろしいですか？
Cancel,キャンセル
Product,商品
Delete,削除
"Select All",全て選択
OK,OK
Fixed,固定
SKU,商品番号
N/A,該当無し
Percent,パーセント
Qty,個数
"Product Name",商品名
"Qty Shipped",配送数
"Close Window",ウインドウを閉じる
Type,タイプ
Title,タイトル
Action,アクション
Description,概要
Country,国
"Payment Information",お支払情報
"Shipping Information",配送情報
City,市区町村
"Street Address",番地
"Incl. Tax",税込
Add,追加
Weight,重さ
cm,cm
Height,高さ
Width,幅
"No packages for request","No packages for request"
Date,日付
Region/State,地域
"Shipping Methods",配送方法
"Per Order",注文ごと
"All Allowed Countries",全ての許可された国
"Specific Countries",選択された国のみ
"Please select products.","Please select products."
Print,印刷
Ship,配送
Shipments,配送
"Order # %1","Order # %1"
"Back to My Orders",ご注文画面に戻る
"View Another Order",他の注文を表示
"Cannot add new comment.",コメントを追加できません。
"The order no longer exists.",この注文データは存在しません。
"Total Shipping Charges",配送料合計
Number,数
"Append Comments",コメントを追加
"The order was placed using %1.","The order was placed using %1."
"No shipping information available",有効な配送方法がありません。
"Total Weight",総重量
"New Shipment for Order #%1","New Shipment for Order #%1"
"Submit Shipment",配送送信
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","You are trying to add a quantity for some products that doesn't match the quantity that was shipped."
"Products should be added to package(s)",商品を梱包に追加しなければなりません。
"The value that you entered is not valid.",入力された値が不正です。
"Add Tracking Number",追跡番号追加
"Custom Value",カスタム値
"Send Tracking Information",トラッキング情報を送信
"Are you sure you want to send a Shipment email to customer?","Are you sure you want to send a Shipment email to customer?"
"the shipment email was sent",配送メールを送信しました。
"the shipment email is not sent",配送メールは未送信です。
"Shipment #%1 | %3 (%2)","Shipment #%1 | %3 (%2)"
"Create Shipping Label...",配送ラベルを作成...
"Print Shipping Label",配送ラベルを印刷
"Show Packages",梱包を表示
"About Your Shipment",あなたのお荷物配送状況について
"The comment text field cannot be empty.","The comment text field cannot be empty."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
"Cannot initialize shipment for adding tracking number.",追跡番号登録のために配送伝票を初期化できませんでした。
"Cannot add tracking number.",荷物追跡番号を追加できません。
"You created the shipping label.","You created the shipping label."
"An error occurred while creating shipping label.",配送ラベルの作成中にエラーが発生しました。
"You sent the shipment.","You sent the shipment."
"Cannot send shipment information.",配送案内を送信できません。
"There are no shipping labels related to selected orders.",選択した注文に紐付く配送ラベルがありません。
"There are no shipping labels related to selected shipments.",選択した配送伝票に紐付く配送ラベルがありません。
"New Shipment",新しい配送
"We don't recognize or support the file extension in this shipment: %1.","We don't recognize or support the file extension in this shipment: %1."
"Cannot initialize shipment for delete tracking number.",追跡番号削除のために配送伝票を初期化できませんでした。
"Cannot delete tracking number.",荷物追跡番号を削除できません。
"Cannot load track with retrieving identifier.",受け取った識別子でデータを読み込めません。
"The shipment has been created.",配送伝票を作成しました。
"Cannot save shipment.",配送伝票を保存できません。
"Cannot do shipment for the order separately from invoice.",請求書と別に配送伝票を作成できません。
"Cannot do shipment for the order.",配送伝票を作成できません。
"Tracking Information",荷物追跡情報
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The shipping module is not available.",配送モジュールは利用できません
"This shipping method is not available. Please specify the zip code.","This shipping method is not available. Please specify the zip code."
Development,開発
Live,Live
"Divide to equal weight (one request)","同じ重さで分割 (1リクエスト)"
"Use origin weight (few requests)","元の重量を使用 (2,3のリクエスト)"
Packages,パッケージ
Package,小包
Length,長さ
"Signature Confirmation",署名確認
"Customs Value",カスタム値
Contents,コンテンツ
Size,サイズ
Girth,寸法
"Items in the Package",梱包内の商品
"Qty Ordered",注文数
"No detail for number ""%1""","No detail for number ""%1"""
"Shipping labels is not available.","Shipping labels is not available."
"Response info is not exist.","Response info is not exist."
"Invalid carrier: %1","Invalid carrier: %1"
"We don't have enough information to create shipping labels. Please make sure your store information and settings are complete.","We don't have enough information to create shipping labels. Please make sure your store information and settings are complete."
"Per Package",パッケージごと
"Tracking information is unavailable.","Tracking information is unavailable."
"Items to Ship",配送する商品
"Qty to Ship",配送数量
"Shipment Comments",配送コメント
"Create Shipping Label",配送ラベルを作成
"Email Copy of Shipment",配送連絡メールを送信する
"Invalid value(s) for Qty to Ship",不正な出荷数量です
Carrier,配送業者
"Add Package",パッケージの追加
"Create Packages",パッケージを作成
"USPS domestic shipments don't use package types.","USPS domestic shipments don't use package types."
in,インチ
lb,ポンド
kg,kg
"Add Products",商品を追加
"Delete Package",パッケージ削除
Explanation,形式
"Add Selected Product(s) to Package",選択した商品を梱包に追加する
"Shipping &amp; Handling Information",配送料と手数料情報
"Track Order",注文追跡
"Shipping and Tracking Information",配送と追跡情報
"Track this shipment",この荷物を追跡する
"Items Shipped",配送済商品
"Shipment History",配送履歴
"Print All Shipments",すべての配送を印刷
"Shipment #",配送番号
"Print Shipment",配送を印刷
"Tracking Number(s):",追跡番号:
"Order tracking","Order tracking"
"Tracking Number:",追跡番号:
Carrier:,配送業者:
Error:,エラー:
"Tracking information is currently not available. Please ",追跡情報は現在利用できません。
