Remove,削除
Close,閉じる
"-- Please Select --","-- 選択してください --"
General,全般
"About the calendar",カレンダーについて
"Go Today",今日へ
Previous,前へ
Next,次
WK,週
Time,時間
Hour,時
Minute,分
"per page",件表示
Page,ページ
label,ラベル
"Save and Continue Edit",保存して編集を続ける
Empty,空
"%1 Item","%1 アイテム"
Show,表示
"Media Storage",メディアストレージ
"Delete Folder",フォルダを削除
"Delete File",ファイルを削除
"Insert File",ファイル挿入
"New Folder Name:",新しいフォルダ名:
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Storage Root",ストレージルート
"We cannot upload the file.","We cannot upload the file."
"We cannot delete root directory %1.","We cannot delete root directory %1."
"Custom CSS","Custom CSS"
"Select JS Files to Upload","Select JS Files to Upload"
Header,ヘッダー
"Are you sure you want to delete this theme?","Are you sure you want to delete this theme?"
"Sorry, there was an unknown error.","Sorry, there was an unknown error."
"We cannot upload the CSS file.","We cannot upload the CSS file."
"We cannot upload the JS file.","We cannot upload the JS file."
"Browse Files","Browse Files"
"Create Folder","Create Folder"
"Welcome, %1!","Welcome, %1!"
Themes,テーマ
"Theme: %1","Theme: %1"
"New Theme","New Theme"
"Theme CSS","Theme CSS"
"Theme CSS Assets","Theme CSS Assets"
"Select CSS File to Upload","Select CSS File to Upload"
"Upload CSS File","Upload CSS File"
"Download CSS File","Download CSS File"
Manage,管理
"Upload Images","Upload Images"
"Images Assets","Images Assets"
"Upload Fonts","Upload Fonts"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Edit custom.css"
"Allowed file types *.css.","Allowed file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","CSS Editor"
"Theme Settings","Theme Settings"
"Parent Theme","Parent Theme"
"Theme Path","Theme Path"
"Theme Title","Theme Title"
"Theme Preview Image","Theme Preview Image"
"Copy of %1","Copy of %1"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","Theme JavaScript"
"Upload JS Files","Upload JS Files"
"JS Editor","JS Editor"
"Allowed file types *.js.","Allowed file types *.js."
Theme,Theme
"You deleted the theme.","You deleted the theme."
"We cannot delete the theme.","We cannot delete the theme."
"File not found: ""%1"".","File not found: ""%1""."
"We cannot find file","We cannot find file"
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"Theme isn't editable.","Theme isn't editable."
"You saved the theme.","You saved the theme."
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"Theme isn't deletable.","Theme isn't deletable."
"Start date cannot be greater than end date.",開始日は終了日より前の日付を指定してください。
"Your design change for the specified store intersects with another one, please specify another
                    date range.","Your design change for the specified store intersects with another one, please specify another
                    date range."
Copy,Copy
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
