Close,閉じる
Cancel,キャンセル
Delete,削除
Save,保存
Yes,Yes
No,No
"Please select items.",アイテムを選択してください。
Submit,送信
Error,エラー
"Please select an option.",オプションを選択してください。
"This is a required field.",必須項目です
"Please enter a valid number in this field.",正しい数字で入力してください。
"Please enter a valid date.",正しい日付を入力してください。
"Please make sure your passwords match.",パスワードが合っているか確かめてください
"Please enter a valid zip code.",正しい郵便番号を入力してください。
"Please select State/Province.",地域を選択してください
"Please enter a number greater than 0 in this field.",0以上の数を入力してください。
"Please enter a valid credit card number.",正しいクレジットカード番号を入力してください。
"Please wait, loading...",読み込み中です
"No records found.",レコードが見つかりませんでした
Loading...,読み込み中
OK,OK
"New Option",新規オプション
Import,インポート
"start typing to search category","start typing to search category"
"Please enter a number 0 or greater in this field.",0以上の数字を入力してください。
"The From Date value should be less than or equal to the To Date value.",開始日は終了日と同じか過去の日付を指定してください。
"select all",全て選択
"Please specify at least one search term.",1つ以上のキーワードを指定してください。
"Incl. Tax",税込
"Delete Folder",フォルダを削除
"Delete File",ファイルを削除
"Are you sure you want to delete this address?",この住所を削除してもよろしいですか？
"Sorry, there was an unknown error.","Sorry, there was an unknown error."
"Please wait...",しばらくお待ちください。。
Activate,有効化
Reauthorize,Reauthorize
"Please enter a valid credit card verification number.",正しいカード確認番号を入力してください
"Please specify a shipping method.",配送方法を指定してください。
"Edit Order",注文編集
Complete,完了
"Add Products",商品を追加
"Upload Security Error",アップロードセキュリティエラー
"Upload HTTP Error",アップロードHTTPエラー
"Upload I/O Error",アップロードI/Oエラー
"SSL Error: Invalid or self-signed certificate","SSLエラー: 不正な証明書です"
TB,TB
GB,GB
MB,MB
kB,kB
B,B
"Add Products By SKU","Add Products By SKU"
"Insert Widget...","Insert Widget..."
"HTML tags are not allowed",HTMLタグは許可されていません
"The value is not within the specified range.",値が指定された範囲にありません。
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.",数字のみをこのフィールドで使用してください。スペースやピリオドやコンマのような文字は取り除いてください。
"Please use letters only (a-z or A-Z) in this field.","この入力エリアには (a-z or A-Z) 文字のみが使用できます。"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.",コードは半角英数字で先頭は半角英字でなくてはなりません。
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドには半角英字 (a-z or A-Z) か数字 (0-9) を使用してください。スペースや他の文字は許可されていません。"
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","このフィールドには半角英字 (a-z or A-Z) か数字 (0-9) もしくはスペースか # を使用してください。"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","正しいFAX番号を入力してください。例：(03) 3456-7890 or 03-3456-7890."
"Please enter a valid email address. For example johndoe@domain.com.",正しいメールアドレスを入力してください。（例：johndoe@domain.com）
"Please use only visible characters and spaces.",表示可能な文字かスペースを使用してください。
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.",6文字以上を入力してください。先頭と最後の空白は無視されます。
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.",7文字以上を入力してください。パスワードは半角英数字を含んでいなければなりません。
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","正しいURLを入力してください。プロトコルの指定が必要です (http://, https:// , ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","正しいURLキーを入力してください。例： ""example-page""、 ""example-page.html"" , ""anotherlevel/example-page""。"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","正しいXML識別子を入力してください。 例：something_1, block5, id-4"
"Please enter a valid social security number. For example 123-45-6789.",正しいソーシャルセキュリティナンバーを入力してください。（例：123-45-6789）
"Please enter a valid zip code. For example 90602 or 90602-1234.",正しい郵便番号を入力してください。（例：123-4567）
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","日付の形式は右の通りです: dd/mm/yyyy. （例： 17/03/2006 は 2006年3月17日）。"
"Please select one of the above options.",上のオプションから一つ選択してください。
"Please select one of the options.",オプションをひとつ選択してください。
"Credit card number does not match credit card type.",カード番号がカードの種類と一致しません。
"Card type does not match credit card number.",カードの種類がカード番号と一致しません。
"Incorrect credit card expiration date.",不正なカード有効期限です。
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","このフィールドには半角英字 (a-z or A-Z) か数字 (0-9) もしくはアンダースコア(_)を使用してください。1文字目は英文字を使用してください。"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","正しいCSSの長さを指定してください。 例：100px, 77pt, 20em, .5ex, 50%"
"Text length does not satisfy specified text range.",文字の長さが指定された範囲にありません。
"Please enter a number lower than 100.",100以下の数字を入力してください。
"Please select a file",ファイルを選択してください
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"This date is a required value.",この日付は必須項目です。
"Please enter a valid day (1-%1).","Please enter a valid day (1-%1)."
"Please enter a valid month (1-12).","正しい月を入力してください (1-12)。"
"Please enter a valid year (1900-%1).","Please enter a valid year (1900-%1)."
"Please enter a valid full date",正しい完全な日付を入力してください。
Allow,許可
Done,完了
"File extension not known or unsupported type.",ファイルの拡張子が不明又は未サポートです。
"Configure Product",商品を構成する
"Gift Options for ","Gift Options for "
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Add Selected Products","Add Selected Products"
"Select type of option.","Select type of option."
"Please add rows to option.",オプションに行を加えてください。
"Select Product","Select Product"
"Add Products to Group","Add Products to Group"
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"Something went wrong while loading the theme.","Something went wrong while loading the theme."
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"No stores were reassigned.","No stores were reassigned."
"Assign theme to your live store-view:","Assign theme to your live store-view:"
"Default title","Default title"
"The URL to assign stores is not defined.","The URL to assign stores is not defined."
"Some problem with revert action","Some problem with revert action"
"Error: unknown error.","Error: unknown error."
"Some problem with save action","Some problem with save action"
Folder,フォルダ
"Are you sure you want to delete the folder named","Are you sure you want to delete the folder named"
"Method ","Method "
Translate,Translate
"Please enter a value less than or equal to %s.","Please enter a value less than or equal to %s."
"Please enter a value greater than or equal to %s.","Please enter a value greater than or equal to %s."
"Maximum length of this field must be equal or less than %1 symbols.","Maximum length of this field must be equal or less than %1 symbols."
"Recent items","Recent items"
"Show all...","Show all..."
"Please enter a date in the past.","Please enter a date in the past."
"Please enter a date between %min and %max.","Please enter a date between %min and %max."
"Please choose to register or to checkout as a guest.","Please choose to register or to checkout as a guest."
