"Sort Order",並び順
None,なし
label,ラベル
Title,タイトル
Password,パスワード
Pounds,ポンド
Kilograms,キログラム
Ground,Ground
"Not Required","Not Required"
status,ステータス
"Empty response",空の返信
"UPS Next Day Air","UPS Next Day Air"
"UPS Second Day Air","UPS Second Day Air"
"UPS Ground","UPS Ground"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Saver","UPS Saver"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS Express","UPS Express"
"UPS Expedited","UPS Expedited"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Today Standard","UPS Today Standard"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Express Plus","UPS Express Plus"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air","Next Day Air"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Day Select"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Canada Standard",カナダ標準
"Worldwide Express","Worldwide Express"
"Worldwide Express Saver","Worldwide Express Saver"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Expedited","Worldwide Expedited"
"Customer Packaging",顧客自身による梱包
"UPS Letter Envelope","UPS Letter Envelope"
"Customer Supplied Package","Customer Supplied Package"
"UPS Tube","UPS Tube"
PAK,PAK
"UPS Express Box","UPS Express Box"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
Pallet,Pallet
"Small Express Box","Small Express Box"
"Medium Express Box","Medium Express Box"
"Large Express Box","Large Express Box"
Residential,宅配
Commercial,商用
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, something went wrong. Please try again or contact us and we'll try to help."
"We can't convert a rate from ""%1-%2"".","We can't convert a rate from ""%1-%2""."
"Cannot retrieve shipping rates",配送レートを取得できませんでした。
error_message,error_message
"Delivery Confirmation","Delivery Confirmation"
"Signature Required",署名が必要です
"Adult Signature Required","Adult Signature Required"
"United Parcel Service",共通郵便サービス
"United Parcel Service XML",共通郵便サービスXML
"User ID",ユーザーID
Container,梱包
Debug,デバッグ
"Enabled for Checkout",有効
"Gateway URL",ゲートウェイURL
"Calculate Handling Fee",手数料を計算
"Handling Applied",手数料適用済み
"Handling Fee",手数料
"Weight Unit",単位(重量)
"Allowed Methods",許可する配送方法
"Displayed Error Message",エラーメッセージ表示
"Free Method",フリーメソッド
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Ship to Applicable Countries",利用可能な国にのみ配送する
"Ship to Specific Countries",特定の国にのみ配送する
"Show Method if Not Applicable",配送方法が利用できない場合でも表示する
"Packages Request Type","Packages Request Type"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)",最大積載重量(配送業者にお問い合わせください)
Mode,モード
UPS,UPS
"Access License Number",アクセスライセンス番号
"Destination Type",対象種別
"Gateway XML URL","ゲートウェイXML URL"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)",最小梱包重量（配送業者にお問い合わせください）
"Origin of the Shipment",発送元
"Pickup Method",引き取り方法
"Tracking XML URL","トラッキングXML URL"
"UPS Type","UPS Type"
"Live account","Live account"
"Enable Negotiated Rates",ネゴシエイトレートを有効にする
"Shipper Number",荷主番号
"Required for negotiated rates; 6-character UPS","Required for negotiated rates; 6-character UPS"
"This enables or disables SSL verification of the Magento server by UPS.","This enables or disables SSL verification of the Magento server by UPS."
