Close,閉じる
"Design Theme",デザインテーマ
"-- Please Select --","-- 選択してください --"
"Sort Order",表示順
"Save and Continue Edit",保存して編集を続ける
Page,ページ
label,label
"Frontend Properties","Frontend Properties"
Type,Type
Categories,Categories
Products,Products
All,All
Apply,Apply
name,name
Continue,Continue
CMS,CMS
%1,%1
Settings,Settings
Template,Template
"Open Chooser","Open Chooser"
"Widget Insertion","Widget Insertion"
"Insert Widget","Insert Widget"
Choose...,Choose...
"Not Selected","Not Selected"
Widget,Widget
"Widget Type","Widget Type"
"Manage Widget Instances","Manage Widget Instances"
"Add New Widget Instance","Add New Widget Instance"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","New Widget Instance"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","Design Package/Theme"
"Widget Instance Title","Widget Instance Title"
"Assign to Store Views","Assign to Store Views"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Layout Updates"
"Anchor Categories","Anchor Categories"
"Non-Anchor Categories","Non-Anchor Categories"
"All Product Types","All Product Types"
"Generic Pages","Generic Pages"
"All Pages","All Pages"
"Specified Page","Specified Page"
"Add Layout Update","Add Layout Update"
"Remove Layout Update","Remove Layout Update"
"Widget Options","Widget Options"
"Widget Instance","Widget Instance"
"Please specify a Widget Type.","Please specify a Widget Type."
"Please specify a correct widget.","Please specify a correct widget."
"The widget instance has been deleted.","The widget instance has been deleted."
"New Frontend App Instance","New Frontend App Instance"
"Frontend Apps","Frontend Apps"
"The widget instance has been saved.","The widget instance has been saved."
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID",ウィジェットID
