Product,商品
Quantity,数量
Back,戻る
Delete,削除
Enabled,有効
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
"* Required Fields","* Required Fields"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Qty,Qty
Edit,Edit
Action,Action
"1 item","1 item"
"%1 items","%1 items"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Remove This Item","Remove This Item"
"Add to Compare","Add to Compare"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"The product does not exist.","The product does not exist."
"Display item quantities","Display item quantities"
"Remove item","Remove item"
"View Details","View Details"
"Options Details","Options Details"
Configure,Configure
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
Message,Message
"Remove Item","Remove Item"
"Wish List","Wish List"
"An item option with code %1 already exists.","An item option with code %1 already exists."
Comment,Comment
Wishlist,Wishlist
"Wish List Sharing","Wish List Sharing"
"My Wish List","My Wish List"
"%1's Wish List","%1's Wish List"
"We can't specify a product.","We can't specify a product."
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping."
"An error occurred while adding item to wish list: %1","An error occurred while adding item to wish list: %1"
"An error occurred while adding item to wish list.","An error occurred while adding item to wish list."
"This product(s) is out of stock.","This product(s) is out of stock."
"Cannot add item to shopping cart","Cannot add item to shopping cart"
"We can't load the wish list item.","We can't load the wish list item."
"We can't configure the product.","We can't configure the product."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to wish list %2","%1 has been moved to wish list %2"
"We can't move the item to the wish list.","We can't move the item to the wish list."
"An error occurred while deleting the item from wish list: %1","An error occurred while deleting the item from wish list: %1"
"An error occurred while deleting the item from wish list.","An error occurred while deleting the item from wish list."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Email address can't be empty.","Email address can't be empty."
"This wishlist can be shared %1 more times.","This wishlist can be shared %1 more times."
"Please input a valid email address.","Please input a valid email address."
"Your wish list has been shared.","Your wish list has been shared."
"Can't delete item from wishlist","Can't delete item from wishlist"
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your wish list.","%1 has been updated in your wish list."
"An error occurred while updating wish list.","An error occurred while updating wish list."
"The requested wish list doesn't exist.","The requested wish list doesn't exist."
"Wish List could not be created.","Wish List could not be created."
"Display number of items in wish list","Display number of items in wish list"
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Cannot specify product."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Product(s) %1 have required options. Each product can only be added individually."
"We can't update wish list.","We can't update wish list."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
Comment:,Comment:
"We cannot retrieve the wish list.","We cannot retrieve the wish list."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"Share Wish List","Share Wish List"
"Add All to Cart","Add All to Cart"
"Update Wish List","Update Wish List"
"View Product","View Product"
"This Wish List has no Items","This Wish List has no Items"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Wish List is empty now.","Wish List is empty now."
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Share Wishlist","Share Wishlist"
"Last Added Items","Last Added Items"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Email Sender","Email Sender"
"Email Template","Email Template"
"General Options","General Options"
"Enable RSS","Enable RSS"
"Share Options",共有オプション
"Max Emails Allowed to be Sent",送信できるメールの最大件数
"Email Text Length Limit",メール文字数制限
"My Wish List Link",ほしい物リストリンク
"Display Wish List Summary",ほしい物リストのサマリーを表示
"No Items Found",商品が見つかりません
"User description",顧客詳細
"Product Details and Comment",商品の詳細とコメント
