"ALL","全て"
"ANY","いずれか"
"Add","追加"
"Apply","反映"
"Conditions Combination","条件の組み合わせ"
"Customer Groups must be specified.","顧客グループを指定してください。"
"End Date must be greater than Start Date.","終了日は開始日より未来の日付を指定してください。"
"FALSE","FALSE"
"If %s of these conditions are %s:","もし %s が %s であるなら:"
"Invalid discount amount.","不正な割引き額です。"
"Open Chooser","選択を開く"
"Perform following actions","次のアクションを評価する"
"Please choose a condition to add...","追加する条件を選択してください。"
"Please choose an action to add...","追加するアクションを選択してください。"
"Remove","削除"
"TRUE","TRUE"
"There is no information about associated entity type ""%s"".","関連するエンティティ種別 ""%s"" の情報がありません。"
"Websites must be specified.","ウェブサイトを指定してください。"
"by","より"
"contains","含む"
"does not contain","含まない"
"does not contains","含まない"
"equals or greater than","等しいかそれより大きい"
"equals or less than","等しいかそれより小さい"
"for","等しい"
"for greater than","より大きい"
"for or greater than",等しいかそれより大きい"
"found","存在する"
"from","開始"
"greater than","より大きい"
"is","と等しい"
"is not","と等しくない"
"is not one of","のひとつではない"
"is one of","のひとつ"
"less than","より小さい"
"not found","存在しない"
"not from","not from"
"to","終了"
"was","であった"
"was not","ではなかった"
