" But cart has some errors.","しかし、カートにはエラーがあります。"
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app."
"""Description"" is more than %d characters long","""概要"" が %d 文字超過しています。"
"""Title"" is more than %d characters long","""タイトル""が %d 文字超過しています"
"""id"" attribute is required for a ""%s"" field.","""id"" 属性はフィールド ""%s"" に必須です。"
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" 属性は ""multiline"" 要素に必須です。"
"""message"" attribute is required for ""%s"" validator rule.","""message"" 属性は ""%s"" 検証ルールに必須です。"
"%1$s has been added to your wishlist.","%1$sを欲しい物リストに追加しました"
"%1$s incl tax.","%1$s 税込"
"%@ is not correct","%@ is not correct"
"%s API Key required.","%s APIキーが必要です。"
"%s Application ID required.","%s アプリケーションIDが必要です。"
"%s Secret Key required.","%s シークレットキーが必要です。"
"%s attribute is required.","%s 属性は必須です。"
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%s がカートに追加されました。"
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(リストにあるよりも多くの国を含みたい場合は、アプリケーションの所有者であるあなたがそれぞれの国々に特有の法律について準拠する必要があります)"
"* - field is required","* - field is required"
"*Subject to change","*変更の理由"
"1. Please select type of the action:","1. Please select type of the action:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","Urabn Airshipに<a href=""%s"" target=""_blank"">ログインする</a>"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","カタログのみのアプリケーションは、カートや欲しい物リスト、ログインといった機能をサポートしません。"
"A new password has been sent.","新しいパスワードを送信しました。"
"About","About"
"Access forbidden","Access forbidden"
"Account","アカウント"
"Account Information","Account Information"
"Account Settings","Account Settings"
