"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"%s was successfully added to your shopping cart.","%sはショッピングカートに追加されました。"
"&laquo; Back to Billing Information","&laquo;領収書情報へ戻る"
"&laquo; Back to Select Addresses","&laquo;住所選択に戻る"
"&laquo; Back to Shopping Cart","&laquo;ショッピングカートに戻る"
"* Required Fields","* 必須項目"
"Add New Address","住所を追加"
"Add New Condition","新しい条件を追加する"
"Add to Cart","カートに入れる"
"Add to Compare","商品比較に追加"
"Add to Wishlist","ほしい物リストに追加"
"Address","住所"
"Address %s of %s","住所%s の %s"
"After adding a product redirect to shopping cart","商品を追加後ショッピングカートにリダイレクト"
"Allow Guest Checkout","ゲストチェックアウトを有効"
"Already registered?","登録はお済みですか？"
"An error occurred in the process of payment","決済処理中にエラーが発生しました"
"Apply Coupon","クーポンを適用"
"Are you sure you would like to remove this item from the shopping cart?","このアイテムをショッピングカートから削除してもよろしいですか？"
"Back","戻る"
"Back to Shipping Information","発送情報に戻る"
"Based on your selection, you may be interested in the following items:","あなたへのおすすめ"
"Billing Address","請求先住所"
"Billing Information","請求先情報"
"Billing Information - %s","領収書情報 - %s"
"Can not add item to shopping cart","ショッピングカートに商品を追加できませんでした"
"Can not apply coupon code.","クーポンコードを適用できません"
"Can\'t open overview page","概要ページを開けません"
"Cancel Coupon","クーポンをキャンセルする"
"Cannot remove item","アイテムを削除できません"
"Cannot update shopping cart","ショッピングカートを更新できません"
"Card Verification Number Visual Reference","カード確認番号ビジュアルリファレンス"
"Cart Subtotal:","カート内小計："
"Change","変更"
"Change Billing Address","請求先住所変更"
"Checkbox text","チェックボックステキスト"
"Checkout","レジに進む"
"Checkout Conditions","チェックアウト条件"
"Checkout Options","チェックアウトオプション"
"Checkout Section","清算部門"
"Checkout Terms and Conditions","チェックアウト条件"
"Checkout as Guest","登録せずに購入"
"Checkout as a Guest or Register","登録せずに購入または新規登録を選択してください"
"Checkout method","アカウント"
"Checkout with Multiple Addresses","複数の住所へ配送する"
"City","市区町村"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">ここをクリック</a>して注文確認をコピーしてください。"
"Close","閉じる"
"Company","会社名"
"Condition Name","条件"
"Condition was successfully deleted","条件を削除しました"
"Condition was successfully saved","条件を保存しました"
"Configurable product image","設定可能な商品画像"
"Confirm Password","パスワード再確認"
"Content","コンテンツ"
"Content Height","高さ"
"Content Height (css)","高さ (css)"
"Continue","続ける"
"Continue Shopping","買い物を続ける"
"Continue to Billing Information","請求情報へ"
"Continue to Review Your Order","注文の確認へ"
"Continue to Shipping Information","発送情報へ"
"Country","国"
"Coupon code ""%s"" is not valid.","クーポンコード""%s""は無効です"
"Coupon code ""%s"" was applied successfully.","クーポンコード ""%s"" は適用されました。"
"Coupon code was canceled successfully.","クーポンコードをキャンセルしました。"
"Create Billing Address","請求先住所を作成"
"Create Shipping Address","発送先住所を作成"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","データ保存問題"
"Default Billing","標準の請求先"
"Default Shipping","標準の発送先"
"Delete Condition","条件の削除"
"Details","詳細"
"Disable Onepage Checkout","ワンページチェックアウトを無効にする"
"Disabled","無効"
"Discount Codes","ディスカウントコード"
"Display Cart Summary","カートの概要を表示"
"Display Shopping Cart Sidebar","ショッピングカートサイドバーを表示する"
"Display item quantities","商品の見積もりを表示"
"Display number of items in cart","カート内の商品数を表示"
"Easy access to your order history and status","簡単にご注文の履歴，状態が確認できます．"
"Edit","編集"
"Edit Address","住所を編集"
"Edit Billing Address","請求先住所を編集"
"Edit Items","アイテムを編集"
"Edit Shipping Address","配送先を編集"
"Edit Terms and Conditions","編集"
"Edit Your Cart","カートに戻る"
"Email Address","メールアドレス"
"Enable Terms and Conditions","契約条件を可能にしてください"
"Enabled","有効"
"Enter a New Address","新しい住所を入力"
"Enter your coupon code if you have one.","クーポンコードがあれば入力してください。"
"Enter your destination to get a shipping estimate.","配送料の見積もりを表示するにはお届け先を入力してください。"
"Error while deleting this condition. Please try again later.","条件を削除中にエラーが発生しました。やり直してください。"
"Error while saving this condition. Please try again later.","条件を保存中にエラーが発生しました。やり直してください。"
"Estimate Shipping and Tax","送料と税金の計算"
"Excl. Tax","税抜"
"Fast and easy check out","早く，簡単に支払い手続きができます．"
"Fax","FAX番号"
"Forgot an Item?","上記の注文でよろしいですか？"
"Forgot your password?","パスワードを忘れた方は"
"Get a Quote","見積もる"
"Grand Total:","総計："
"Grouped product image","グループ化された商品画像"
"HTML","HTML"
"ID","ID"
"Incl. Tax","税込"
"Invalid data","無効なデータ"
"Invalid email address ""%s""","有効なメールアドレスではありません ""%s"""
"Invalid shipping method.","不正な配送方法です。"
"Items","アイテム"
"Load customer quote error","顧客の見積もり読み込みエラー"
"Loading next step...","次のステップを読み込んでいます..."
"Login","ログイン"
"Manage Checkout Terms and Conditions","チェックアウト方法と条件を管理する"
"Maximum display Recently added item(s)","最大表示件数を追加しました"
"Maximum qty allowed for Shipping to multiple addresses is %s","複数の住所へ配送する場合の最大の数量は%sです"
"Move to Wishlist","ほしい物リストに移動"
"My Account","マイアカウント"
"My Cart","マイカート"
"My Cart (%s item)","マイカート(%s個)"
"My Cart (%s items)","マイカート (%s 個)"
"My Cart Link","マイカートリンク"
"New Address","新規住所"
"New Condition","新しい条件"
"Order #","注文番号 #"
"Order Review","ご注文の確認"
"Order Success","注文成功"
"Other items in your order","そのほかにご注文いただいた商品"
"Password","パスワード"
"Payment Failed Email Reciever","支払失敗時のメール受取先"
"Payment Failed Email Sender","支払失敗時のメール送信元"
"Payment Failed Emails","支払失敗時のメール"
"Payment Failed Template","支払失敗時のテンプレート"
"Payment Information","お支払い情報"
"Payment Method","支払い方法"
"Payment method is not defined","支払い方法が定義されていません"
"Place Order","注文を確定する"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">ショッピングを続ける。</a>."
"Please agree to all Terms and Conditions before placing the order.","ご注文前にご一読ください。"
"Please agree to all Terms and Conditions before placing the orders.","ご注文前にご一読ください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。例 90602 90602-1234"
"Please log in below:","こちらからログインしてください:"
"Please select region, state or province","都道府県を選択してください"
"Please select shipping address for applicable items","お届け先を選択してください。"
"Please select shipping methods for all addresses","すべての住所への配送方法を選択してください"
"Price","単価"
"Proceed to Checkout","レジに進む"
"Product","商品"
"Product Name","商品名"
"Product does not exist","商品は存在しません"
"Qty","個数"
"Quote Lifetime (days)","見積もりの有効期間(日)"
"Recently added item(s)","最近追加した商品"
"Register","新規登録"
"Register and save time!","登録すると手続きが簡単に!"
"Register to Create an Account","アカウントを作成するために登録"
"Register with us for future convenience:","登録のメリット"
"Remove","削除"
"Remove Item","商品削除"
"Remove Product","商品削除"
"Remove item","商品を削除"
"Review Order","注文のレビュー"
"Review Order - %s","注文のレビュー - %s"
"Sales","販売額"
"Save Condition","条件を保存"
"Save in address book","アドレス帳に保存"
"Select Address","住所選択"
"Select Addresses","住所選択"
"Select Shipping Method","配送方法を選択"
"Select State/Province...","州 / 県を選択してください。。"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。"
"Select a shipping address from your address book or enter a new address.","お届け先をアドレスブックから選択するか、新しい住所を入力してください。"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","支払失敗コピーメール送信先"
"Send to","送信先"
"Ship to Multiple Addresses","複数の住所へ送る"
"Ship to different address","別の住所へ送る"
"Ship to this address","この住所へ送る"
"Shipping Address","発送先住所"
"Shipping Information","発送先情報"
"Shipping Method","発送方法"
"Shipping Methods","配送方法"
"Shipping method has not been selected yet","配送方法が選択されていません"
"Shipping selection is not applicable","お届け方法は利用できません"
"Shipping to","お届け先"
"Shopping Cart","ショッピングカート"
"Shopping Cart Sidebar","サイドバーショッピングカート"
"Shopping Cart is Empty","カートの中には何もありません。"
"Show Content as","内容の提示"
"Some of the products you requested are not available in the desired quantity","いくつかの商品はお求めの数量をご用意できません"
"Some of the products you requested are unavailable","お求めいただいたいくつかの商品がご用意できません"
"Sorry, Onepage Checkout is disabled.","ワンページチェックアウトはご利用いただけません。"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","申し訳ありませんが、未ログインユーザによる清算は出来ません。もう一度ためすか、店のオーナーに連絡してください。"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在この注文でお見積もりはご利用できません。"
"State/Province","都道府県"
"Status","状態"
"Store View","店舗ビュー"
"Street Address","番地・アパート・マンション"
"Street Address ","番地・アパート・マンション "
