"KDL Modules","インポート/エクスポート"
"Import","インポート"
"Import stock","在庫インポート"
"Import product","商品インポート"
"Import products","商品インポート"
"Import image","商品画像インポート"
"Import price","単価インポート"
"Import description","商品記述 インポート"
"Import invoice", "売上インポート"
"Export","エクスポート"
"Export stock","在庫エクスポート"
"KDL Stock Export","KDLの在庫エクスポート"
"Export products","商品エクスポート"
"Export media","商品画像エクスポート"
"Export orders","受注エクスポート"
"Configuration","設定"
"Upload","アップロード"
"Data file","データファイル(CSV)"
"Data File Information","データファイルの情報"
"Save Path","登録場所"
"Uploaded File","ファイル名"
"Uploaded File Size","ファイルのサイズ"
"Auto change stock status to available if product's quantity is greater than zero","商品の数量はゼロより大きい場合、自動的に「在庫の有効性」を「在庫あり」に変更する。"
"Import successful!","インポートを成功される。"
"Can't update stock for bundle product","Bundle商品に対して、在庫を更新できません。"
"Stock row format is not valid","在庫行のフォーマットが間違えます。"
"Preview data (first 10 rows)","データプレビュー (最初の10列)"
"Data format","データフォーマット"
"Data encoding","データエンコーディング"
"Magento format","Magento のフォーマット"
"Rakkuten format","楽天のフォーマット"

"Export Orders","受注エクスポート"
"Exported Orders","エクスポート履歴"
"Export filters","エクスポート抽出案件"
"Starting Order ID","開始の受注番号"
"Last exported order id is","最後エクスポート受注番号は"
"Ending Order ID","最後の受注番号"
"Lastest order id is","最新の受注番号は"
"Order Status","受注ステータス"
"Date From","開始日"
"Date To","終了日"
"Export Actions","エクスポート後の状態"
"Change exported order's status to","受注ステータスを変更"
"Start download after export","自働的にダウンロードをスタート"
"Order list is empty.","抽出案件に合わせる受注がありませんでした。"
"File name","ファイル名"
"Exported date","エクスポート日付"
"Change Status To","受注ステータスを変更"
"Order No.","受注 No."
"Order Count","受注数量"
"Downloaded","ダウンロード数"
"Delete","削除"

"%s Orders exported.","%s　受注がエクスポートされました。"
"Export history was deleted successful.","エクスポート履歴が削除されました。"
"Export history not found!","エクスポート履歴が見つかりません。"
"Download file is not exists.","ダウンロードファイルが見つかりません。"
"Download id not found.","ダウンロードIDが見つかりません。"
"Download process is starting...","自働的にダウンロードをスタート中。。。"
"Can't delete csv file.","CSV を削除できません。"

"Stock","在庫"
"Are you sure?","よろしいですか？"
"Total: %s <br />Success: %s <br /> Failed: %s <br />Not found: %s","Total: %s <br />Success: %s <br /> Failed: %s <br />Not found: %s"
"Total: %s <br />Success: %s <br />Failed:, %s <br />Not found: %s <br />Ignore: %s<br />Invalid format: %s","Total: %s <br />Success: %s <br />Failed:, %s <br />Not found: %s <br />Ignore: %s<br />Invalid format: %s"

"Upload save path","アップロード一時のフォルダ"
"Export save path","エクスポート登録フォルダ"
"Default path for import image","画像インポートの既定フォルダ"
"Path contains stock data files for import via Cronjob","Cronjobでインポートの在庫データファイル場所"

"Image root path","画像の元フォルダ"
"Import media","商品画像インポート"
"Delimiter","区切り文字"
"First row is header","初行はCSVのヘッダー（データではありません）"
"Commas","コンマ"
"Semi-colon","セミコロン"
"Import Product Price","商品の単価インポート"
"Import Image","画像インポート"
"Import Product Description","商品記述インポート"
"Do not update existing products","存在している商品を更新しません。"
"Import Options","インポート選択"
"Product code","商品コート"
"Category code","カテゴリコード"
"Season","シーズン"
"Size pattern","サイズパターン"
"Color pattern","カラーパターン"
"Color","カラー"
"Cost","原価" 
"Preview","プレビュー"
"Import Path Settings","インポートの既定パス設定"
"Special Price","セール販売価格"
"Special Price To Date","セール終了日時"
"Special Price From Date","セール開始日時"
"Store Code","店舗コード"
"JAN Code","ＪＡＮコード"
"Special Code","副商品番号"
"Group Code","品番（自社）"
"Color Code","カラー"
"Size code","サイズ"
"Stock Date","処理日付"
"Replace product quantity","商品の在庫を上書きする"
"All status","すべて"
"Image path is not exists!","画像の元フォルダが見つかりません！"
"Import image for %s products successfull!","%s 商品の画像がインポートされました。"
"Can not import any image! Please check log file.","画像インポートできませんでした。ログファイルを参照してください。"
"Import file is not exists.","インポートファイルが見つかりません。"
"Import successful!","インポート成功しました。"
"Stock data file is not valid","在庫データファイルフォーマットは正しいありません。"
"Total: %s <br />Success: %s <br /> Failed: %s <br />Not found: %s","合計: %s <br />成功 %s <br /> 失敗: %s <br />見つかりません: %s"
"Can not upload file to server","サーバにファイルをアップロードできませんでした。"
"Total: %s <br />Success: %s <br />Failed: %s <br />Not found: %s <br />Ignore: %s<br />Invalid format: %s","合計: %s <br />成功: %s <br />失敗: %s <br />見つかりません: %s <br />無視: %s<br />フォーマット不正: %s"
"Total: %s <br />Success: %s <br />Failed: %s <br />Not found: %s <br />Payment failed: %s <br />Amount does not match: %s <br />Invoice existed: %s <br/ >Invalid record: %s","合計: %s <br />成功: %s <br />失敗: %s <br />見つかりません: %s <br />支払失敗: %s <br />合計が一致しない： %s <br />請求書が作成済: %s <br />不適切なレコード: %s"
"Invoice [%s] are failed.", "[%s]領収書の作成が失敗しました。"
"Invoice [%s] are not found.","[%s]注文が見つかりません。"
"Invoice [%s]\'s payment failed.","[%s]注文の支払が失敗しました。"
"Invoice [%s] amount is not the same with order.","[%s]領収書の合計と注文合計は一致しません。"
"Invoice [%s] are existed.","[%s]領収書が既に存在します。"
"Invoice [%s] are failed.","[%s]領収書の作成が失敗しました。"
"Invoice data file is invalid","領収書データファイルが不適切です。"
"Invoice [%s] record are invalid","[%s]領収書レコードのフォーマットが不適切です。"
"row %s","%s行目"
"Path contains invoice data files for import via Cronjob", "cronjobで自動的なインポートのため、EC伝助処理後の受注データの置き場所"
