"Actions","アクション","TRUE"
"An error occurred while marking notification as read.","メッセージの既読化中にエラーが発生しました。","TRUE"
"An error occurred while marking the messages as read.","メッセージの既読化中にエラーが発生しました。","TRUE"
"An error occurred while removing messages.","メッセージの削除中にエラーが発生しました。","TRUE"
"An error occurred while removing the message.","メッセージの削除中にエラーが発生しました。","TRUE"
"Are you sure?","よろしいですか？","TRUE"
"critical","重要","TRUE"
"Date Added","登録日","TRUE"
"Last Update","最終更新","TRUE"
"major","メジャー","TRUE"
"Mark as Read","既読にする","TRUE"
"Mark as read","読み取り用としてマーク","TRUE"
"Message","メッセージ","TRUE"
"Messages Inbox","受信箱","TRUE"
"minor","マイナー","TRUE"
"notice","お知らせ","TRUE"
"Notifications","注意","TRUE"
"Please select messages.","メッセージを選択してください。","TRUE"
"Read Details","詳細を読む","TRUE"
"Remove","削除","TRUE"
"Severity","重要度","TRUE"
"Show List","リストを表示","TRUE"
"Show Toolbar","ツールバーを表示","TRUE"
"The message has been marked as read.","メッセージを既読にしました。","TRUE"
"The message has been removed.","メッセージを削除しました。","TRUE"
"Total of %d record(s) have been marked as read.","合計 %d 件を既読にしました。","TRUE"
"Total of %d record(s) have been removed.","合計 %d 件を削除しました。","TRUE"
"Unable to proceed. Please, try again.","エラーが発生しました。やり直してください。","TRUE"
"Update Frequency","更新間隔","TRUE"
"Use HTTPS to Get Feed","フィードの取得にHTTPSを使用する","TRUE"
