" [deleted]"," [削除済]","TRUE"
" and ","と ","TRUE"
" The customer does not exist in the system anymore.","この顧客はすでにシステム上に存在しません。","TRUE"
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加","TRUE"
"- Hold mouse button on any of the above buttons for faster selection.","- マウスのボタンを押したままにすることでより早く選択が可能です。","TRUE"
"- or click and drag for faster selection.","- またはクリックアンドドラッグでより迅速な選択が可能です。","TRUE"
"- or Shift-click to decrease it","- またはShiftキーを押しながらクリックすることで減らすことができます","TRUE"
"- Use the %s buttons to select month","- %sボタンで月を選択","TRUE"
"- Use the %s, %s buttons to select year","- %sと%sボタンで年を選択 ","TRUE"
"-- Not Selected --","-- 未選択です --","TRUE"
"-- Please Select --","-- 選択してください --","TRUE"
"-- Please select --","-- 選択してください --","TRUE"
"-- Please Select a Category --","-- カテゴリを選択してください --","TRUE"
"-- Please Select Billing Agreement--","-- 支払条件を選択してください--","TRUE"
"--Please Select--","--選択してください--","TRUE"
"(\\t for tab)","(\\tをタブ文字に使用する)","TRUE"
"(Absolute path or Relative to Magento install root, ex. var/export)","(絶対パスまたはMagentoのインストールパスからの相対パス。例：var/export)","TRUE"
"(For US 2-letter state names)","(米国の2文字の州名)","TRUE"
"(If left empty will be auto-generated)","(空白の場合は自動生成します)","TRUE"
"(Leave empty for first spreadsheet)","(空を残すための最初のスプレッドシート)","TRUE"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(インポートファイル内の店舗の項目が空白、または抜けている場合、商品はこの店舗に対して追加・更新されます。)","TRUE"
"(Shift-)Click or drag to change value","クリックまたはドラッグして価格変更","TRUE"
"(Starting with)","(で始まる)","TRUE"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","「いいえ」の場合はマップされた項目のみインポートされます。マッピングする場合は'column1'、'column2'のように指定してください","TRUE"
"(You have to increase php memory_limit before changing this value)","(この値を変更する前に php memory_limit の値を増やしてください)","TRUE"
"[ deleted ]","[ 削除済み ]","TRUE"
"[GLOBAL]","[グローバル]","TRUE"
"[STORE VIEW]","[ストアビュー]","TRUE"
"[WEBSITE]","[WEBサイト]","TRUE"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","{{base_url}} は稼働環境での使用に推奨できません。Magento <a href=""%s"">configuration</a>で変更することを推奨します。","TRUE"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - もし、インデックス処理が途中の場合、その処理を強制終了して新しい処理を開始します。","TRUE"
"%s (Default Template from Locale)","%s (標準テンプレートからのロケール)","TRUE"
"%s cache type(s) disabled.","%s 件のキャッシュを無効にしました。","TRUE"
"%s cache type(s) enabled.","%s 件のキャッシュを有効にしました。","TRUE"
"%s cache type(s) refreshed.","%s 件のキャッシュを更新しました。","TRUE"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>","TRUE"
"1 Hour","1時間","TRUE"
"12 Hours","12時間","TRUE"
"12h AM/PM","12時間表記","TRUE"
"2 Hours","2時間","TRUE"
"24 Hours","24時間","TRUE"
"24h","24時間","TRUE"
"2YTD","2年間","TRUE"
"6 Hours","6時間","TRUE"
"A new password was sent to your email address. Please check your email and click Back to Login.","あなたのメールアドレス宛に新しいパスワードを送信しました。メールをご確認のうえ、「ログイン画面に戻る」をクリックしてください。","TRUE"
"A user with the same user name or email aleady exists.","同じユーザ名かメールアドレスのユーザが既に存在します。","TRUE"
"Abandoned Carts","無効になったショッピングカート","TRUE"
"About the calendar","カレンダーについて","TRUE"
"Access Denied","アクセス拒否","TRUE"
"Access denied","アクセス拒否","TRUE"
"Access denied.","アクセスが拒否されました。","TRUE"
"Account Created in:","作成されたアカウント:","TRUE"
