" and "," と"
" note that the URLs provided below are the correct values for your current website): "," note that the URLs provided below are the correct values for your current website): "
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","- マウスのボタンを押したままにすることでより早く選択が可能です。"
"- or click and drag for faster selection.","- またはクリックアンドドラッグでより迅速な選択が可能です。"
"- or Shift-click to decrease it","- またはShiftキーを押しながらクリックすることで減らすことができます"
"- Use the %s buttons to select month","- %sボタンで月を選択"
"- Use the %s, %s buttons to select year","- %sと%sボタンで年を選択"
"-- Please Select Billing Agreement--","-- 支払条件を選択してください--"
"(\\t for tab)","(\\tをタブ文字に使用する)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(“ローカルサーバ”にはMagentoのインストールパスからの var/exportとvar/importへの相対パスが必要です。 例： var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(アメリカの場合は 州名2文字表記)"
"(If left empty will be auto-generated)","(空白の場合は自動生成します)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)"
"(Leave empty for first spreadsheet)","(最初のスプレッドシートのために空白にする)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(輸入品ファイルの中の'ストア'のコラムに商品がなければ、このストアに追加/アップロードされます。)"
"(Shift-)Click or drag to change value","クリックまたはドラッグで価格を変更"
"(Starting with)","(で始まる)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('No'のときはマッピングされたフィールドだけがインポートされます。マッピングするには'column1', 'column2'のように書きます)"
"(You have to increase php memory_limit before changing this value)","(この価格を変更する前にphp memory_limitを増加させなければいけません。)"
"10:40 AM","10:40 AM"
"80px x 80px","80ピクセル x 80ピクセル"
"80x80 px","80x80 px"
"About the calendar","カレンダーについて"
"Access denied.","アクセスが拒否されました。"
"Account Created in:","アカウント作成元:"
"Account Created on (%s):","アカウント作成元 (%s):"
"Account Created on:","アカウント作成元:"
"Action","アクション"
"Actions","アクション"
"Activate","有効化"
"Add Contents Path","コンテンツパスを追加"
"Add Field with URL:","URLを追加:"
"Add New Role","新規権限の追加"
"Add New User","新しいユーザーを追加"
"Add Package dependency","パッケージ依存性を追加"
"Add PHP Extension dependency","PHPエクステンション依存性を追加"
"Add to Cart","カートに入れる"
"Add to Wishlist","欲しいものリストに追加"
"Address Type:","住所タイプ:"
"AirMail Template Preview","エアメールテンプレートプレビュー"
"All","全て"
"All fields","全てのフィールド"
"All locations","すべての場所"
"All Websites","全てのウェブサイト"
"Archive file name:","書庫ファイル名:"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？"
"Are you sure that you want to strip tags?","タグを除去しても構いませんか？"
"Are you sure you want to delete this theme? This change will affect all applications.","Are you sure you want to delete this theme? This change will affect all applications."
"As low as:","同じかそれ以下:"
"ASCII","ASCII"
"Attribute Set Name:","属性セット名:"
"Attributes","属性"
"Authors","作者"
"Available Products","有効な商品"
"Back","戻る"
"Big Image","拡大画像"
"Billing Address","購入者住所"
"Billing Agreement","支払契約"
"BINARY","BINARY"
