"Action","アクション"
"An error occurred while creating the backup.","バックアップ作成中にエラーが発生しました。"
"An error occurred while writing to the backup file ""%s"".","バックアップファイル ""%s"" の作成中にエラーが発生しました。"
"Are you sure you want to delete the selected backup(s)?","選択したバックアップを削除してもいいですか?"
"Backup Type","バックアップ種別"
"Backup file ""%s"" cannot be read from or written to.","バックアップファイル ""%s"" を読み込みまたは作成できません。"
"Backup file ""%s"" does not exist.","バックアップファイル ""%s"" がありません。"
"Backup file does not exist.","バックアップファイルがありません。"
"Backup file handler was unspecified.","バックアップファイルハンドラが未指定です。"
"Backup file not found","バックアップファイルが見つかりません"
"Backup file path was not specified.","バックアップファイルパスが未指定です。"
"Backups","バックアップ"
"Cannot read backup file.","バックアップファイルを読み込めません。"
"Create Backup","バックアップ作成"
"Database Backup","データベースバックアップ"
"Database and Media Backup","データベースとメディアバックアップ"
"Database was successfuly backed up.","データベースはバックアップされました。"
"Download","ダウンロード"
"Enable Scheduled Backup","スケジュールバックアップを有効にする"
"Failed to connect to FTP","FTP接続失敗しました"
"Failed to delete one or several backups.","1件以上のバックアップの削除に失敗しました"
"Failed to rollback","ロールバックに失敗しました"
"Failed to validate FTP","FTP接続の検証に失敗しました"
"Frequency","頻度"
"Invalid Password.","不正なパスワード。"
"Maintenance Mode","メンテナンスモード"
"Not enough free space to create backup.","バックアップ作成に必要なディスク容量がありません。"
"Not enough permissions to create backup.","バックアップ作成に必要な書き込み権限がありません。"
"Not enough permissions to perform rollback","ロールバック実行に必要な権限がありません。"
"Please deselect the sufficient check-box, if you want to continue backup's creation","バックアップを作成するのであれば、十分な数のチェックボックスの選択を外してください。"
"Please deselect the sufficient check-box, if you want to continue rollback processing","ロールバックを実行するのであれば、十分な数のチェックボックスの選択を外してください。"
"Put store on the maintenance mode while backup's creation","バックアップ作成中はストアをメンテナンス中にする"
"Rollback","Rollback"
"Scheduled Backup Settings","定期バックアップ設定"
"Size, Bytes","サイズ, バイト数"
"Start Time","開始時間"
"System Backup","システムバックアップ"
"System couldn't put store on the maintenance mode","システムはストアをメンテナンス中にできませんでした"
"The database and media backup has been created.","データベースとメディアファイルのバックアップを作成しました。"
"The database backup has been created.","データベースバックアップを作成しました。"
"The file was compressed with Zlib, but this extension is not installed on server.","バックアップファイルはZlibで圧縮されますが、サーバ上でZlibが利用できません。"
"The selected backup(s) has been deleted.","選択したバックアップを削除しました。"
"The system backup has been created.","システムバックアップを作成しました"
"Time","時間"
"Type","タイプ"
"Unable to create backup. Please, try again later.","バックアップできませんでした。後でもう一度お試しください。"
"Unable to save the cron expression.","Cronジョブを保存できません。"
"Warning! System couldn't put store on the maintenance mode.","警告！システムはストアをメンテナンス中にできませんでした。"
"Wrong order of creation for new backup.","不正なバックアップ作成指示です。"
