"-- Select --","--選択してください--","1"
"* Required Fields","* 必須項目","1"
"Add New Option","新規オプションの追加","1"
"Add Selection","選択候補の追加","1"
"As Low as","同じかそれ以下","1"
"As low as","同じかそれ以下","1"
"Bundle Items","セット商品","1"
"Bundle Product","セット商品","1"
"Buy %1$s with %2$s discount each","%1$s お買い上げごとに %2$s","1"
"Catalog Product View (Bundle)","商品詳細画面 (セット品)","1"
"Checkbox","チェックボックス","1"
"Choose a selection...","選択してください...","1"
"Close","閉じる","1"
"Default","標準","1"
"Default Qty","標準個数","1"
"Default Title","標準タイトル","1"
"Drop-down","ドロップダウンリスト","1"
"Dynamic","可変","1"
"Excl. Tax","税別","1"
"Fixed","定額","1"
"From","開始","1"
"From:","最低:","1"
"Gift Message","ギフトメッセージ","1"
"Incl. Tax","税込","1"
"Input Type","入力形式","1"
"Is Required","必須","1"
"Message:","メッセージ:","1"
"Multiple Select","複数選択","1"
"N/A","該当無し","1"
"No options of this product are available.","この商品で利用可能なオプションはありません。","1"
"None","なし","1"
"Percent","割合","1"
"Percent Discount","割引率","1"
"Please enter search conditions to view products.","商品を表示させるための検索条件を指定してください。","1"
"Please select options for product.","商品のオプションを選択してください。","1"
"Please Select Products to Add","追加する商品を選択してください。","1"
"Please specify product option(s).","商品オプションを指定してください。","1"
"Position","位置","1"
"Price as configured","この構成での価格","1"
"Price Range","価格範囲","1"
"Price Type","価格種別","1"
"Qty:","個数:","1"
"Radio Buttons","ラジオボタン","1"
"Required options are not selected.","必須オプションが未選択です。","1"
"Selected required options are not available.","選択された必須オプションは利用できません。","1"
"Separately","別々","1"
"Ship Bundle Items","セット商品の配送方法","1"
"Shipment","配送方法","1"
"Store View Title","店舗名","1"
"There is no defined renderer for ""%s"" option type.","オプション形式""%s""の表示処理が未定義です。","1"
"This product is also part of bundle(s)","この商品もセットの一部です","1"
"To","終了","1"
"To:","最高:","1"
"Together","まとめて","1"
"Use Default Value","標準の値を使用","1"
"User Defined Qty","ユーザーの指定した個数","1"
