"* Required Fields","* 必須項目","1"
"Comment","コメント","1"
"Contact Form","コンタクトフォーム","1"
"Contact Information","ご連絡先","1"
"Contact Us","お問い合わせ","1"
"Contact Us Form","お問い合わせフォーム","1"
"Contacts","コンタクト","1"
"Contacts Section","連絡欄","1"
"Email","Eメール","1"
"Email Options","Emailオプション","1"
"Email Sender","メール送信者","1"
"Email Template","メールテンプレート","1"
"Enable Contact Us","お問い合わせを有効にする","1"
"Name","名前","1"
"Send Emails To","Emailを次のアドレスに送信","1"
"Submit","送信","1"
"Telephone","電話番号","1"
"Unable to submit your request. Please, try again later","リクエストを送信できません。やり直してください。","1"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","お問い合わせを受け付けました。可能な限り速やかにお返事いたします。お問い合わせありがとうございました。","1"
