"Cron (Scheduled Tasks) - all the times are in minutes","クーロン (スケジュールタスク) - 分で全ての時間を示す","TRUE"
"Daily","毎日","TRUE"
"Failure History Lifetime","失敗履歴保持期間","TRUE"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","クーロンが動作している間に生成される正確なＵＲＬサイトが作成されます > セキュアと非セキュアＵＲＬが決定されます。","TRUE"
"Generate Schedules Every","スケジュール生成間隔","TRUE"
"History Cleanup Every","履歴削除感覚","TRUE"
"Invalid callback: %s::%s does not exist","無効な呼び戻し: %s::%s が存在しません","TRUE"
"Invalid model/method definition, expecting ""model/class::method"".","無効な モデル/メソッドが定義されています。 期待する内容 ""model/class::method""","TRUE"
"Missed if Not Run Within","失敗しているか、処理中です。","TRUE"
"Monthly","毎月","TRUE"
"No callbacks found","コールバック処理がありません","TRUE"
"Schedule Ahead for","事前作成するスケジュール","TRUE"
"Success History Lifetime","成功履歴保持期間","TRUE"
"Too late for the schedule.","期限切れスケジュールとみなすまでの期間","TRUE"
"Unable to save the cron expression.","CRONスケジュールを保存できません。","TRUE"
"Unknown error.","不明なエラー","TRUE"
"Weekly","毎週","TRUE"
