"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">リンク</a>","TRUE"
"Access denied to destination folder ""%s"".","フォルダ ""%s"" にアクセスできません。","TRUE"
"An error occurred while opening file: ""%s"".","ファイルのオープン中にエラーが発生しました: ""%s"".","TRUE"
"Could not load file: ""%s"".","ファイルを読み込めません: ""%s"".","TRUE"
"Could not save file: %s.","ファイルを保存できません: %s.","TRUE"
"Declared adapter %s was not found.","定義されているアダプタ %s が見つかりません。","TRUE"
"Destination folder ""%s"" does not exist or there is no access to create it.","フォルダ ""%s"" が存在しないか作成権限がありません。","TRUE"
"Destination folder ""%s"" is not a directory.","フォルダ ""%s"" はディレクトリではありません。","TRUE"
"Destination folder ""%s"" is not writable.","フォルダ ""%s"" は読取専用になっています。","TRUE"
"Done","完了","TRUE"
"Dry run set, stopping execution.","テスト実行をセットしました。実行を停止しています。","TRUE"
"Error in field mapping: field list for mapping is not defined.","フィールドマッピングエラー: マッピングするフィールドが定義されていません。","TRUE"
"ETA: %s","進行状況: %s","TRUE"
"File ""%s"" does not exist.","ファイル ""%s"" がありません。","TRUE"
"Found %d rows.","%d 行見つかりました。","TRUE"
"hour","時間","TRUE"
"hours","時間","TRUE"
"Less than a minute","1分以内","TRUE"
"Loaded successfully: ""%s"".","読込成功: ""%s"".","TRUE"
"Memory Used: %s","メモリ使用量: %s","TRUE"
"Method ""%s"" not defined in adapter %s.","メソッド ""%s"" はアダプタ %s で定義されていません。","TRUE"
"Method ""%s"" was not defined in adapter %s.","メソッド ""%s"" はアダプタ %s で定義されていません。","TRUE"
"minute","分","TRUE"
"minutes","分","TRUE"
"Please declare ""adapter"" and ""method"" nodes first.","""adapter"" と ""method"" ノードを最初に定義してください。","TRUE"
"Processed records: %s","処理済レコード: %s","TRUE"
"Saved successfully: ""%s"" [%d byte(s)].","保存成功: ""%s"" [%d バイト].","TRUE"
"Sheet 1","シート1","TRUE"
"Skip undefined row.","未定義の行をスキップする。","TRUE"
"Starting %s :: %s","開始 %s :: %s","TRUE"
"The destination folder ""%s"" does not exist or there is no access to create it.","フォルダ ""%s"" は存在しないか作成権限がありません。","TRUE"
"Total records: %s","合計レコード: %s","TRUE"
