"-- Please select --","-- 選択してください --","TRUE"
"Allowed Currencies","許可する通貨","TRUE"
"Base Currency","基本通貨","TRUE"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","基本通貨はすべてのオンライン決済方法で使用されます。 スコープはカタログ価格スコープで定義されます (""カタログ"" > ""価格"" > ""カタログ価格スコープ"").","TRUE"
"Cannot retrieve rate from %s.","為替レートを %s から取得できません。","TRUE"
"Connection Timeout in Seconds","タイムアウトとみなす時間","TRUE"
"Continue &raquo;","続ける &raquo;","TRUE"
"Country","国","TRUE"
"Country and Format Type combination should be unique","国とフォーマットタイプの組み合わせはユニークである必要があります","TRUE"
"Country Api","国API","TRUE"
"Currency","通貨","TRUE"
"Currency Options","通貨オプション","TRUE"
"Currency Setup","通貨セットアップ","TRUE"
"Currency Update Warnings","通貨更新警告","TRUE"
"Default Display Currency","標準表示通貨","TRUE"
"Directory","ディレクトリ","TRUE"
"Enabled","有効","TRUE"
"Error Email Recipient","エラーEmail受信者","TRUE"
"Error Email Sender","エラーEmail送信者","TRUE"
"Error Email Template","エラーEmailテンプレート","TRUE"
"FATAL ERROR:","致命的なエラー:","TRUE"
"Frequency","頻度","TRUE"
"Installed Currencies","インストール済み通貨","TRUE"
"Invalid country code: %s","不正な国コードです: %s","TRUE"
"Invalid Import Service specified.","不正な取り込みサービスが指定されました。","TRUE"
"Invalid rates received","不正なレートを受信しました","TRUE"
"Invalid target currency.","不正な通貨です。","TRUE"
"List of countries","国リスト","TRUE"
"List of regions in specified country","指定した国の地域リスト","TRUE"
"Postal Code is Optional for the following countries","郵便番号は以下の国では任意項目です","TRUE"
"Region","地域","TRUE"
"Region Api","地域API","TRUE"
"Scheduled Import Settings","スケジュールされたインポート設定","TRUE"
"Select Your Currency","通貨を選択してください","TRUE"
"Service","サービス","TRUE"
"Start Time","開始時間","TRUE"
"State/Province","県・地方","TRUE"
"Strikeiron Email Update Warnings","メールでアップデート通知を行う","TRUE"
"Unable to initialize the import model.","取り込みプログラムを初期化できません。","TRUE"
"Undefined rate from ""%s-%s""."," ""%s-%s"" の為替レートは未定義です。","TRUE"
"WARNING:","警告:","TRUE"
"Webservicex","WebserviceX","TRUE"
"Your current currency is: %s","現在の通貨: %s","TRUE"
