"Add New Row","新しい列の追加","TRUE"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","半角英数字、ハイフン、アンダーバーがファイル名に使用する文字として推奨されます。不正な文字は \'_\' に置き換えられます。","TRUE"
"An error occurred while getting requested content. Please contact the store owner.","要求されたコンテンツの受信中にエラーが発生しました。店舗運営者に連絡してください。","TRUE"
"An error occurred while getting the requested content.","要求されたコンテンツの受信中にエラーが発生しました。","TRUE"
"An error occurred while getting the requested content. Please contact the store owner.","要求されたコンテンツの受信中にエラーが発生しました。店舗運営者に連絡してください。","TRUE"
"An error occurred while saving the file(s).","ファイル保存中にエラーが発生しました。","TRUE"
"attachment","添付ファイル","TRUE"
"Availability:","在庫状況:","TRUE"
"Back","戻る","TRUE"
"Canceled","キャンセル済","TRUE"
"Cannot connect to remote host, error: %s.","リモートホストに接続できません。エラー内容は: %s です。","TRUE"
"Catalog Product View (Downloadable)","商品詳細画面 (ダウンロード)","TRUE"
"Customer My Account Downloadable Items","マイページダウンロード商品","TRUE"
"Date","日付","TRUE"
"Default Link Title","標準リンクタイトル","TRUE"
"Default Maximum Number of Downloads","ダウンロードの初期最大数","TRUE"
"Default Sample Title","標準サンプルタイトル","TRUE"
"Disable Guest Checkout if Cart Contains Downloadable Items","ダウンロード商品がカートにある場合はゲスト購入を無効にする","TRUE"
"download","ダウンロード","TRUE"
"Downloadable Information","ダウンロード情報","TRUE"
"Downloadable Product","ダウンロード商品","TRUE"
"Downloadable Product Options","ダウンロード商品オプション","TRUE"
"Downloadable product Section","ダウンロード商品セクション","TRUE"
"Excl. Tax","税別","TRUE"
"File","ファイル","TRUE"
"From:","開始:","TRUE"
"Gift Message","ギフトメッセージ","TRUE"
"Go to <a href=""%s"">My Downloadable Products</a>","移動 <a href=""%s"">ダウンロード可能な製品</a>","TRUE"
"Guest checkout will only work with shareable.","ゲスト購入は共有できる形でしか動作しません。","TRUE"
"In Stock","在庫あり","TRUE"
"Incl. Tax","税込","TRUE"
"inline","インライン","TRUE"
"Invalid download link type.","不正なダウンロードリンクです。","TRUE"
"Invalid download URL host.","不正なダウンロードURLです。","TRUE"
"Invalid download URL scheme.","不正なダウンロードURLです。","TRUE"
"Invoiced","領収済","TRUE"
"Links can be purchased separately","リンクは別購入することができます","TRUE"
"Max. Downloads","最大ダウンロード","TRUE"
"Message:","メッセージ:","TRUE"
"Move to Wishlist","欲しいものリストに移動する","TRUE"
"My Downloadable Products","ダウンロード可能な製品","TRUE"
"Open Links in New Window","新しいウィンドウでリンクを開きます。","TRUE"
"Order #","ご注文番号 ","TRUE"
"Order Item Status to Enable Downloads","ご注文いただいた商品がダウンロードできるようになりました。","TRUE"
"Ordered","注文済","TRUE"
"Out of Stock","在庫切れ","TRUE"
"Pending","処理待ち","TRUE"
"Please log in to download your product.","ログインした上で製品をダウンロードしてください。","TRUE"
"Please set resource file and link type.","ファイルとリンク形式をセットしてください。","TRUE"
"Please specify product link(s).","製品リンクを指定してください。","TRUE"
"Price","価格","TRUE"
"Qty","個数","TRUE"
"Refunded","返金","TRUE"
"Remaining Downloads","残りのダウンロード","TRUE"
"Remove Item","商品を削除","TRUE"
"Requested link does not exist.","要求されたリンクは存在しません。","TRUE"
"Sample","サンプル","TRUE"
"sample","サンプル","TRUE"
"Shareable","グループ権限","TRUE"
"Shipped","荷送り人","TRUE"
"Sort Order","並び順","TRUE"
"Start Download","ダウンロード開始","TRUE"
"Status","状態","TRUE"
"The file does not exist.","ファイルがありません。","TRUE"
"The link has expired.","リンクは有効期限切れです。","TRUE"
"The link is not available.","リンクは利用できません。","TRUE"
"Title","タイトル","TRUE"
"To:","Ｔｏ:","TRUE"
"U","Ｕ","TRUE"
"Unlimited","無条件","TRUE"
"View Order","表示順序","TRUE"
"You have not purchased any downloadable products yet.","まだダウンロード商品をご購入いただいていません。","TRUE"
