"* Select shipping method","* 配送方法を選択してください","1"
"<br />Warning: <strong>%s</strong><br />","<br />警告: <strong>%s</strong><br />","1"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">警告!</strong> このオプションはショップ側が計算した配送料金を無効にします。Google APIは意図した配送料金を無視します。","1"
"A virtual item to reflect the discount total","仮想商品には値引き合計を反映しない","1"
"A virtual item to reflect the tax total","仮想商品には税合計を反映しない","1"
"Add","追加","1"
"Add Shipping Method","配送方法の追加","1"
"Allowed Methods","許可する配送方法","1"
"Amount: %s","価格: %s","1"
"Auto-generated from GoogleCheckout Charge","Googleチェックアウト料金から自動生成する","1"
"AVS Status: %s","AVSステータス: %s","1"
"Buyer Account Age: %s days","バイヤーアカウント期間: %s日","1"
"Carrier Calculated Methods","配達料計算","1"
"Cart Discount","カート割引","1"
"CC Partial: xxxx-%s","クレジットカード番号: xxxx-%s","1"
"Checkout Image Style","購入画像スタイル","1"
"CID Status: %s","CIDステータス: %s","1"
"Continue Shopping URL","お買い物を続けるURL","1"
"Credit memo has been created automatically","Credit memo has been created automatically","2"
"Debug","デバッグ","1"
"Default Package Height (in)","標準梱包高さ","1"
"Default Package Length (in)","標準梱包長さ","1"
"Default Package Width (in)","標準梱包幅","1"
"Default Price for Methods","標準手数料","1"
"Default price:","標準の価格","1"
"Delivery Address Category","配送先カテゴリ","1"
"Delivery Schedule","配送スケジュール","1"
"Disable Default Tax Tables","標準課税テーブルを無効にする","1"
"Discount Tax","税金値引き","1"
"Eligible for Protection: %s","保護の対象: %s","1"
"Enable","有効","1"
"Enable Carrier Calculated","配送料金計算を有効にする","1"
"Enable Digital Delivery","デジタル配信を有効にする","1"
"Enable Flat Rate","均一料金を有効にする","1"
"Enable Merchant Calculated","マーチャント計算を有効にする","1"
"Enable this if your checkout request is too big and being cut off.","チェックアウトリクエストが大きく止められている場合は許可してください。","1"
"Expiration: %s","期限切れ: %s","1"
"Financial: %s -> %s","ファイナンス: %s -> %s","1"
"Free Shipping","当社負担","1"
"Fulfillment: %s -> %s","フルフィルメント: %s -> %s","1"
"Google API","Google API","2"
"Google Authorization:","Google認証:","1"
"Google Buyer ID: %s","Google バイヤー ID: %s","1"
"Google Charge:","Google 費用:","1"
"Google Chargeback:","Google Chargeback:","2"
"Google Checkout","Google チェックアウト","1"
"Google Checkout Shipping - Carrier Calculated","Googleチェックアウトで配送 - 配送会社で計算","1"
"Google Checkout Shipping - Digital Delivery","Google配送清算 - デジタル配信","1"
"Google Checkout Shipping - Flat Rate","Googleチェックアウトで配送 - 固定費用","1"
"Google Checkout Shipping - Merchant Calculated","Googleチェックアウトで配送 - 店舗で計算","1"
"Google Checkout: %s","Googleチェックアウト: %s","1"
"Google Order Number: %s","Google注文番号: %s","1"
"Google Order Status Change:","Google注文ステータス変更:","1"
"Google Refund:","Google返金済み:","1"
"Google Risk Information:","Googleリスク情報:","1"
"Hide Cart Contents","カートの中身を隠す","1"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","もし可能なら、ショッピングカート内のGoogleチェックアウトボタンをクリックした後にカート内容を非表示にし、""カート編集""リンクを有効にしてください。","1"
"Invoice Auto-Created: %s","領収書の自動生成: %s","1"
"IP Address: %s","Ipアドレス： %s","1"
"Is Buyer Willing to Receive Marketing Emails: %s","Is Buyer Willing to Receive Marketing Emails: %s","2"
"Large - %s","多数 - %s","1"
"Latest Charge: %s","最終請求日時: %s","1"
"Latest Chargeback: %s","Latest Chargeback: %s","2"
"Latest Refund: %s","最新の返金: %s","1"
"Location","場所","1"
"Medium - %s","中間 - %s","1"
"Merchant ID","マーチャント ID","1"
"Merchant Key","マーチャント Key","1"
"Method","手順","1"
"New Order Status","新規注文ステータス","1"
"No","No","2"
"Optional, leave empty for home page.","オプション、ホームページでは空白のまま","1"
"Rate 1 Amount","総額","1"
"Rate 1 Ship To Applicable Countries","適用可能な国への出荷料金","1"
"Rate 1 Ship to Specific Countries","指定した国への出荷料金","1"
"Rate 1 Title","タイトル率","1"
"Rate 2 Amount","総額","1"
"Rate 2 Ship To Applicable Countries","適用可能な国への出荷料金","1"
"Rate 2 Ship to Specific Countries","指定した国への出荷料金","1"
"Rate 2 Title","タイトル率","1"
"Rate 3 Amount","総額","1"
"Rate 3 Ship To Applicable Countries","適用可能な国への出荷料金","1"
"Rate 3 Ship to Specific Countries","指定した国への出荷料金","1"
"Rate 3 Title","タイトル率","1"
"Remove","削除","1"
"Required for live Google Checkout transactions.","Googleチェックアウト処理に必要です。","1"
"Sandbox","サンドボックス","1"
"Secure Callback URL","セキュアコールバックＵＲＬ","1"
"Small - %s","少数 - %s","1"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","2"
"Title","タイトル","1"
"Total Chargeback: %s","合計チャージバック: %s","1"
"Total Charged: %s","合計請求額: %s","1"
"Total Refunded: %s","返金額合計: %s","1"
"Transparent","明瞭","1"
"United Kingdom","イギリス","1"
"United States","アメリカ","1"
"White Background","空白の背景","1"
"Yes","Yes","2"
"You will be redirected to GoogleCheckout in a few seconds.","数秒でGoogleチェックアウトにリダイレクトされます","1"
