"-- Please Select --","-- 選択してください --","TRUE"
"Account Registration","アカウント登録","TRUE"
"All fields of script types have to be filled.","全てのスクリプトタイプを埋めてください。","TRUE"
"Attributes","属性","TRUE"
"Category View Optimization","カテゴリ表示最適化","TRUE"
"Control Script","制御用スクリプト","TRUE"
"Conversion Page","測定対象ページ","TRUE"
"Conversion Page URL","測定対象ページのＵＲＬ","TRUE"
"Conversion Script","測定用スクリプト","TRUE"
"Enable","有効","TRUE"
"Google Optimizer Scripts","Google Website Optimizerのスクリプト","TRUE"
"Google Website Optimizer","Google ウェブサイトの最適化","TRUE"
"Install Scripts","インストール用スクリプト","TRUE"
"Multi Address Checkout","複数住所への配送","TRUE"
"One Page Checkout","ワンページチェックアウト","TRUE"
"Order Success (Multi Address Checkout)","注文成功 (複数住所への配送)","TRUE"
"Order Success (One Page Checkout)","注文成功 (標準の購入ページ)","TRUE"
"Original Page","オリジナルページ","TRUE"
"Other","その他","TRUE"
"Page Type","ページタイプ","TRUE"
"Page View Optimization","ページ表示最適化","TRUE"
"Please copy and paste this value to experiment edit form","コピー＆ペーストして値を編集してください","TRUE"
"Please copy and paste this value to experiment edit form.","コピー＆ペーストして値を編集してください","TRUE"
"Please select store view to see the URL","URLを表示するストアビューを選択してください。","TRUE"
"Please select store view to see the URL.","URLを表示するストアビューを選択してください。","TRUE"
"Product View Optimization","商品表示最適化","TRUE"
"Scripts Install URL","スクリプト導入ＵＲＬ","TRUE"
"Shopping Cart","ショッピングカート","TRUE"
"The limit is 8 attributes only.","属性は8つまで使用できます。","TRUE"
"Tracking Script","追跡用スクリプト","TRUE"
"Use Default","既定値を使用","TRUE"
"Use Default Values","標準の値を使用","TRUE"
"Variant Page","編集ページ","TRUE"
