"(Make sure you keep it in a safe place.)","(これを安全な場所に保存してください。)","TRUE"
"(Optional. Leave blank for no prefix)","(オプション。プレフィックスなしの場合は空白にしてください)","TRUE"
"(ver. %s)","(バージョン. %s)","TRUE"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","ベースURLの後に追加して管理者パネルにアクセスするためのパス(例. admin, backend, control等)","TRUE"
"Admin Path","管理ページパス","TRUE"
"After successfull installation please click the button below.","インストールが成功したら、下のボタンをクリックしてください。","TRUE"
"All packages were installed, click 'OK' to continue with installation.","全てのパッケージがインストールされました。'OK'をクリックしてインストールを続けてください。","TRUE"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","他の方法として、’マニュアルダウンロードとアップデート'方法を試すことができます。","TRUE"
"Base URL","ベースURL","TRUE"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","先に進む前に暗号化キーをメモしておいてください（Magentoはパスワードやクレジットカードの暗号化に使用します）。","TRUE"
"Check out our","チェック","TRUE"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","HTTP認証が必要な場合など、自動的にセキュアURLを確認できない場合のみこのボックスにチェックをいれてください。","TRUE"
"Check this box only if it is not possible to automatically validate the Base URL.","自動的にベースURLの検証ができない場合はチェックを入れてください。","TRUE"
"Choose this if you would like to test frontend and backend functionality.","フロントエンドとバックエンドの機能をテストしたい場合に選択してください。","TRUE"
"Configuration","設定","TRUE"
"Confirm Password","パスワード確認","TRUE"
"Connection","接続","TRUE"
"Continue","続ける","TRUE"
"Continue After Manual Download","手動ダウンロードして続ける","TRUE"
"Continue Full Download / SVN Installation","フルダウンロード / SVNインストールを続ける","TRUE"
"Create Admin Account","管理者アカウントの作成","TRUE"
"Currently this is the most stable state available for Magento packages.","現在のMagentoの最新安定版です。","TRUE"
"Database","データベース","TRUE"
"Database Connection","データベース接続","TRUE"
"Database connection error.","データベース接続エラー","TRUE"
"Database host","データベースホスト","TRUE"
"Database Name","データベース名","TRUE"
"Database server does not support the InnoDB storage engine.","データベースサーバがInnoDBストレージエンジンをサポートしていません。","TRUE"
"Database user name","データベースユーザー名","TRUE"
"Database user password","データベースユーザーパスワード","TRUE"
"Default Currency","標準の通貨","TRUE"
"Download","ダウンロード","TRUE"
"Download Magento Core Modules and Updates","Magentoのコアモジュールと更新をダウンロードする","TRUE"
"Downloading and installing Magento, please wait...","Magentoをダウンロードしてインストールしています。お待ちください。","TRUE"
"Email","Eメール","TRUE"
"Email Address","メールアドレス","TRUE"
"Enable this option only if you have SSL available.","SSLが利用可能な場合のみこのオプションを有効にしてください","TRUE"
"Encryption Key","暗号化キー","TRUE"
"File System","ファイルシステム","TRUE"
"First Name","名","TRUE"
"Full Download / SVN Installation","フルダウンロード / SVNインストール","TRUE"
"Get ready to experience Open-Source eCommerce Evolved.","進歩したオープンソースEコマースの体験の準備が出来ました","TRUE"
"Go to Backend","管理画面に移動する","TRUE"
"Go to Frontend","フロントエンドに移動する","TRUE"
"Having trouble installing Magento?","Magentoインストールで不具合がありますか？","TRUE"
"Help Us to Keep Magento Healthy","Magentoをよりよくするために私達に協力お願い致します。","TRUE"
"Host","ホスト","TRUE"
"I agree to the above terms and conditions.","上記の条項に同意しました。","TRUE"
"If you are a developer and would like to have the latest public updates, choose this option.","もしあなたが開発者で最新版を使用したい場合はこのオプションを選択してください。","TRUE"
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","もしあなたがPHPをCGIとして動かしている場合、PHPはMagentoのファイルの所有者と同じユーザーの権限で動作します。","TRUE"
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","もし、以前にダウンロードしたりインストールしたMagentoでインストール処理を行っている場合は、この方法で進めてください。","TRUE"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","もし、WebサーバーにMagentoのフォルダへ書き込ませたくない場合、PEARリポジトリからMagentoインストールを行うことができます。","TRUE"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","フルパッケージをダウンロードしたか、svnからmagentoをインストールしている場合、以下のボタンをクリックしてパッケージインストールと確認をスキップしてください。","TRUE"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","MagentoをWeb管理インターフェイスから管理したい場合は、WebからMagentoの全てのフォルダとファイルに対して書き込み権限が必要です。","TRUE"
"If your server is running on MS Windows, most probably you will not need to change anything.","もしWindowsサーバーをお使いの場合は何も変更する必要が無いかもしれません。","TRUE"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","その他の場合でもWebサーバーの実行ユーザーにMagentoのファイルへの書き込み権を与える必要があります。","TRUE"
"Installation","インストレーション","TRUE"
"Installation Guide","インストレーションガイド","TRUE"
"Last Name","姓","TRUE"
"License Agreement","ライセンス承諾","TRUE"
"Locale","言語","TRUE"
"Locale settings","言語設定","TRUE"
"Localization","ローカライゼーション","TRUE"
"Login Information","ログイン情報","TRUE"
"Magento","Magento","TRUE"
"Magento Installation Wizard","Magentoインストールウィザード","TRUE"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento は Magento Incの商標です。 Copyright &copy; %s Magento Inc.","TRUE"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","magentoはこのキーをパスワード、クレジットカード、その他の暗号化のために使用します。空白のままにしておくと暗号化キーを作成し、次のページで表示します。","TRUE"
"Manual Downloads and Upgrades","手動でのダウンロードとアップグレード","TRUE"
"One of PHP Extensions ""%s"" must be loaded.","PHPエクステンションの ""%s"" が必要です。","TRUE"
