"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加","1"
"- Hold mouse button on any of the above buttons for faster selection.","- マウスのボタンを押したままにすることでより早く選択が可能です。","1"
"- or click and drag for faster selection.","- またはクリックアンドドラッグでより迅速な選択が可能です。","1"
"- or Shift-click to decrease it","- Shiftを押しながらクリックして減らします","1"
"- Use the %s buttons to select month","- %sボタンで月を選択","1"
"- Use the %s, %s buttons to select year","- %sと%sボタンで年を選択","1"
"-- Please Select --","-- 選択してください --","1"
"(Shift-)Click or drag to change value","(Shiftキーを押しながら)クリックまたはドラッグして値を変更してください","1"
"(ver. %s)","(バージョン. %s)","1"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magentoデモストア. All Rights Reserved.","1"
"%s Item(s)","%s件のページ","1"
"1 column","1カラム","1"
"2 columns with left bar","2カラム左ナビ付き","1"
"2 columns with right bar","2カラム右ナビ付き","1"
"3 columns","3カラム","1"
"About the calendar","カレンダーについて","1"
"All Empty Layout Pages","全ての空白レイアウトページ","1"
"All One-Column Layout Pages","全ての1カラムレイアウトページ","1"
"All Pages","全てのページ","1"
"All Pages (Print Version)","全てのページ (印刷バージョン)","1"
"All Three-Column Layout Pages","全ての3カラムレイアウトページ","1"
"All Two-Column Layout Pages (Left Column)","全ての2カラムレイアウトページ (左カラム)","1"
"All Two-Column Layout Pages (Right Column)","全ての2カラムレイアウトページ (右カラム)","1"
"Breadcrumbs","パンくず","1"
"Click <a href=""%s"">here</a> if nothing has happened","もし何も起こらない場合は <a href=""%s"">ここをクリック</a>してください。","1"
"Close","閉じる","1"
"Close Window","ウインドウを閉じる","1"
"Date selection:","日付選択:","1"
"Default Description","標準の説明","1"
"Default welcome msg!","標準のウェルカムメッセージ!","1"
"DHTML Date/Time Selector","DHTMLの日付/時間セレクタ","1"
"Display %s first","%sを最初に表示","1"
"Distributed under GNU LGPL. See %s for details.","GNU LGPLライセンスのもとで配布されています。詳細は%sを見てください。","1"
"Drag to move","ドラッグして移動","1"
"Empty","空","1"
"For latest version visit: %s","最新のバージョンへ: %s","1"
"Free Shipping on orders over 50$","無料配送は$50以上です","1"
"Go Today","今日へ","1"
"Help Us to Keep Magento Healthy","Magentoを安全に保つためにご協力ください","1"
"Interface Language","言語","1"
"Items %s to %s of %s total","%s件～%s件 (全%s件)","1"
"JavaScript seem to be disabled in your browser.","JavaScriptがお使いのブラウザで無効になっているようです。","1"
"Left Column","左カラム","1"
"Main Content Area","メインコンテンツエリア","1"
"Navigation Bar","ナビゲーションバー","1"
"Next","次","1"
"Next month (hold for menu)","次月","1"
"Next year (hold for menu)","次年","1"
"Page Bottom","ページ下部","1"
"Page Footer","ページフッター","1"
"Page Header","ページヘッダー","1"
"Page Top","ページ上部","1"
"Page:","ページ:","1"
"per page","件表示","1"
"Prev. month (hold for menu)","前月(メニューに適用)","1"
"Prev. year (hold for menu)","前年 (メニューに適用)","1"
"Previous","前へ","1"
"Redirecting...","リダイレクトしています。","1"
"Report All Bugs","バグを報告する","1"
"Right Column","右カラム","1"
"Select date","日付を選択","1"
"Select Store","ストア選択","1"
"Select Store:","店舗を選択してください:","1"
"Show","表示","1"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。このサイトでご注文いただいても請求されることはありません。","1"
"Time selection:","時間指定:","1"
"Time:","時間:","1"
"Welcome, %s!","ようこそ、%s様!","1"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","このサイトをご覧いただくにはJavaScriptを有効にしていただく必要があります。","1"
"Your Language","あなたの言語","1"
"Your Language:","あなたの言語:","1"
