"An error occurred while clearing the external full page cache.","外部キャッシュを消去中にエラーが発生しました。","1"
"Cookie Lifetime (seconds)","Cookie有効期限（秒）","1"
"Enable External Cache","外部キャッシュを使用する","1"
"External Cache Control","外部キャッシュ管理","1"
"External Full Page Cache Settings","外部キャッシュ設定","1"
"External full page cache.","外部キャッシュ。","1"
"Failed to load external cache control","外部キャッシュ管理の読み込みに失敗しました","1"
"Flush External Page Cache","外部キャッシュを消去する","1"
"If empty, default value will be used.","空欄の場合は標準の値が使用されます。","1"
"The external full page cache has been cleaned.","外部キャッシュを消去しました。","1"
"Zend Full Page Cache","Zendフルページキャッシュ","1"
