"%s %s cycle.","%s %s 周期。"
"--Please Select--","--選択してください--"
"3D Secure Card Validation","3Dセキュアカード認証"
"<label>Make Check payable to:</label> %s","<label>小切手の振出先を指定:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","ライブモードには入力が必要です、CardinalCommerces社約款をご参照ください"
"Allow Initial Fee Failure","初期費用支払い失敗を許可する"
"An internal reference ID is required to save the payment profile.","支払プロファイルの保存には内部参照IDが必要です。"
"Auto Bill on Next Cycle","次の期間から自動課金する"
"Automatically Invoice All Items","自動ですべての商品を請求する。"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","未払い額"
"Billing Agreement status is not set.","支払契約ステータスがセットされていません。"
"Billing Amount","支払額"
"Billing Frequency","支払頻度"
"Billing Period","支払期間"
"Billing Period Unit","支払期間"
"Billing period unit is not defined or wrong.","支払期間が未定義か間違っています"
"Cannot retrieve payment method instance.","支払方法のインスタンスを作成できません。"
"Cannot retrieve the payment info model object.","支払情報モデルを受け取れません。"
"Cannot retrieve the payment method model object.","支払情報モデルを受け取れません。"
"Card Verification Number","カード確認番号"
"Centinel API URL","3Dセキュア API URL"
"Check / Money Order","振り込み支払"
"Credit Card Number","クレジットカード番号"
"Credit Card Type","クレジットカード会社"
"Credit Card Types","クレジットカード会社"
"Currency","通貨"
"Currency code is undefined.","通貨コードが未定義です"
"Customer ID is not set.","顧客IDがセットされていません。"
"Day","日"
"Enabled","有効"
"Expiration Date","有効期限"
"Full name of the person receiving the product or service paid for by the recurring payment.","定期購読で商品またはサービスを受け取る方のフルネーム"
"Initial Fee","初期費用"
"Initial non-recurring payment amount due immediately upon profile creation.","初期費用は継続支払を開始してすぐに課金されます。"
"Internal Reference ID","内部参照ID"
"Issue Number","取引番号"
"Make Check Payable to","Make Check Payable to"
"Make Check payable to:","Make Check payable to:"
"Make Check payable to: %s","小切手の振出先を指定: %s"
"Maximum Billing Cycles","最大支払期間"
"Maximum Order Total","注文合計最大値"
"Maximum Payment Failures","最大決済失敗回数"
"Maximum Trial Billing Cycles","最大請求試行回数"
"Minimum Order Total","注文合計最小値"
"Month","月"
"N/A","該当無し"
"Name on Card","カード名義"
"Name on the Card","カード名義人"
"New Order Status","新規受注ステータス"
"Number of billing periods that make up one billing cycle.","Number of billing periods that make up one billing cycle."
"Payment Method","お支払方法"
"Payment Methods","支払方法"
"Payment Methods Section","支払方法セクション"
"Payment Reference ID","決済参照ID"
"Payment Services","決済サービス"
"Payment from Applicable Countries","許可された国からの支払"
"Payment from Specific Countries","特定の国からの支払"
"Payment method code is not set.","支払方法コードがセットされていません。"
"Payment method code is undefined.","支払方法コードが未定義です。"
"Payment profile is invalid:\n%s","決済プロファイルが不正:\n%s"
"Period frequency is wrong.","Period frequency is wrong."
"Purchase Order","出荷"
"Purchase Order Number","出荷番号"
"Purchase Order Number:","出荷番号:"
"Purchase Order Number: %s","出荷番号: %s"
"Recurring Profile Start Date","継続課金開始日"
"Recurring profile start date has invalid format.","継続課金開始日が不正なフォーマットです。"
"Reference ID is not set.","参照IDがセットされていません。"
"Repeats %s time(s).","%s回繰り返す。"
"Repeats until suspended or canceled.","中断するか、キャンセルされるまで繰り返す"
"Request Card Security Code","カード確認番号を要求する"
"Saved CC","保存したクレジットカード"
"Schedule Description","スケジュール概要"
"Schedule description must be not empty.","スケジュール概要を入力してください。"
"Send Check to","小切手の宛先"
"Send Check to:","小切手の宛先を指定:"
"Severe 3D Secure Card Validation","厳密な3Dセキュアカード検証を行う"
"Severe validation removes chargeback liability on merchant.","厳格な検査によって出店者のチャージバックを回避します。"
"Shipping Amount","配送料金"
"Short description of the recurring payment. By default equals to the product name.","継続課金の概要です。標準では商品名と同じです。"
"Sort Order","並び順"
"Start Date","開始日"
"Start date has invalid format.","開始日が不正な形式です。"
"Start date is undefined.","開始日が未定義です。"
"Subscriber Name","購読者名"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro発行番号"
"Switch/Solo/Maestro Only","Switch/Solo/Maestroのみ"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro開始日"
"Tax Amount","税"
"The date when billing for the profile begins.","支払日がプロファイルの開始日です。"
"The number of billing cycles for payment period.","支払期間数"
"The number of scheduled payments that can fail before the profile is automatically suspended.","予定した支払い回数はプロフィールが自動的に停止する前に失敗します。"
"The payment review action is unavailable.","支払レビューは利用できません。"
"Title","タイトル"
"Trial Billing Amount","お試し金額"
"Trial Billing Frequency","お試し頻度"
"Trial Billing Period Unit","お試し期間"
"Trial Period","お試し期間"
"Trial billing amount is wrong.","お試し金額が不正です。"
"Trial billing period unit is wrong.","お試し期間が間違っています。"
"Trial period frequency is wrong.","お試し頻度が不正です。"
"Trial period max cycles is wrong.","お試し最大回数が不正です。"
"Two Weeks","2週間"
"Unable to save Billing Agreement:","支払契約を保存できません:"
"Unit for billing during the subscription period.","契約期間中の購入単位"
"Week","週"
"What is this?","これは何ですか？"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","定期購入の初期費用が未払いになった場合に、支払残高に加算するかどうか。"
"Wrong %s specified.","誤った %s が指定されました。"
"Wrong or empty billing amount specified.","正しくない請求額が指定されました"
"Year","年"
"Zero Subtotal Checkout","ゼロ合計チェックアウト"
