"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">PayPalで決済を始めましょう！</a>","TRUE"
"2-pixel perimeter around the header space.","ヘッダスペース周囲の2ピクセルの境界","TRUE"
"3D Secure","3Dセキュア","TRUE"
"3D Secure Card Validation","3Dセキュアカード認証","TRUE"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","ライブモードには入力が必要です、CardinalCommerces社約款をご参照ください","TRUE"
"Ability for buyer to purchase without PayPal account.","PayPalアカウントが不要な購入機能","TRUE"
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","顧客があなたのウェブサイトを離れる事無く、PayPalでの支払いを受け入れられます。多くのホスティングサービスやショッピングカートにはPayFlowゲートウェイが組み込まれており、簡単に設定ができます。","TRUE"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","あなたのショッピングカートの中で、PayPalでの支払いを受け入れられます。PayFlow Proゲートウェイによって、PayPalがクレジットカード決済を処理します。","TRUE"
"Acceptance Mark","承認マーク","TRUE"
"Acceptance Mark Image","承認マーク画像","TRUE"
"Account-to-Account Payment, initiated by PayPal","PayPalによる顧客間の支払い","TRUE"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH（電子小切手決済）入金(係争または調査による保留）","TRUE"
"ACH Deposit (Reversal)","ACH（電子小切手決済）送金(払い戻し）","TRUE"
"ACH Funding for Funds Recovery from Account Balance","アカウント残高からのACH（電子小切手決済）回収","TRUE"
"ACH Withdrawal","ACH（電子小切手決済）引き落し","TRUE"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","簡単迅速なクレジットカード決済のためにExpress Checkoutボタンをあなたのショッピングカートに追加してください。PayPalが全ての決済を処理します","TRUE"
"Additional Options","追加オプション","TRUE"
"Address Verification System Response","住所確認システムのレスポンス","TRUE"
"All the address information matched","全ての住所情報の一致","TRUE"
"Allow in Billing Agreement Wizard","支払承諾ウィザードでの許可","TRUE"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","許可される値: ""paypal"", ""primary"" (初期値), your_custom_value ( 出店者アカウントプロファイルのカスタム支払ページスタイル).","TRUE"
"Allowed Credit Card Types","許可するクレジットカードの種類","TRUE"
"Also affects mini-shopping cart.","ミニショッピングカートにも影響を与えます","TRUE"
"API Password","API パスワード","TRUE"
"API Signature","APIシグネチャ","TRUE"
"API Username","APIユーザー名","TRUE"
"API Uses Proxy","Proxyを使うAPI","TRUE"
"API/Integration","API/インテグレーション","TRUE"
"Api/Integration","API/インテグレーション","TRUE"
"API/Integration Settings","API/インテグレーション設定","TRUE"
"Ask Customer","顧客問合せ","TRUE"
"Attempted Authentication, Bad Result","認証要求に対する否認","TRUE"
"Attempted Authentication, Good Result","認証要求に対する承認","TRUE"
"Auction Payment other than through eBay","Ebay以外からのオークションの支払い","TRUE"
"Authenticated, Bad Result","認証否認","TRUE"
"Authenticated, Good Result","認証承認","TRUE"
"Authorization","認証","TRUE"
"Authorization transaction is required to void.","無効化のためには承認されたトランザクションが必要です。","TRUE"
"Auto","自動","TRUE"
"AutoSweep","自動スイープ","TRUE"
"Available Balance","現在残高","TRUE"
"Balance Manager Account Bonus","Balance Managerアカウント割引","TRUE"
"Billing Address","購入者住所","TRUE"
"Billing Agreement Signup ","支払契約サインアップ","TRUE"
"Billing Information","購入者情報","TRUE"
"Bonus for first ACH Use","最初のACH（電子小切手決済）使用割引","TRUE"
"Buyer Credit Payment","購入者クレジット支払い","TRUE"
"By default it is ""reports.paypal.com"".","初期値は ""reports.paypal.com"".","TRUE"
"Cannot create target file for reading reports.","レポートのためのファイルを作成出来ません","TRUE"
"Centinel API URL","3Dセキュア API URL","TRUE"
"Centinel Api URL","3Dセキュア API URL","TRUE"
"Centinel Custom Api URL","3Dセキュア カスタム Api URL","TRUE"
"Change Payment Method","支払方法変更","TRUE"
"Change Shipping Address","お届け先変更","TRUE"
"Charge-off","貸倒償却","TRUE"
"Chargeback","支払い拒否","TRUE"
"Chargeback by customer.","顧客による支払い拒否","TRUE"
"Checkout with PayPal","PayPalチェックアウト","TRUE"
"Completion Date","完了日付","TRUE"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","新しいレポートを取得するためにPayPal SFTPサーバーに接続しようとしています。このまま続けますか？","TRUE"
"Countries Payment Applicable From","支払い可能な国","TRUE"
"Coupon Redemption","クーポンの償還","TRUE"
"Credit","クレジット","TRUE"
"Credit Card Settings","クレジットカードの設定","TRUE"
"Currency Conversion required to cover negative balance","マイナス収支の埋め合わせのための為替レートが必要です","TRUE"
"Custom","カスタム","TRUE"
"Custom Endpoint Hostname or IP-Address","カスタムエンドポイントのホスト名またはIPアドレス","TRUE"
"Custom Path","カスタムパス","TRUE"
"Customer complaint.","顧客からの苦情","TRUE"
"Customer did not include a confirmed address.","確認済みの住所を持たない顧客","TRUE"
"Customer triggered a money-back guarantee.","顧客による返金保証要求","TRUE"
"CVV2 Check Result by PayPal","PayPalからのCVV2クレジットカード・セキュリティコード確認結果","TRUE"
"Daily","毎日","TRUE"
"Debit","デビット","TRUE"
"Debit Card Cash Back","デビットカードキャッシュバック","TRUE"
"Debit Card Transaction","デビットカードトランザクション","TRUE"
"Debit or Credit","デビットカード、またはクレジットカード","TRUE"
"Debug Mode","デバッグモード","TRUE"
"Direct Payment API","ダイレクトペイメントAPI","TRUE"
"Discount","割引価格","TRUE"
"Discount Tax","税金値引き","TRUE"
"Displays on catalog pages and homepage.","ホームページとカタログページへの表示","TRUE"
"Does not work if there are more than 10 shipping options available.","10以上の発送オプションがあると機能しません","TRUE"
"Don't have a PayPal account? Simply enter your email address.","PayPalアカウントを持っていませんか？メールアドレスを入力してください。","TRUE"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","PayPalのマーチャントアカウントをお持ちではないですか？Payflow Proゲートウェイを使ってカード支払いを受け付けできます。","TRUE"
"Dynamic","可変","TRUE"
"eBay Auction Payment","eBayオークション支払い","TRUE"
"Edit Shopping Cart","カートの内容を変更する","TRUE"
"EFT Funding (German banking)","EFT入金（ドイツの銀行）","TRUE"
"Email Associated with PayPal Merchant Account","PayPal出店者アカウントにひもづいたメールアドレス","TRUE"
"Enable Automatic Fetching","自動取得を有効する","TRUE"
"Enable PayPal Guest Checkout","PayPalゲストチェックアウトを有効にする","TRUE"
"Enabled","有効","TRUE"
