"Alert Email Sender","Email送信者通知","1"
"Alert subscription has been saved.","更新通知を購読しました。","1"
"Allow Alert When Product Comes Back in Stock","商品入荷時の通知を許可する","1"
"Allow Alert When Product Price Changes","商品価格変更時の通知を許可する","1"
"Click here not to receive alerts for this product","この商品について通知しない場合はここをクリックしてください","1"
"Error Email Recipient","エラーEmail受信者","1"
"Error Email Sender","エラーEmail送信者","1"
"Error Email Template","エラーEmailテンプレート","1"
"Frequency","頻度","1"
"Not enough parameters.","パラメータが不足しています。","1"
"Price Alert Email Template","価格変更通知メールテンプレート","1"
"Price:","価格:","1"
"Product Alerts","商品通知","1"
"Product alerts Cron error","商品通知Cronエラー","1"
"Product Alerts Run Settings","商品通知実行設定","1"
"Product price alert","商品価格通知","1"
"Product stock alert","商品在庫通知","1"
"Regular Price:","通常価格:","1"
"Sign up for price alert","価格通知を購読する","1"
"Sign up to get notified when this product is back in stock","商品入荷のお知らせを購読する","1"
"Special price:","特別価格:","1"
"Start Time","開始時間","1"
"Stock Alert Email Template","在庫更新通知メールテンプレート","1"
"The alert subscription has been deleted.","更新通知を解除しました。","1"
"The alert subscription has been saved.","更新通知を購読しました。","1"
"The product is not found.","商品が見つかりません。","1"
"The product was not found.","商品が見つかりません。","1"
"Unable to update the alert subscription.","購読状況を更新できません。","1"
"Unsubscribe from all price alerts","すべての価格通知を購読解除する","1"
"Unsubscribe from all stock alerts","在庫通知を購読解除する","1"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","以下の商品が在庫有りになった場合の通知されるように設定しているため、この通知を受け取りました。","1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","以下の商品の価格が変更された場合に通知されるように設定しているため、この通知を受け取りました。","1"
"You will no longer receive price alerts for this product.","この商品の価格変更通知受信を停止しました。","1"
"You will no longer receive stock alerts for this product.","この商品の在庫更新通知を停止しました。","1"
"You will no longer receive stock alerts.","在庫更新通知を受信しなくなります。","1"
