"Abandoned Carts","無効になったショッピングカート","TRUE"
"Abandoned carts","無効になったショッピングカート","TRUE"
"Action","アクション","TRUE"
"Add to Cart","カートに入れる","TRUE"
"Add to Compare","比較リストに追加","TRUE"
"Add to Wishlist","欲しいものリストに追加","TRUE"
"Any","すべて","TRUE"
"Applied Coupon","適用されたクーポン","TRUE"
"Applies to Any of the Specified Order Statuses","指定した注文ステータスすべてに適用する","TRUE"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","統計情報を更新しても構いませんか？ 処理中はシステムのパフォーマンスに影響を及ぼします。","TRUE"
"Are you sure?","よろしいですか？","TRUE"
"Avg. Approved Rating","平均の承認済み評価件数","TRUE"
"Avg. Rating","平均評価点数","TRUE"
"Bestsellers","ベストセラー","TRUE"
"Bought from wishlists","欲しいものリストから購入","TRUE"
"Carts","カート","TRUE"
"Compared Products Grid Template","商品比較グリッドテンプレート","TRUE"
"Compared Products List Template","商品比較リストテンプレート","TRUE"
"Coupons","クーポン","TRUE"
"Coupons Usage Report","クーポン使用レポート","TRUE"
"Created At","作成日","TRUE"
"CSV","CSVファイル","TRUE"
"Current Month Starts","現在の月から開始","TRUE"
"Customer","顧客","TRUE"
"Customer Name","顧客名","TRUE"
"Customer Tags","顧客のタグ","TRUE"
"Customers","顧客","TRUE"
"Customers by Number of Orders","顧客ごとの注文件数","TRUE"
"Customers by number of orders","顧客ごとの注文件数","TRUE"
"Customers by Orders Total","顧客ごとの購入合計","TRUE"
"Customers by orders total","注文額合計順に顧客を並べ替え","TRUE"
"Customers Report","顧客のレポート","TRUE"
"Customers Reviews","顧客のレビュー","TRUE"
"Customers Tags","顧客のタグ","TRUE"
"Customers that have wishlist: %s%","欲しいものリストを持つ顧客: %s%","TRUE"
"Dashboard","ダッシュボード","TRUE"
"Day","日","TRUE"
"Default Recently Compared Products Count","標準の最近比較された商品点数","TRUE"
"Default Recently Viewed Products Count","標準の最近閲覧した商品点数","TRUE"
"Description","概要","TRUE"
"Detail","詳細","TRUE"
"Downloads","ダウンロード","TRUE"
"Email","Eメール","TRUE"
"Empty Rows","空白行","TRUE"
"Excel","Excel","TRUE"
"Filter","フィルタ","TRUE"
"First Name","名","TRUE"
"From","開始","TRUE"
"Guest","ゲスト様","TRUE"
"Hits","ヒット","TRUE"
"ID","ID","TRUE"
"Index model name must be defined","インデックスモデル名を定義してください","TRUE"
"Invalid date specified.","不正な日付が指定されました。","TRUE"
"Invoiced","領収済","TRUE"
"IP Address","IPアドレス","TRUE"
"Items in Cart","カートの中の商品","TRUE"
"Last Name","姓","TRUE"
"Last Review","最新のレビュー","TRUE"
"Link","リンク","TRUE"
"List of Products Recently Compared and Removed from the Compare List by Visitor","訪問者に比較リストで最近比較されたかリストから削除された商品リスト","TRUE"
"List of Products Recently Viewed by Visitor","訪問者に最近閲覧された商品のリスト","TRUE"
"Low Stock","在庫わずか","TRUE"
"Low stock","在庫薄","TRUE"
"Match Period To","期間の指定","TRUE"
"Month","月","TRUE"
"Most Viewed","閲覧最多商品","TRUE"
"Name","名前","TRUE"
"New Accounts","新しいアカウント","TRUE"
"No","No","TRUE"
"No records found for this period.","この期間にはデータがありません。","TRUE"
"Number Added","追加された数","TRUE"
"Number Fulfilled","番号化されたもの","TRUE"
"Number of Items","商品数","TRUE"
"Number of items bought from a wishlist: %s","欲しいものリストから購入された商品数: %s","TRUE"
"Number of New Accounts","新しいアカウント数","TRUE"
"Number of Products to display","商品表示件数","TRUE"
"Number Of Reviews","レビュー数","TRUE"
"Number of Reviews","レビュー数","TRUE"
"Number of Times Deleted","削除された回数","TRUE"
"Number of times wishlists have been shared (emailed): %s","共有された(emailされた)欲しいものリストの数: %s","TRUE"
"Number of Total Tags","タグの合計数","TRUE"
"Number of Unique Tags","ユニークタグ数","TRUE"
"Number of Views","見られた回数","TRUE"
"Number of wishlist conversions: %s","欲しいものリストコンバージョンの数: %s","TRUE"
"Number of wishlist referrals: %s","参照された欲しいものリストの数: %s","TRUE"
"Number of wishlists: %s","欲しいものリストの数: %s","TRUE"
"Number Purchased","購入数","TRUE"
"Number Viewed","閲覧数","TRUE"
"Order Status","注文ステータス","TRUE"
"Order Taxes Report Grouped by Tax Rate","受注税レポートを税率でグループ化する","TRUE"
"Orders","注文","TRUE"
"Out of stock","在庫切れ","TRUE"
"Period","期間","TRUE"
"Poducts Report","商品レポート","TRUE"
"Popular Tags","人気のタグ","TRUE"
"Popularity","人気度","TRUE"
"Price","価格","TRUE"
"Product Name","商品名","TRUE"
"Product Reviews","商品レビュー","TRUE"
"Product SKU","商品SKU","TRUE"
"Product Tags","商品タグ","TRUE"
"Products","商品","TRUE"
"Products in carts","カート内の商品","TRUE"
"Products Ordered","最近注文された商品","TRUE"
"Products Report","商品レポート","TRUE"
"Products Reviews","商品レビュー","TRUE"
"Products Tags","商品のタグ","TRUE"
"Purchases","購入品","TRUE"
"Quantity of Items","商品の個数","TRUE"
"Quantity Ordered","注文数","TRUE"
"Recently Compared","最近比較した商品","TRUE"
"Recently Compared Products","最近比較した商品","TRUE"
"Recently Viewed","最近閲覧した商品","TRUE"
"Recently Viewed Products","最近閲覧した商品","TRUE"
"Recently Viewed/Compared Products","最近見られた/比較された商品","TRUE"
"Refresh Lifetime Statistics","集計期間の統計を更新","TRUE"
"Refresh Statistics","統計を更新","TRUE"
"Refresh Statistics for the Last Day","昨日の統計を更新する","TRUE"
"Refunds","返金","TRUE"
"Report","レポート","TRUE"
"Reports","レポート","TRUE"
"Results","結果","TRUE"
"Revenue","収入","TRUE"
"Review","レビュー","TRUE"
"Reviews","レビュー","TRUE"
"Reviews for %s","%s のレビュー","TRUE"
"Sales","売上高","TRUE"
"Sales Report","セールスレポート","TRUE"
"Search Query","検索クエリ","TRUE"
"Search Terms","検索ワード","TRUE"
"Select day of the month.","月の日を選択してください。","TRUE"
"Shipping","配送料","TRUE"
"Shopping Cart","ショッピングカート","TRUE"
"Show Actual Values","実際の値を表示","TRUE"
"Show for Current","最新を表示","TRUE"
"Show Report","レポート表示","TRUE"
"Specified","指定の","TRUE"
"Statistics","統計","TRUE"
"Stock Qty","在庫数","TRUE"
"Submitted In","送信元","TRUE"
"Submitted On","送信先","TRUE"
"Subtotal","小計","TRUE"
"Tag","タグ","TRUE"
"Tag ""%s"" details","タグ ""%s"" 詳細","TRUE"
"Tag Detail","タグ詳細","TRUE"
"Tag Name","タグ名","TRUE"
"Tag Use","使用中のタグ","TRUE"
"Tags Submitted by %s","%s によって投稿されたタグ","TRUE"
"Tags submitted to %s","%sに送信されたタグ","TRUE"
"Tax","税","TRUE"
"Title","タイトル","TRUE"
"To","終了","TRUE"
"Total","合計","TRUE"
"Total invoiced","請求額合計","TRUE"
"Total Invoiced vs. Paid Report","請求額と支払額の合計レポート","TRUE"
"Total Ordered Report","受注合計レポート","TRUE"
