"%s - Discounts and Coupons","%s - ディスカウントとクーポン","1"
"%s - Special Products","%s - 特別商品","1"
"%s has reached a quantity of %s.","%sは%sの個数に達しました。","1"
"%s RSS Feed","%s RSSフィード","1"
"%s\'s Wishlist","%sの欲しいものリスト","1"
"Cannot retrieve the wishlist","欲しいものリストを取得できませんでした","1"
"Catalog","カタログ","1"
"Category Feeds","カテゴリフィード","1"
"click <a href=""%s"">here</a> to view the review","レビューを表示するには<a href=""%s"">ここをクリック</a>してください","1"
"Click for price","Click for price","2"
"Comment: %s<br/>","コメント: %s<br/>","1"
"Coupons/Discounts","クーポン/ディスカウント","1"
"Current Status: %s<br/>","現在の状態: %s<br/>","1"
"Customer Name: %s","顧客名: %s","1"
"Customer Order Status Notification","顧客注文状態通知","1"
"Details for %s #%s","%s #%sの詳細","1"
"Discount","割引価格","1"
"Discount (%s)","割引価格 (%s)","1"
"Enable RSS","RSSを有効にする","1"
"Error in processing xml. %s","xml処理中にエラーが発生しました。%s","1"
"From:","開始:","1"
"Get Feed","フィードを取得","1"
"Gift Message","ギフトメッセージ","1"
"Grand Total","合計","1"
"Low Stock Products","残りわずかな商品","1"
"Message:","メッセージ:","1"
"Miscellaneous Feeds","利用可能なフィード","1"
"New Orders","新しい注文","1"
"New Products","新しい商品","1"
"New Products from %s","%sより新しい商品","1"
"Notified Date: %s<br/>","通知日: %s<br/>","1"
"Order # %s Notification(s)","ご注文番号 %s通知","1"
"Order #%s created at %s","ご注文番号 %s は%sに作成されました","1"
"Pending product review(s)","認証待ちの商品レビュー","1"
"Product: ""%s"" review By: %s","商品: ""%s"" %sによるレビュー","1"
"Product: <a href=""%s"">%s</a> <br/>","商品: <a href=""%s"">%s</a> <br/>","1"
"Products tagged with %s","%sでタグ付けされた商品","1"
"Purchased From: %s","%sから購入済み","1"
"Review: %s <br/>","レビュー: %s<br/>","1"
"RSS","RSSフィード","1"
"Rss Config","RSS設定","1"
"RSS Feeds","RSSフィード","1"
"RSS Feeds List","RSSフィード一覧","1"
"Rss Feeds Section","RSSフィード欄","1"
"Shipping &amp; Handling","配送情報","1"
"Special Products","特別価格商品","1"
"Store: %s <br/>","店舗: %s<br/>","1"
"Subtotal","小計","1"
"Summary of review: %s <br/>","レビューの概要: %s <br/>","1"
"Tags Products","タグ商品","1"
"Tax","税","1"
"There are no Rss Feeds","RSSフィードがありません。","1"
"To:","終了:","1"
"Top Level Category","カテゴリの最上位","1"
"Total: %s<br/>","合計: %s<br/>","1"
"Wishlist","ほしい物リスト","1"
