"Actions","アクション","TRUE"
"Active","アクティブ","TRUE"
"Add New Rule","新規ルールの追加","TRUE"
"Apply","反映","TRUE"
"Apply the rule only if the following conditions are met (leave blank for all products)","下記の条件を満たす場合のみ規定が適用されます。（全ての製品欄は空白のままにしてください。）","TRUE"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","カートの商品が下記の条件を満たす場合のみ規定が適用されます。(全ての商品欄は空白のままにしてください。）","TRUE"
"Apply the rule to cart items matching the following conditions","以下の条件にマッチするカートの商品に適用する","TRUE"
"Apply To","適用終了日","TRUE"
"Apply to Shipping Amount","配送料に適用する","TRUE"
"Auto","自動","TRUE"
"Buy X get Y free (discount amount is Y)","X を買うと Y を無料に (Y の金額だけディスカウントする)","TRUE"
"By Fixed Amount","固定量","TRUE"
"By Fixed value","固定値","TRUE"
"By Percentage","固定率","TRUE"
"By Percentage of the Original Price","元の値段からの割合で","TRUE"
"Can\'t acquire coupon.","クーポンを適用できません。","TRUE"
"Cart Attribute","カート属性","TRUE"
"Catalog","カタログ","TRUE"
"Conditions","条件","TRUE"
"Conditions combination","条件の組み合わせ","TRUE"
"Coupon","クーポン","TRUE"
"Coupon Code","クーポンコード","TRUE"
"Customer Groups","顧客グループ","TRUE"
"Customer is new buyer: %s","新規顧客: %s","TRUE"
"Customer registered: %s","顧客登録日: %s","TRUE"
"Date Expire","終了日","TRUE"
"Date Start","開始日","TRUE"
"Default Label","標準のラベル","TRUE"
"Default Rule Label for All Store Views","全てのストアビューの標準ルール名","TRUE"
"Delete Rule","ルールの削除","TRUE"
"Description","概要","TRUE"
"Description: %s","概要: %s","TRUE"
"Discount Amount","割引価格","TRUE"
"Discount Qty Step (Buy X)","ディスカウント対象個数の段階 (X を買った場合)","TRUE"
"Edit Rule","ルールの編集","TRUE"
"Edit Rule '%s'","ルール'%s'の編集","TRUE"
"Expire at: %s","有効期限: %s","TRUE"
"Fixed amount discount","定額割引","TRUE"
"Fixed amount discount for whole cart","カート全体に対する固定値引き量","TRUE"
"For matching items only","一致する商品のみ","TRUE"
"For shipment with matching items","一致する商品の出荷","TRUE"
"Free Shipping","送料無料","TRUE"
"From Date","開始日","TRUE"
"General Information","総合情報","TRUE"
"ID","ルールID","TRUE"
"Inactive","無効","TRUE"
"Labels","ラベル","TRUE"
"Maximum Qty Discount is Applied To","値引を適用する最大個数","TRUE"
"Name: %s","名前: %s","TRUE"
"New Rule","新規ルール","TRUE"
"No","No","TRUE"
"No Coupon","クーポンがありません","TRUE"
"NOT LOGGED IN","未ログイン","TRUE"
"Number of Uses","使用数","TRUE"
"Payment Method","支払い方法","TRUE"
"Percent of product price discount","商品価格値引率","TRUE"
"Period","期間","TRUE"
"Price in cart","カートの中の価格","TRUE"
"Priority","優先度","TRUE"
"Product attribute combination","商品属性の組み合わせ","TRUE"
"Products subselection","製品の仮選択","TRUE"
"Promotions","プロモーション","TRUE"
"Public In RSS Feed","RSSフィードに公開","TRUE"
"Quantity in cart","カートの中の個数","TRUE"
"Row total in cart","カートの中の行数","TRUE"
"Rule Information","ルール情報","TRUE"
"Rule Name","ルール名","TRUE"
"Sales Discount Amount","値引額","TRUE"
"Sales Subtotal Amount","小計","TRUE"
"Sales Total Amount","合計金額","TRUE"
"Save and Continue Edit","保存して編集を続ける","TRUE"
"Save Rule","保存","TRUE"
"Shipping Country","配送先の国","TRUE"
"Shipping Method","配送方法","TRUE"
"Shipping Postcode","配送先郵便番号","TRUE"
"Shipping Region","配送エリア","TRUE"
"Shipping State/Province","配送先の県/地方","TRUE"
"Shopping Cart Price Rule","ショッピングカート価格ルール","TRUE"
"Shopping Cart Price Rules","ショッピングカート価格ルール","TRUE"
"Shopping Cart Price Rules based on deleted attribute ""%s"" has been disabled.","ショッピングカート価格ルールは削除された属性に基づいています。 ""%s"" は無効です。","TRUE"
"Special Price","特別価格","TRUE"
"Specific Coupon","特定のクーポン","TRUE"
"Start at: %s","開始日: %s","TRUE"
"Status","状態","TRUE"
"Stop Further Rules Processing","他のルールの適用を行わない","TRUE"
"Store View Specific Labels","ストアビュー固有のラベル","TRUE"
"Subtotal","小計","TRUE"
"Subtotal Amount","小計額","TRUE"
"The rule has been deleted.","ルールを削除しました。","TRUE"
"The rule has been saved.","ルールを保存しました。","TRUE"
"This rule no longer exists.","ルールが存在しません。","TRUE"
"To Date","日付で","TRUE"
"To Fixed Amount","固定量","TRUE"
"To Fixed Value","金額","TRUE"
"To Percentage","割合","TRUE"
"To Percentage of the Original Price","元の値段の割合で","TRUE"
"Total","合計","TRUE"
"Total Amount","合計金額","TRUE"
"Total Items Quantity","合計商品点数","TRUE"
"Total Weight","総重量","TRUE"
"Unable to find a rule to delete.","削除するルールが見つかりません。","TRUE"
"Update Prices Using the Following Information","以下の情報に基づいて価格を更新する","TRUE"
"Update prices using the following information","商品の価格を以下の条件で更新する","TRUE"
"Update product's %s %s: %s","商品を更新 %s %s: %s","TRUE"
"Update the Product","商品を更新","TRUE"
"Uses per Coupon","クーポンごとの使用可能数","TRUE"
"Uses per Customer","顧客ごとの使用可能数","TRUE"
"Wrong rule specified.","不正なルールが指定されました","TRUE"
"Yes","Yes","TRUE"
