"Action","アクション","TRUE"
"Add Sitemap","サイトマップを追加","TRUE"
"Always","常に","TRUE"
"Categories Options","カテゴリオプション","TRUE"
"CMS Pages Options","CMSページオプション","TRUE"
"Daily","毎日","TRUE"
"Edit Sitemap","サイトマップ編集","TRUE"
"Enabled","有効","TRUE"
"Error Email Recipient","Email受信者エラー","TRUE"
"Error Email Sender","Email送信者エラー","TRUE"
"Error Email Template","Emailテンプレートエラー","TRUE"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","ファイル ""%s"" は保存できません。ディレクトリ ""%s"" がウェブサーバより書き込み可能であることを確認してください。","TRUE"
"Filename","ファイル名","TRUE"
"Frequency","頻度","TRUE"
"Generate","生成","TRUE"
"Generation Settings","生成設定","TRUE"
"Google Sitemap","Googleサイトマップ","TRUE"
"Hourly","1時間ごと","TRUE"
"ID","ID","TRUE"
"Last Time Generated","最終生成時","TRUE"
"Link for Google","Googleへリンク","TRUE"
"Monthly","月ごと","TRUE"
"Never","まだ","TRUE"
"New Sitemap","新しいサイトマップ","TRUE"
"Path","パス","TRUE"
"Please create the specified folder ""%s"" before saving the sitemap.","サイトマップを保存する前に保存先フォルダ ""%s"" を指定してください。","TRUE"
"Please define correct path","正しいパスを指定してください","TRUE"
"Please make sure that ""%s"" is writable by web-server."," ""%s"" がウェブサーバより書き込み可能であることを確認してください。","TRUE"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","ファイル名には、アルファベット(a-z or A-Z), 数字(0-9) またはアンダースコア(_) のみ使用してください。空白や他の文字は使用不可です。","TRUE"
"Priority","優先度","TRUE"
"Products Options","商品オプション","TRUE"
"Sitemap","サイトマップ","TRUE"
"Sitemap generate Warnings","サイトマップは警告を作成しました","TRUE"
"Start Time","開始時間","TRUE"
"Store View","店舗ビュー","TRUE"
"The priority must be between 0 and 1.","優先順位は0から1の間で指定してください。","TRUE"
"The sitemap ""%s"" has been generated.","サイトマップ""%s""を生成しました。","TRUE"
"The sitemap has been deleted.","サイトマップは削除されました。","TRUE"
"The sitemap has been saved.","サイトマップを保存しました。","TRUE"
"This sitemap no longer exists.","サイトマップは存在していません。","TRUE"
"Unable to find a sitemap to delete.","削除するサイトマップが見つかりません。","TRUE"
"Unable to find a sitemap to generate.","生成するサイトマップが見つかりません。","TRUE"
"Unable to generate the sitemap.","サイトマップを生成できません。","TRUE"
"Valid values range: from 0.0 to 1.0.","正しい値の範囲は0.0から1.0までです。","TRUE"
"Weekly","週ごと","TRUE"
"Yearly","年ごと","TRUE"
