"# of Uses","件使用中","TRUE"
"%s tag(s) have been accepted for moderation.","%s個のタグが承認されました。","TRUE"
"<strong>Tag Name:</strong> %s","<strong>タグ名:</strong> %s","TRUE"
"Action","アクション","TRUE"
"Add New Tag","新規タグの追加","TRUE"
"Add Tags","タグの追加","TRUE"
"Add to Cart","カートに入れる","TRUE"
"Add to Wishlist","欲しいものリストに追加","TRUE"
"Add Your Tags:","タグに追加する:","TRUE"
"All Tags","全てのタグ","TRUE"
"Approved","承認","TRUE"
"Are you sure you want to delete this tag?","このタグを削除してもいいですか？","TRUE"
"Are you sure you want to do this?","実行してもよろしいですか？","TRUE"
"Are you sure?","よろしいですか？","TRUE"
"Back","戻る","TRUE"
"Back to Tags List","タグリストに戻る","TRUE"
"Base Popularity","注目度の基準","TRUE"
"Block Information","ブロック情報","TRUE"
"Change status","ステータス変更","TRUE"
"Click on a tag to view your corresponding products.","タグをクリックして関連する商品を表示します。","TRUE"
"Country","国","TRUE"
"CSV","CSVファイル","TRUE"
"Customer My Account My Tags List","マイページタグリスト","TRUE"
"Customer My Account Tag View","マイページタグ画面","TRUE"
"Customer Since","顧客登録日時","TRUE"
"Customers","顧客","TRUE"
"Customers Submitted this Tag","顧客が投稿したタグ","TRUE"
"Customers Tagged '%s'","顧客のタグ '%s'","TRUE"
"Delete","削除","TRUE"
"Delete Tag","タグの削除","TRUE"
"Disabled","無効","TRUE"
"Edit Tag '%s'","%s'タグを編集","TRUE"
"Email","Eメール","TRUE"
"First Name","名","TRUE"
"General Information","全般情報","TRUE"
"Grid","表","TRUE"
"ID","タグID","TRUE"
"Last Name","姓","TRUE"
"List","リスト","TRUE"
"Manage Tags","タグ管理","TRUE"
"My Recent Tags","最近のタグ","TRUE"
"My Tags","タグ","TRUE"
"Name","名前","TRUE"
"New Tag","新しいタグ","TRUE"
"No matches found.","一致するものが見つかりません。","TRUE"
"Other people marked this product with these tags:","ほかの人はこんなタグをつけています:","TRUE"
"Pending","処理待ち","TRUE"
"Pending Tags","処理待ち中のタグ","TRUE"
"Popular","人気","TRUE"
"Popular Tags","人気のタグ","TRUE"
"Price","価格","TRUE"
"Product Name","商品名","TRUE"
"Product SKU","商品SKU","TRUE"
"Product Tags","商品のタグ","TRUE"
"Products","商品","TRUE"
"Products Tagged by Administrators","管理者が商品につけたタグ","TRUE"
"Products Tagged by Customers","顧客が商品に付けているタグ","TRUE"
"Products Tagged with '%s'","%s'タグ付けされた商品","TRUE"
"Products tagged with '%s'","%s' タグ付けされた商品","TRUE"
"Rebuild Tag aggregation data","タグ集計データの再構築","TRUE"
"Save and Continue Edit","保存して編集を続ける","TRUE"
"Save Tag","保存","TRUE"
"SKU","商品番号","TRUE"
"Status","状態","TRUE"
"Store View","ストアビュー","TRUE"
"Tag","タグ","TRUE"
"Tag ""%s"" has already been added to the product.","タグ""%s""は既に商品に関連付けられています。","TRUE"
"Tag ""%s"" has been added to the product.","タグ""%s""を商品に関連付けました。","TRUE"
"Tag ""%s"" has been rejected by administrator.","タグ""%s""葉管理者によって拒否されました。","TRUE"
"Tag Aggregation Data","タグ集計データ","TRUE"
"Tag Name","タグ名","TRUE"
"Tagged Products List","タグづけられている商品一覧","TRUE"
"Tags","タグ","TRUE"
"Tags List (All Available)","タグリスト(利用可能なすべて)","TRUE"
"Tags:","タグ:","TRUE"
"Telephone","電話番号","TRUE"
"The tag has been deleted.","タグを削除しました。","TRUE"
"There are no tags available.","利用可能なタグはありません。","TRUE"
"Unable to find any products tagged with '%s' in the current store","現在のストアで'%s'とタグ付けされた商品はありません","TRUE"
"Unable to remove tag. Please, try again later.","タグを削除できません。やり直してください。","TRUE"
"Unable to save tag(s).","タグを保存できません。","TRUE"
"Use spaces to separate tags. Use single quotes (') for phrases.","タグを区切るには空白を使って下さい。タグがフレーズの場合は、「'」で囲って下さい。","TRUE"
"View All Tags","全てのタグを見る","TRUE"
"View Customers","顧客を見る","TRUE"
"View Products","商品を見る","TRUE"
"XML","XMLファイル","TRUE"
"You have not tagged any products yet.","タグ付けした商品はありません","TRUE"
"ZIP/Post Code","郵便番号","TRUE"
