"-- Please Select --","-- 選択してください --","1"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - は全てに一致します。 'xyz*' - は'xyz'出始まる全てに一致します。そして %d より長くはありません。","1"
"Add New Class","新規区分の追加","1"
"Add New Tax Rate","新規税率の追加","1"
"Add New Tax Rule","新規税算出の追加","1"
"After Discount","値引き後","1"
"An error occurred while deleting this rate.","税率を削除中にエラーが発生しました。","1"
"An error occurred while deleting this rate. Incorrect rate ID.","税率の削除中にエラーが発生しました。不正な税率IDです。","1"
"An error occurred while deleting this tax class.","税区分を削除中にエラーが発生しました。","1"
"An error occurred while deleting this tax rule.","課税ルールを削除中にエラーが発生しました。","1"
"An error occurred while saving this rate.","税率の保存中にエラーが発生しました。","1"
"An error occurred while saving this tax class.","税区分の保存中にエラーが発生しました。","1"
"An error occurred while saving this tax class. A class with the same name already exists.","税区分の保存中にエラーが発せしました。既にその名称は登録済みです。","1"
"An error occurred while saving this tax rule.","課税ルールを保存中にエラーが発生しました。","1"
"Apply Customer Tax","配送先で課税する","1"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","""値引後に課税する""を選択された場合は、税込み価格に値引きを適用する際の課税額に店舗の税率が適用されます。","1"
"Apply Discount On Prices","価格に値引きを適用する","1"
"Apply Tax On","次に税を適用","1"
"Are you sure you want to do this?","実行してもよろしいですか？","1"
"Back","戻る","1"
"Before Discount","値引き前","1"
"Calculation Settings","計算設定","1"
"Catalog Prices","カタログ価格","1"
"Class Name","区分名","1"
"Code","コード","1"
"Country","国","1"
"County","郡","1"
"CSV","CSVファイル","1"
"Custom price if available","利用できればカスタム価格","1"
"Customer Tax Class","顧客課税区分","1"
"Customer Tax Class Information","顧客課税区分情報","1"
"Customer Tax Classes","顧客課税区分","1"
"Default Country","標準の国","1"
"Default Post Code","標準の郵便番号","1"
"Default State","標準の都道府県","1"
"Default Tax Destination Calculation","標準税計算対象地域","1"
"Delete Class","区分の削除","1"
"Delete Rate","レートの削除","1"
"Delete Rule","ルールの削除","1"
"Display Full Tax Summary","課税額合計を表示する","1"
"Display Prices","価格表示","1"
"Display Product Prices In Catalog","カタログに価格を表示する","1"
"Display Shipping Amount","配送量を表示","1"
"Display Shipping Prices","配送料を表示","1"
"Display Subtotal","小計を表示する","1"
"Display Zero Tax Subtotal","税の小計にゼロを表示","1"
"Edit Class","区分を編集","1"
"Edit Class '%s'","区分'%s'を編集","1"
"Edit Rule","ルールの編集","1"
"Edit Tax Rate","税率の編集","1"
