" was not delivered nor scanned","配達されなかったか配送データを収集出来ませんでした","TRUE"
"1 Day Freight","翌日配達","TRUE"
"2 Day Freight","2営業日配達","TRUE"
"2Day","2日配達","TRUE"
"2nd Day Air","2nd Day Air","TRUE"
"2nd Day Air AM","2nd Day Air AM","TRUE"
"2nd Day Air AM Letter","2nd Day Air AM Letter","TRUE"
"2nd Day Air Letter","2nd Day Air Letter","TRUE"
"3 Day Freight","3営業日配達","TRUE"
"3 Day Select","3 Day Select","TRUE"
"Access ID","アクセスID","TRUE"
"Access License Number","アクセスライセンス番号","TRUE"
"Account ID","アカウントID","TRUE"
"Account Number","アカウント番号","TRUE"
"Additional Protection Configuration Value","Additional Protection Configuration Value","TRUE"
"Additional Protection Enabled","Additional Protection Enabled","TRUE"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal","TRUE"
"Additional Protection Value","Additional Protection Value","TRUE"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method","TRUE"
"All Services","全てのサービス","TRUE"
"Allowed Methods","許可する配送方法","TRUE"
"Bound Printed Matter","Bound Printed Matter","TRUE"
"Business Service Center","ビジネスサービスセンター","TRUE"
"Calculate Handling Fee","手数料を計算","TRUE"
"Canada Standard","カナダ標準","TRUE"
"Cannot retrieve shipping rates","配送レートを取得できませんでした。","TRUE"
"Commercial","商用","TRUE"
"Configuration","設定","TRUE"
"Container","梱包","TRUE"
"Customer Packaging","顧客自身による梱包","TRUE"
"Debug","デバッグ","TRUE"
"Default Package Height","標準梱包高さ","TRUE"
"Default Package Length","標準梱包長さ","TRUE"
"Default Package Width","標準梱包幅","TRUE"
"Delivered","配達済み","TRUE"
"Destination Type","対象種別","TRUE"
"Development","開発","TRUE"
"DHL","DHL","TRUE"
"Displayed Error Message","エラーメッセージ表示","TRUE"
"Domestic Shipment Days","国内配送日","TRUE"
"Drop Box","収荷ボックス","TRUE"
"Dropoff","収荷場所","TRUE"
"Empty response","空の返信","TRUE"
"Enable Negotiated Rates","ネゴシエイトレートを有効にする","TRUE"
"Enabled","有効","TRUE"
"Enables/Disables SSL verification of Magento server by UPS.","UPSによるMagentoサーバのSSL検証を有効/無効にする","TRUE"
"Error #%s : %s (%s)","エラー #%s : %s (%s)","TRUE"
"Error #%s: %s","エラー #%s: %s","TRUE"
"Europe First Priority","ヨーロッパ速達","TRUE"
"Express","エクスプレス便","TRUE"
"Express 10:30 AM","エクスプレス便10:30","TRUE"
"Express Mail","速達便","TRUE"
"Express Saturday","土曜配達エクスプレス便","TRUE"
"Express Saver","エコノミーエクスプレス便","TRUE"
"Failed to parse xml document: %s","XML文書の解析に失敗しました: %s","TRUE"
"FedEx","FeedEx","TRUE"
"FedEx 10kg Box","FedEx 10kgボックス","TRUE"
"FedEx 25kg Box","FedEx 25kgボックス","TRUE"
"FedEx Box","FedEx ボックス","TRUE"
"FedEx Envelope","FedEx エンベロップ","TRUE"
"FedEx Pak","FedEx パック","TRUE"
"FedEx Tube","FedEx チューブ","TRUE"
"First Overnight","翌日早朝配達","TRUE"
"First-Class","普通郵便","TRUE"
"Flat","定額","TRUE"
"Flat-Rate Box","定額小包","TRUE"
"Flat-Rate Envelope","定額封筒","TRUE"
"Free Method","フリーメソッド","TRUE"
"Free Shipping with Minimum Order Amount","最小注文額と無料配送","TRUE"
"Gateway URL","ゲートウェイURL","TRUE"
"Gateway XML URL","ゲートウェイXML URL","TRUE"
"Ground","Ground","TRUE"
"Ground Commercial","Ground Commercial","TRUE"
"Ground Residential","Ground Residential","TRUE"
"Handling Applied","手数料適用済み","TRUE"
"Handling Fee","手数料","TRUE"
"Home Delivery","自宅配達","TRUE"
"International Economy","国際船便","TRUE"
"International Express","EMS国際スピード郵便","TRUE"
"International First","国際速達","TRUE"
"International Priority","国際優先便","TRUE"
"International Shipment Days","国際配送日数","TRUE"
"Intl Economy Freight","船便","TRUE"
"Intl Priority Freight","国際速達航空便","TRUE"
"Invalid DHL XML code for type %s: %s.","不正なDHL XMLコードタイプ %s: %s.","TRUE"
"Invalid DHL XML code type: %s.","不正なDHL XMLコードタイプ %s: %s.","TRUE"
"Invalid FedEx XML code for type %s: %s","%sタイプに対して不正なFeedExコードです: %s","TRUE"
"Invalid FedEx XML code type: %s","不正なFeedExのXMLコードタイプです: %s","TRUE"
"Invalid UPS CGI code for type %s: %s","%sタイプに対して不正なUPS CGIコードです: %s","TRUE"
"Invalid UPS CGI code type: %s","不正なUPS CGIコードタイプです: %s","TRUE"
"Invalid USPS XML code for type %s: %s","%sタイプに対して不正なUSPS XMLコードです: %s","TRUE"
"Invalid USPS XML code type: %s","不正なUSPS XMLコードタイプです: %s","TRUE"
"Kilograms","キログラム","TRUE"
"Large","ラージ","TRUE"
"Letter","手紙","TRUE"
"Library","ライブラリ","TRUE"
"Live","Live","TRUE"
"Machinable","Machinable","TRUE"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大積載重量(配送業者にお問い合わせください)","TRUE"
"Media Mail","メディアメール","TRUE"
"Minimum Order Amount for Free Shipping","無料配送最大金額","TRUE"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","最小梱包重量（配送業者にお問い合わせください）","TRUE"
"Mode","モード","TRUE"
"Next Afternoon","翌日午後","TRUE"
"Next Day Air","Next Day Air","TRUE"
"Next Day Air Early AM","Next Day Air Early AM","TRUE"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter","TRUE"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)","TRUE"
"Next Day Air Letter","Next Day Air Letter","TRUE"
"Next Day Air Saver","Next Day Air Saver","TRUE"
"Next Day Air Saver Letter","Next Day Air Saver Letter","TRUE"
"No","No","TRUE"
"Non-rectangular","非長方形の","TRUE"
"Order","注文","TRUE"
"Origin of the Shipment","発送元","TRUE"
"Oversize","規格外","TRUE"
"Package","小包","TRUE"
"Package Description","小包説明","TRUE"
"Packaging","包装","TRUE"
