"All Websites","全てのウェブサイト","1"
"Apply Discounts To FPT","FPTに値引きを適用する","1"
"Apply Tax To FPT","FPTに課税する","1"
"Display Prices In Emails","メールにFPT額を記載する","1"
"Display Prices In Product Lists","商品一覧にFPT額を表示する","1"
"Display Prices In Sales Modules","SalesモジュールでFPT額を表示する","1"
"Display Prices On Product View Page","商品画面でFPT額を表示する","1"
"Enable FPT","FPTを有効にする","1"
"Excluding FPT","商品定額税を除外する","1"
"Excluding FPT, FPT description, final price","FPT抜価格, FPT概要, 合計金額","1"
"Fixed Product Tax","商品固定税","1"
"Fixed Product Taxes","商品固定税","1"
"Include FPT In Subtotal","小計にFPTを含める","1"
"Including FPT and FPT description","FPT込とFPT概要","1"
"Including FPT and FPT description [incl. FPT VAT]","FPT込価格とFPT概要 [FPT 付加価値税を含む]","1"
"Including FPT only","FPT込価格のみ","1"
"Total","合計","1"
"Total Incl. Tax","税込合計","1"
"Total incl. tax","合計税込額","1"
