"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$sを欲しいものリストに追加しました。<a href=""%2$s"">ここ</a>をクリックしてお買い物を続けてください。"
"%1$s has been updated in your wishlist.","%1$s があなたのほしい物リストで更新されました。"
"%d product(s) have been added to shopping cart: %s.","%dこの商品がショッピングカートに追加されました: %s."
"%s for ""%s"".","%s の ""%s""。"
"%s's Wishlist","%sの欲しいものリスト"
"* Required Fields","* 必須項目"
"Add All to Cart","全てカートに入れる"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに追加"
"Add to Wishlist","欲しいものリストに追加"
"Added From","登録元"
"Added On","登録日"
"An error occurred while adding item to wishlist.","欲しいものリストに商品を追加中にエラーが発生しました。"
"An error occurred while adding item to wishlist: %s","%sを欲しいものリストに追加中にエラーが発生しました。"
"An error occurred while deleting the item from wishlist.","欲しいものリストから商品を削除中にエラーが発生しました。"
"An error occurred while deleting the item from wishlist: %s","欲しいものリストから%sを削除中にエラーが発生しました。"
"An error occurred while updating wishlist.","ほしい物リストの更新中にエラーが発生しました。"
"Are you sure you want to remove this product from your wishlist?","本当に欲しいものリストからこの商品を削除してよろしいですか？"
"Are you sure you would like to remove this item from the wishlist?","本当に欲しいものリストから削除しますか？"
"Back","戻る"
"Can\'t delete item from wishlist","ほしい物リストから商品を削除できません。"
"Can\'t save description %s","説明を保存できません %s"
"Can\'t update wishlist","欲しいものリストを更新できません。"
"Cannot add item to shopping cart","商品をショッピングカートに追加できません"
"Cannot add the item to shopping cart.","商品をショッピングカートに追加できません。"
"Cannot configure product","商品のオプションを調整できません。"
"Cannot create wishlist.","欲しいものリストを作成できません。"
"Cannot load wishlist item","ほしい物リストの商品を読み込めません。"
"Cannot specify product.","商品を特定できません。"
"Cannot specify wishlist item.","欲しい物リストの商品を特定できません。"
"Cannot specify wishlist.","欲しいものリストを特定できません。"
"Cannot update wishlist","欲しいものリストを更新できません。"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","あなたの欲しいものリストへのRSSフィードにリンクするなら、ここをチェックしてください"
"Click for price","クリックして価格を表示"
"Comment","コメント"
"Comment:","コメント:"
"Configure Wishlist Item","ほしい物リストの商品を調整する"
"Configured Price:","調整後価格:"
"Customer My Account My Wishlist","マイページ欲しいものリスト"
"Customer My Account Wishlist Sharing Form","マイページ欲しいものリスト共有元"
"Customer Shared Wishlist View","欲しいものリスト共有画面"
"Date Added","登録日"
"Days in Wishlist","欲しいものリストの日付"
"Display Wishlist Summary","ほしい物リストのサマリを表示"
"Edit","編集"
"Email Sender","メール送信者"
"Email Template","メールテンプレート"
"Email address can\'t be empty.","メールアドレスを入力してください。"
"Email addresses, separated by commas","メールアドレスは「,」で区切る必要があります"
"Enabled","有効"
"General Options","全体のオプション"
"Go to Wishlist","欲しいものリストへ"
"Helper for wishlist options rendering doesn't implement required interface.","ほしい物リストオプションヘルパーは要求された機能を実装していません。"
"Last Added Items","最後に追加した商品"
"Message","メッセージ"
"My Wishlist","欲しいものリスト"
"My Wishlist (%d item)","欲しいものリスト(%dアイテム)"
"My Wishlist (%d items)","欲しいものリスト(%dアイテム)"
"My Wishlist <small>(%d)</small>","欲しいものリスト <small>(%d)</small>"
"My Wishlist Link","ほしい物リストリンク"
"Options Details","オプションの概要"
"Out of stock","在庫切れ"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","正しいメールアドレスを「,」で区切って入力してください。（例）johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","正しいメールアドレスを入力してください。"
"Please, enter your comments...","コメントを登録することができます"
"Product","商品"
"Product(s) %s have required options. Each of them can be added to cart separately only.","%sはオプションの指定が必要です。個別にしかカートに登録できません。"
"RSS Feed","RSS フィード"
"RSS link to %s's wishlist","%sの欲しいものリストへのRSSリンク"
"Remove Item","商品を削除"
"Remove This Item","この商品を削除する"
"Remove item","商品を削除"
"Share Options","共有オプション"
"Share Wishlist","欲しいものリストを共有"
"Share Your Wishlist","欲しいものリストを共有"
"Sharing Information","共有情報"
"This product(s) is currently out of stock","この商品は現在在庫切れです"
"Unable to add the following product(s) to shopping cart: %s.","以下の商品をショッピングカートに追加できませんでした: %s."
"Update Wishlist","欲しいものリスト更新"
"User description","ユーザー概要"
"View Details","詳細を表示"
"View Product","商品を表示"
"What's this?","これは何ですか？"
"Wishlist","ほしい物リスト"
"Wishlist Section","ほしい物リストセクション"
"Wishlist Sharing","ほしい物リストを共有しています"
"Wishlist is empty now.","ほしい物リストは空です。"
"You have no items in your wishlist.","あなたの欲しいものリストには商品がありません"
"Your Wishlist has been shared.","欲しいものリストを共有しました。"
