" But cart has some errors.","しかし、カートにはエラーがあります。"
"""Description"" is more than %d characters long","""概要"" が %d 文字超過しています。"
"""Title"" is more than %d characters long","""タイトル""が %d 文字超過しています"
"""id"" attribute is required for a ""%s"" field.","""id"" 属性はフィールド ""%s"" に必須です。"
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" 属性は ""multiline"" 要素に必須です。"
"""message"" attribute is required for ""%s"" validator rule.","""message"" 属性は ""%s"" 検証ルールに必須です。"
"%1$s has been added to your wishlist.","%1$sを欲しいものリストに追加しました"
"%1$s incl tax.","%1$s 税込"
"%s API Key required.","%s APIキーが必要です。"
"%s Application ID required.","%s アプリケーションIDが必要です。"
"%s Secret Key required.","%s シークレットキーが必要です。"
"%s attribute is required.","%s 属性は必須です。"
"%s has been added to your cart.","%s がカートに追加されました。"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(リストにあるよりも多くの国を含みたい場合は、アプリケーションの所有者であるあなたがそれぞれの国々に特有の法律について準拠する必要があります)"
"*Subject to change","*変更の理由"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","Urabn Airshipに<a href=""%s"" target=""_blank"">ログインする</a>"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","カタログのみのアプリケーションは、カートやほしい物リスト、ログインといった機能をサポートしません。"
"A new password has been sent.","新しいパスワードを送信しました。"
"Account","アカウント"
"Account confirmation is required. Please check your email for the confirmation link.","アカウントの確認が必要です。 お送りしたメールのリンクをご確認ください。"
"Account information has been saved.","アカウント情報を保存しました。"
"Action","アクション"
"Activate","有効化"
"Activate PayPal Checkout","PayPal支払いを有効にする"
"Activate PayPal MECL","PayPal MECLを有効にする"
"Activation Key","アクティベーションキー"
"Add App","アプリケーション追加"
"Add New Template","新しいテンプレートの追加"
"Add Page","ページの追加"
"Add to Cart","カートに入れる"
"Add to Wishlist","欲しいものリストに追加"
"Additional Address","追加住所"
"Address","住所"
"Address 2","住所2"
"Address data not specified.","住所が未指定です。"
"Address does not belong to this customer.","この顧客には住所がまだ登録されていません。"
"Address has been deleted.","住所を削除しました。"
"Address has been saved.","住所を保存しました。"
"Administrative contact for this app and for app submission issues.","アプリケーションとアプリケーション審査に関する管理者連絡先"
"Advanced Settings","拡張設定"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","アプリケーションをMagentoに送信後、 <a href=""mailto:%1$s"">%1$s</a>にアプリケーションキー（アプリケーションシークレット、アプリケーションマスターシークレット）をお送りください。"
"AirMail Message Queue","エアメールメッセージキュー"
"AirMail Messages Queue","エアメールメッセージキュー"
"AirMail Template Preview","エアメールテンプレートプレビュー"
"AirMail message","エアメールメッセージ"
"AirMail templates","エアメールテンプレートプレビュー"
"All Allowed Countries","全ての許可された国"
"All locations","すべての場所"
"An account with this email address already exists.","メールアドレスはすでに登録済みです。"
"An error occurred while adding item to wishlist.","欲しいものリストに商品を追加中にエラーが発生しました。"
"An error occurred while deleting the address.","住所の削除中にエラーが発生しました。"
