"Please enter last name other than Halfwidth Katakana.", "姓は半角カナ以外で入力してください。"
"Please enter last name less than 25 characters.", "姓は２５文字以内で入力してください。"
"Please enter first name other than Halfwidth Katakana", "名は半角カナ以外で入力してください。"
"Please enter first name less than 25 characters.", "名は２５文字以内で入力してください。"
"Please enter last name kana at full width.", "姓（カナ）は全角カナで入力してください。"
"Please enter last name kana less than 25 characters.","姓（カナ）は２５文字以内で入力してください。"
"Please enter first name kana at full width.","名（カナ）は全角カナで入力してください。"
"Please enter first name kana less than 25 characters.","名（カナ）は２５文字以内で入力してください。"
"Please enter company name other htan Halfwidth Katakana.","会社名は半角カナ以外で入力してください。"
"Please enter telephone number only number or -.(ex. 000-1111-2222)","電話番号は数字またはハイフンで入力してください(例：000−1111−2222)"
"Please enter fax number only number or -.(ex. 000-1111-2222)","FAX番号は数字またはハイフンで入力してください(例：000−1111−2222)"
"Please enter postcode only number or -.(ex. 111-2222)", "郵便番号は数字またはハイフンで入力してください。(例：111-2222)"
"Please enter city other than Halfwidth Katakana.","市区町村名は半角カナ以外で入力してください。"
"Please enter street other than Halfwidth Katakana.","番地・ビル名は半角カナ以外で入力してください。"
"Please enter street less than 300 characters","番地・ビル名は３００文字以内で入力してください。"
